Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 07:00:00,0.76,0.76,-0.0026000000000000003,2022-07-21,07:00:00,bef
2022-04-21 07:00:00,-2.4,-2.32,0.0345,2022-04-21,07:00:00,bef
2022-01-20 07:00:00,-1.48,-1.42,0.0379,2022-01-20,07:00:00,bef
2021-10-21 07:00:00,-1.04,-0.99,0.0472,2021-10-21,07:00:00,bef
2021-07-22 07:00:00,-1.96,-1.69,0.13820000000000002,2021-07-22,07:00:00,bef
2021-04-22 07:00:00,-4.3,-4.32,-0.0034999999999999996,2021-04-22,07:00:00,bef
2021-01-28 07:00:00,-4.11,-3.86,0.0617,2021-01-28,07:00:00,bef
2020-10-18 02:00:00,-5.88,-5.54,0.057300000000000004,2020-10-18,02:00:00,bef
2020-07-23 07:00:00,-7.7,-7.82,-0.0151,2020-07-23,07:00:00,bef
2020-04-30 07:00:00,-2.33,-2.65,-0.1383,2020-04-30,07:00:00,bef
2020-01-23 07:00:00,1.14,1.15,0.006999999999999999,2020-01-23,07:00:00,bef
2019-10-24 07:00:00,1.4,1.42,0.0179,2019-10-24,07:00:00,bef
2019-07-25 07:00:00,1.8,1.82,0.0139,2019-07-25,07:00:00,bef
2019-04-26 07:00:00,0.51,0.52,0.027700000000000002,2019-04-26,07:00:00,bef
2019-01-24 07:00:00,1.01,1.04,0.0317,2019-01-24,07:00:00,bef
2018-10-25 07:00:00,1.13,1.13,0.0044,2018-10-25,07:00:00,bef
2018-07-26 07:00:00,1.59,1.63,0.0252,2018-07-26,07:00:00,bef
2018-04-26 07:00:00,0.72,0.75,0.0431,2018-04-26,07:00:00,bef
2018-01-25 07:00:00,0.92,0.95,0.0337,2018-01-25,07:00:00,bef
2017-10-26 08:00:00,1.4,1.42,0.0128,2017-10-26,08:00:00,bef
2017-07-28 07:00:00,1.87,1.92,0.0256,2017-07-28,07:00:00,bef
2017-04-27 07:00:00,0.57,0.61,0.0721,2017-04-27,07:00:00,bef
2017-01-27 07:00:00,0.92,0.92,0.0011,2017-01-27,07:00:00,bef
2016-10-20 07:00:00,1.69,1.76,0.044500000000000005,2016-10-20,07:00:00,bef
2016-07-22 07:00:00,1.68,1.77,0.05480000000000001,2016-07-22,07:00:00,bef
2016-04-22 07:00:00,1.19,1.25,0.054000000000000006,2016-04-22,07:00:00,bef
2016-01-29 07:00:00,1.97,2.0,0.0173,2016-01-29,07:00:00,bef
2015-10-23 07:00:00,2.72,2.77,0.0176,2015-10-23,07:00:00,bef
2015-07-24 07:00:00,2.6,2.62,0.0089,2015-07-24,07:00:00,bef
2015-04-24 07:00:00,1.71,1.73,0.009300000000000001,2015-04-24,07:00:00,bef
2015-01-27 07:00:00,1.51,1.52,0.01,2015-01-27,07:00:00,bef
2014-10-23 08:00:00,1.63,1.66,0.0159,2014-10-23,08:00:00,bef
2014-07-24 04:00:00,1.95,1.98,0.0154,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,0.48,0.54,0.125,2014-04-24,04:00:00,bef
2014-01-28 05:00:00,0.55,0.59,0.0708,2014-01-28,05:00:00,bef
2013-10-17 04:00:00,1.34,1.38,0.0337,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,0.8,0.92,0.15,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,-0.09,0.02,1.2222,2013-04-18,04:00:00,bef
2013-01-16 05:00:00,-0.52,-0.23,0.5619,2013-01-16,05:00:00,bef
2012-10-17 04:00:00,0.28,0.33,0.1786,2012-10-17,04:00:00,bef
2012-07-18 04:00:00,-0.04,0.28,7.5882000000000005,2012-07-18,04:00:00,bef
2012-04-19 04:00:00,-1.43,-0.74,0.4818,2012-04-19,04:00:00,bef
2012-02-15 05:00:00,-1.01,-1.2,-0.18309999999999998,2012-02-15,05:00:00,bef
2011-10-19 04:00:00,-0.41,-0.48,-0.179,2011-10-19,04:00:00,bef
2011-07-20 04:00:00,-0.81,-0.85,-0.055,2011-07-20,04:00:00,bef
2011-04-20 04:00:00,-1.32,-1.21,0.08230000000000001,2011-04-20,04:00:00,bef
2011-01-19 05:00:00,-0.32,-0.21,0.3453,2011-01-19,05:00:00,bef
2010-10-20 04:00:00,0.32,0.39,0.21,2010-10-20,04:00:00,bef
2010-07-21 04:00:00,-0.01,-0.03,-2.5461,2010-07-21,04:00:00,bef
2010-04-21 04:00:00,-1.31,-1.36,-0.0373,2010-04-21,04:00:00,bef
2010-01-20 05:00:00,-1.22,-1.25,-0.0223,2010-01-20,05:00:00,bef
2009-10-21 04:00:00,-0.95,-0.93,0.0169,2009-10-21,04:00:00,bef
2009-07-15 04:00:00,-1.28,-1.14,0.1109,2009-07-15,04:00:00,bef
2009-04-15 04:00:00,-1.68,-1.3,0.2277,2009-04-15,04:00:00,bef
2009-01-21 05:00:00,-0.77,-0.77,-0.0024,2009-01-21,05:00:00,bef
2008-10-15 04:00:00,-1.4,-1.39,0.0070999999999999995,2008-10-15,04:00:00,bef
2008-07-16 04:00:00,-1.4,-1.13,0.19440000000000002,2008-07-16,04:00:00,bef
2008-04-16 04:00:00,-1.34,-1.32,0.0138,2008-04-16,04:00:00,bef
2008-01-16 05:00:00,-0.75,-0.74,0.013300000000000001,2008-01-16,05:00:00,bef
