Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-23 16:00:00,3.76,3.74,-0.0053,2022-08-23,16:00:00,aft
2022-05-23 08:00:00,3.59,3.57,-0.0058,2022-05-23,08:00:00,bef
2022-02-14 16:00:00,1.97,2.07,0.050800000000000005,2022-02-14,16:00:00,aft
2021-11-15 16:00:00,2.87,3.21,0.1177,2021-11-15,16:00:00,aft
2021-08-24 06:00:00,3.04,3.4,0.1173,2021-08-24,06:00:00,bef
2021-06-02 06:00:00,3.08,3.34,0.083,2021-06-02,06:00:00,bef
2021-02-16 06:00:00,1.97,1.87,-0.049800000000000004,2021-02-16,06:00:00,bef
2020-11-10 06:00:00,2.66,2.81,0.0564,2020-11-10,06:00:00,bef
2020-08-18 06:00:00,1.98,2.92,0.47250000000000003,2020-08-18,06:00:00,bef
2020-05-19 06:00:00,1.73,0.91,-0.4743,2020-05-19,06:00:00,bef
2020-02-18 06:00:00,1.35,1.64,0.21660000000000001,2020-02-18,06:00:00,bef
2019-11-12 06:00:00,2.05,2.1,0.0234,2019-11-12,06:00:00,bef
2019-08-13 06:00:00,2.21,2.0,-0.0934,2019-08-13,06:00:00,bef
2019-05-22 06:00:00,2.35,2.46,0.0468,2019-05-22,06:00:00,bef
2019-02-19 06:00:00,1.13,1.17,0.0345,2019-02-19,06:00:00,bef
2018-11-13 06:00:00,1.75,1.89,0.07940000000000001,2018-11-13,06:00:00,bef
2018-08-14 06:00:00,1.86,1.97,0.060300000000000006,2018-08-14,06:00:00,bef
2018-05-22 06:00:00,1.97,2.1,0.0665,2018-05-22,06:00:00,bef
2018-02-21 06:00:00,0.63,0.77,0.22030000000000002,2018-02-21,06:00:00,bef
2017-11-14 06:00:00,1.21,1.43,0.18480000000000002,2017-11-14,06:00:00,bef
2017-08-15 06:00:00,1.65,1.58,-0.0424,2017-08-15,06:00:00,bef
2017-05-24 06:00:00,2.17,1.6,-0.263,2017-05-24,06:00:00,bef
2017-02-21 06:00:00,1.09,1.0,-0.0792,2017-02-21,06:00:00,bef
2016-11-14 16:00:00,1.71,1.73,0.0147,2016-11-14,16:00:00,aft
2016-08-16 06:00:00,2.12,1.9,-0.10289999999999999,2016-08-16,06:00:00,bef
2016-05-19 06:00:00,2.6,2.51,-0.033100000000000004,2016-05-19,06:00:00,bef
2016-02-11 06:00:00,1.2,1.22,0.0141,2016-02-11,06:00:00,bef
2015-11-12 06:00:00,2.09,1.95,-0.0652,2015-11-12,06:00:00,bef
2015-08-13 08:00:00,2.25,2.27,0.0102,2015-08-13,08:00:00,bef
2015-05-21 08:00:00,2.48,2.39,-0.0378,2015-05-21,08:00:00,bef
2015-02-12 08:00:00,1.48,1.54,0.0434,2015-02-12,08:00:00,bef
2014-11-06 08:00:00,1.88,1.89,0.008,2014-11-06,08:00:00,bef
2014-08-14 08:00:00,2.01,2.08,0.034300000000000004,2014-08-14,08:00:00,bef
2014-05-15 04:00:00,2.16,2.25,0.0421,2014-05-15,04:00:00,bef
2014-02-06 05:00:00,0.79,0.67,-0.1469,2014-02-06,05:00:00,bef
2013-10-31 04:00:00,1.4,1.42,0.013500000000000002,2013-10-31,04:00:00,bef
2013-08-08 04:00:00,1.48,1.59,0.0725,2013-08-08,04:00:00,bef
2013-05-23 04:00:00,1.62,1.65,0.0192,2013-05-23,04:00:00,bef
2013-02-07 05:00:00,0.75,0.88,0.171,2013-02-07,05:00:00,bef
2012-11-08 05:00:00,1.21,1.21,-0.0004,2012-11-08,05:00:00,bef
2012-08-09 04:00:00,1.39,1.34,-0.038700000000000005,2012-08-09,04:00:00,bef
2012-05-17 04:00:00,1.81,1.79,-0.0096,2012-05-17,04:00:00,bef
2012-02-16 05:00:00,0.75,0.9,0.20809999999999998,2012-02-16,05:00:00,bef
2011-11-09 05:00:00,1.18,1.41,0.19399999999999998,2011-11-09,05:00:00,bef
2011-08-10 04:00:00,1.38,1.46,0.0584,2011-08-10,04:00:00,bef
2011-05-18 04:00:00,1.38,1.35,-0.0217,2011-05-18,04:00:00,bef
2011-02-09 05:00:00,0.54,0.57,0.0509,2011-02-09,05:00:00,bef
2010-11-10 05:00:00,0.93,1.03,0.11230000000000001,2010-11-10,05:00:00,bef
2010-08-11 04:00:00,1.03,1.16,0.12869999999999998,2010-08-11,04:00:00,bef
2010-05-19 04:00:00,1.0,1.19,0.1894,2010-05-19,04:00:00,bef
2010-02-17 05:00:00,0.46,0.39,-0.1466,2010-02-17,05:00:00,bef
2009-11-11 05:00:00,0.66,0.69,0.046200000000000005,2009-11-11,05:00:00,bef
2009-08-12 04:00:00,0.84,0.89,0.0637,2009-08-12,04:00:00,bef
2009-05-20 04:00:00,0.92,1.02,0.11170000000000001,2009-05-20,04:00:00,bef
2009-02-18 05:00:00,0.37,0.51,0.37270000000000003,2009-02-18,05:00:00,bef
2008-10-29 04:00:00,0.57,0.59,0.0351,2008-10-29,04:00:00,bef
2008-08-06 04:00:00,0.72,0.79,0.0942,2008-08-06,04:00:00,bef
2008-05-15 04:00:00,0.78,0.86,0.09880000000000001,2008-05-15,04:00:00,bef
2008-02-13 05:00:00,0.37,0.35,-0.0658,2008-02-13,05:00:00,bef
2007-10-31 04:00:00,0.58,0.61,0.05740000000000001,2007-10-31,04:00:00,bef
2007-08-08 04:00:00,0.66,0.64,-0.027700000000000002,2007-08-08,04:00:00,bef
2007-05-16 04:00:00,0.71,0.71,0.0070999999999999995,2007-05-16,04:00:00,bef
2007-02-15 05:00:00,0.33,0.33,-0.0123,2007-02-15,05:00:00,bef
2006-11-02 05:00:00,0.53,0.56,0.057699999999999994,2006-11-02,05:00:00,bef
2006-08-10 04:00:00,0.58,0.59,0.0219,2006-08-10,04:00:00,bef
2006-05-18 04:00:00,0.69,0.68,-0.0202,2006-05-18,04:00:00,bef
2006-02-16 05:00:00,0.36,0.36,-0.002,2006-02-16,05:00:00,bef
2005-11-03 05:00:00,0.55,0.55,-0.0011,2005-11-03,05:00:00,bef
2005-08-10 04:00:00,0.58,0.6,0.0332,2005-08-10,04:00:00,bef
2005-05-18 04:00:00,0.58,0.63,0.0761,2005-05-18,04:00:00,bef
2005-02-16 05:00:00,0.3,0.31,0.0236,2005-02-16,05:00:00,bef
2004-11-03 05:00:00,0.45,0.45,-0.0021,2004-11-03,05:00:00,bef
2004-08-11 04:00:00,0.46,0.47,0.0092,2004-08-11,04:00:00,bef
2004-05-19 04:00:00,0.44,0.45,0.033100000000000004,2004-05-19,04:00:00,bef
2004-02-18 05:00:00,0.27,0.3,0.1057,2004-02-18,05:00:00,bef
2003-10-29 05:00:00,0.41,0.41,0.015500000000000002,2003-10-29,05:00:00,bef
2003-08-07 04:00:00,0.35,0.4,0.1551,2003-08-07,04:00:00,bef
2003-05-14 04:00:00,0.25,0.33,0.3155,2003-05-14,04:00:00,bef
2003-02-12 05:00:00,0.14,0.14,0.023799999999999998,2003-02-12,05:00:00,bef
