Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 06:00:00,2.56,2.62,0.021800000000000003,2022-08-03,06:00:00,bef
2022-05-04 06:00:00,2.93,3.22,0.1001,2022-05-04,06:00:00,bef
2022-02-02 06:00:00,2.58,2.58,0.0019,2022-02-02,06:00:00,bef
2021-11-04 06:00:00,2.36,2.39,0.0131,2021-11-04,06:00:00,bef
2021-08-04 06:00:00,2.05,2.16,0.053700000000000005,2021-08-04,06:00:00,bef
2021-05-05 06:00:00,2.48,2.53,0.0206,2021-05-05,06:00:00,bef
2021-02-04 06:00:00,1.94,2.18,0.12369999999999999,2021-02-04,06:00:00,bef
2020-11-05 06:00:00,1.85,1.89,0.02,2020-11-05,06:00:00,bef
2020-08-05 07:00:00,1.57,1.85,0.1776,2020-08-05,07:00:00,bef
2020-05-07 06:00:00,2.27,2.4,0.0591,2020-05-07,06:00:00,bef
2020-01-30 06:00:00,1.67,1.76,0.0526,2020-01-30,06:00:00,bef
2019-11-07 06:00:00,1.58,1.61,0.0183,2019-11-07,06:00:00,bef
2019-08-01 06:00:00,1.62,1.76,0.0884,2019-08-01,06:00:00,bef
2019-05-02 06:00:00,1.96,2.11,0.0793,2019-05-02,06:00:00,bef
2019-01-31 06:00:00,1.5,1.6,0.066,2019-01-31,06:00:00,bef
2018-11-06 06:00:00,1.44,1.45,0.0049,2018-11-06,06:00:00,bef
2018-08-02 06:00:00,1.46,1.54,0.0584,2018-08-02,06:00:00,bef
2018-05-02 06:00:00,1.82,1.94,0.0683,2018-05-02,06:00:00,bef
2018-02-06 06:00:00,1.35,1.55,0.1456,2018-02-06,06:00:00,bef
2017-11-02 06:00:00,1.32,1.33,0.0068000000000000005,2017-11-02,06:00:00,bef
2017-08-03 06:00:00,1.37,1.43,0.0408,2017-08-03,06:00:00,bef
2017-05-04 06:00:00,1.68,1.77,0.05480000000000001,2017-05-04,06:00:00,bef
2017-01-31 06:00:00,1.23,1.36,0.1075,2017-01-31,06:00:00,bef
2016-11-02 06:00:00,1.23,1.3,0.061200000000000004,2016-11-02,06:00:00,bef
2016-08-02 06:00:00,1.27,1.37,0.0804,2016-08-02,06:00:00,bef
