Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-09-22 06:00:00,2.57,2.6,0.0113,2022-09-22,06:00:00,bef
2022-06-23 07:00:00,2.85,2.79,-0.0207,2022-06-23,07:00:00,bef
2022-03-17 06:00:00,2.37,2.54,0.0713,2022-03-17,06:00:00,bef
2021-12-16 06:00:00,2.63,2.78,0.057800000000000004,2021-12-16,06:00:00,bef
2021-09-23 06:00:00,2.19,2.2,0.0046,2021-09-23,06:00:00,bef
2021-06-24 06:00:00,2.23,2.4,0.0748,2021-06-24,06:00:00,bef
2021-03-18 06:00:00,1.9,2.03,0.0695,2021-03-18,06:00:00,bef
2020-12-17 06:00:00,2.05,2.17,0.0565,2020-12-17,06:00:00,bef
2020-09-24 06:00:00,1.73,1.99,0.14830000000000002,2020-09-24,06:00:00,bef
2020-06-25 06:00:00,1.85,1.9,0.029300000000000003,2020-06-25,06:00:00,bef
2020-03-19 06:00:00,1.72,1.91,0.1092,2020-03-19,06:00:00,bef
2019-12-19 06:00:00,2.0,2.09,0.047599999999999996,2019-12-19,06:00:00,bef
2019-09-26 06:00:00,1.71,1.74,0.0152,2019-09-26,06:00:00,bef
2019-06-27 06:00:00,1.89,1.93,0.0201,2019-06-27,06:00:00,bef
2019-03-28 06:00:00,1.57,1.73,0.10400000000000001,2019-03-28,06:00:00,bef
2018-12-20 06:00:00,1.86,1.96,0.054900000000000004,2018-12-20,06:00:00,bef
2018-09-27 06:00:00,1.56,1.58,0.0161,2018-09-27,06:00:00,bef
2018-06-28 06:00:00,1.72,1.79,0.0401,2018-06-28,06:00:00,bef
2018-03-22 06:00:00,1.49,1.58,0.0618,2018-03-22,06:00:00,bef
2017-12-21 06:00:00,1.67,1.79,0.07440000000000001,2017-12-21,06:00:00,bef
2017-09-28 06:00:00,1.47,1.48,0.0102,2017-09-28,06:00:00,bef
2017-03-23 06:00:00,1.3,1.33,0.0239,2017-03-23,06:00:00,bef
2016-12-21 06:00:00,1.49,1.58,0.058300000000000005,2016-12-21,06:00:00,bef
2016-09-29 06:00:00,1.3,1.31,0.0085,2016-09-29,06:00:00,bef
2016-06-23 06:00:00,1.41,1.41,0.0014000000000000002,2016-06-23,06:00:00,bef
2016-03-24 06:00:00,1.18,1.34,0.1318,2016-03-24,06:00:00,bef
2015-12-17 06:00:00,1.32,1.28,-0.0288,2015-12-17,06:00:00,bef
2015-09-24 06:00:00,1.12,1.15,0.027700000000000002,2015-09-24,06:00:00,bef
2015-06-25 07:00:00,1.23,1.3,0.057800000000000004,2015-06-25,07:00:00,bef
2015-03-26 07:00:00,1.07,1.08,0.005600000000000001,2015-03-26,07:00:00,bef
2014-12-18 07:00:00,1.2,1.29,0.07769999999999999,2014-12-18,07:00:00,bef
2014-09-24 07:00:00,1.1,1.08,-0.0191,2014-09-24,07:00:00,bef
