Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-17 06:00:00,2.43,2.52,0.0362,2022-08-17,06:00:00,bef
2022-05-18 07:00:00,2.11,2.4,0.1396,2022-05-18,07:00:00,bef
2022-02-16 07:00:00,1.78,1.94,0.0917,2022-02-16,07:00:00,bef
2021-11-23 07:00:00,1.7,1.73,0.0176,2021-11-23,07:00:00,bef
2021-08-18 07:00:00,1.63,1.72,0.0565,2021-08-18,07:00:00,bef
2021-05-19 07:00:00,1.45,1.54,0.060599999999999994,2021-05-19,07:00:00,bef
2021-02-17 08:00:00,1.32,1.44,0.0901,2021-02-17,08:00:00,bef
2020-11-24 08:00:00,1.33,1.44,0.0868,2020-11-24,08:00:00,bef
2020-08-19 08:00:00,1.28,1.36,0.0592,2020-08-19,08:00:00,bef
2020-05-20 07:00:00,1.03,1.08,0.0506,2020-05-20,07:00:00,bef
2020-02-19 08:00:00,1.0,1.03,0.032100000000000004,2020-02-19,08:00:00,bef
2019-11-26 08:00:00,1.22,1.19,-0.023,2019-11-26,08:00:00,bef
2019-08-21 08:00:00,1.22,1.26,0.0294,2019-08-21,08:00:00,bef
2019-05-22 07:00:00,1.3,1.36,0.046200000000000005,2019-05-22,07:00:00,bef
2019-02-20 08:00:00,1.28,1.33,0.0415,2019-02-20,08:00:00,bef
2018-11-20 08:00:00,1.52,1.55,0.0177,2018-11-20,08:00:00,bef
2018-08-22 08:00:00,1.46,1.53,0.0479,2018-08-22,08:00:00,bef
2018-05-30 08:00:00,1.38,1.45,0.0545,2018-05-30,08:00:00,bef
2018-02-28 09:00:00,1.29,1.42,0.1033,2018-02-28,09:00:00,bef
2017-11-21 08:00:00,1.36,1.45,0.0638,2017-11-21,08:00:00,bef
2017-08-30 08:00:00,1.15,1.26,0.10039999999999999,2017-08-30,08:00:00,bef
2017-05-31 08:00:00,0.84,1.03,0.2335,2017-05-31,08:00:00,bef
2017-02-15 08:00:00,0.74,0.94,0.27890000000000004,2017-02-15,08:00:00,bef
2016-11-22 08:00:00,0.89,1.05,0.1745,2016-11-22,08:00:00,bef
2016-08-17 08:00:00,0.76,0.82,0.08470000000000001,2016-08-17,08:00:00,bef
2016-05-18 08:00:00,0.62,0.64,0.028900000000000002,2016-05-18,08:00:00,bef
2016-02-17 08:00:00,0.53,0.56,0.0546,2016-02-17,08:00:00,bef
2015-11-24 08:00:00,0.83,1.03,0.2425,2015-11-24,08:00:00,bef
2015-08-18 16:00:00,0.74,0.77,0.0363,2015-08-18,16:00:00,aft
2015-05-19 16:00:00,0.72,0.73,0.0167,2015-05-19,16:00:00,aft
2015-02-17 16:00:00,0.61,0.63,0.0396,2015-02-17,16:00:00,aft
2014-11-25 16:00:00,0.68,0.69,0.0147,2014-11-25,16:00:00,aft
2014-08-26 16:00:00,0.63,0.63,0.0048,2014-08-26,16:00:00,aft
2014-05-20 04:00:00,0.56,0.59,0.0506,2014-05-20,04:00:00,bef
2014-02-18 05:00:00,0.48,0.49,0.0154,2014-02-18,05:00:00,bef
2013-11-26 05:00:00,0.58,0.63,0.084,2013-11-26,05:00:00,bef
2013-08-20 04:00:00,0.54,0.57,0.0504,2013-08-20,04:00:00,bef
2013-05-21 04:00:00,0.52,0.51,-0.0221,2013-05-21,04:00:00,bef
2013-02-20 05:00:00,0.45,0.44,-0.013600000000000001,2013-02-20,05:00:00,bef
2012-11-27 05:00:00,0.56,0.58,0.0267,2012-11-27,05:00:00,bef
2012-08-21 04:00:00,0.56,0.56,-0.0033000000000000004,2012-08-21,04:00:00,bef
2012-05-22 04:00:00,0.51,0.53,0.0362,2012-05-22,04:00:00,bef
2012-02-22 05:00:00,0.48,0.46,-0.036000000000000004,2012-02-22,05:00:00,bef
2011-11-21 05:00:00,0.63,0.6,-0.0471,2011-11-21,05:00:00,bef
2011-08-16 04:00:00,0.73,0.71,-0.0316,2011-08-16,04:00:00,bef
2011-05-17 04:00:00,0.68,0.75,0.1052,2011-05-17,04:00:00,bef
2011-02-15 05:00:00,0.65,0.66,0.0148,2011-02-15,05:00:00,bef
2010-11-22 05:00:00,0.7,0.73,0.0483,2010-11-22,05:00:00,bef
2010-08-17 04:00:00,0.6,0.65,0.07980000000000001,2010-08-17,04:00:00,bef
2010-05-18 04:00:00,0.5,0.55,0.0958,2010-05-18,04:00:00,bef
2010-02-17 05:00:00,0.38,0.43,0.1302,2010-02-17,05:00:00,bef
2009-11-23 05:00:00,0.26,0.36,0.3872,2009-11-23,05:00:00,bef
2009-08-18 04:00:00,0.2,0.22,0.10310000000000001,2009-08-18,04:00:00,bef
2009-05-19 04:00:00,0.09,0.21,1.4561000000000002,2009-05-19,04:00:00,bef
2009-02-18 05:00:00,0.16,0.18,0.153,2009-02-18,05:00:00,bef
2008-11-24 05:00:00,0.43,0.49,0.1322,2008-11-24,05:00:00,bef
2008-08-19 04:00:00,0.45,0.44,-0.014499999999999999,2008-08-19,04:00:00,bef
2008-05-20 04:00:00,0.41,0.44,0.0663,2008-05-20,04:00:00,bef
2008-02-20 05:00:00,0.39,0.4,0.013300000000000001,2008-02-20,05:00:00,bef
2007-11-27 05:00:00,0.39,0.31,-0.1948,2007-11-27,05:00:00,bef
2007-08-21 04:00:00,0.36,0.37,0.030600000000000002,2007-08-21,04:00:00,bef
2007-05-22 04:00:00,0.35,0.37,0.0588,2007-05-22,04:00:00,bef
2007-02-21 05:00:00,0.41,0.44,0.08140000000000001,2007-02-21,05:00:00,bef
2006-11-14 05:00:00,0.4,0.39,-0.030699999999999998,2006-11-14,05:00:00,bef
2006-08-10 04:00:00,0.45,0.43,-0.0351,2006-08-10,04:00:00,bef
2006-05-11 04:00:00,0.4,0.41,0.016,2006-05-11,04:00:00,bef
2006-02-09 05:00:00,0.36,0.37,0.0291,2006-02-09,05:00:00,bef
2005-11-15 05:00:00,0.34,0.36,0.0438,2005-11-15,05:00:00,bef
2005-08-11 04:00:00,0.31,0.32,0.0323,2005-08-11,04:00:00,bef
2005-05-12 04:00:00,0.3,0.31,0.0346,2005-05-12,04:00:00,bef
2005-02-10 05:00:00,0.29,0.28,-0.0421,2005-02-10,05:00:00,bef
2004-11-23 05:00:00,0.33,0.34,0.015500000000000002,2004-11-23,05:00:00,bef
2004-08-12 04:00:00,0.45,0.43,-0.0421,2004-08-12,04:00:00,bef
2004-05-13 04:00:00,0.35,0.39,0.1042,2004-05-13,04:00:00,bef
2004-02-12 05:00:00,0.28,0.3,0.054900000000000004,2004-02-12,05:00:00,bef
2003-11-18 05:00:00,0.23,0.25,0.0781,2003-11-18,05:00:00,bef
2003-08-14 04:00:00,0.21,0.21,0.0028000000000000004,2003-08-14,04:00:00,bef
2003-05-14 04:00:00,0.18,0.19,0.0556,2003-05-14,04:00:00,bef
2003-02-13 05:00:00,0.16,0.16,0.0033000000000000004,2003-02-13,05:00:00,bef
2002-08-15 04:00:00,0.15,0.15,0.0079,2002-08-15,04:00:00,bef
2002-05-16 04:00:00,0.12,0.13,0.061200000000000004,2002-05-16,04:00:00,bef
2001-11-20 05:00:00,0.12,0.14,0.13670000000000002,2001-11-20,05:00:00,bef
2001-08-16 04:00:00,0.17,0.17,0.0212,2001-08-16,04:00:00,bef
2001-05-17 04:00:00,0.31,0.31,-0.005600000000000001,2001-05-17,04:00:00,bef
2001-02-15 05:00:00,0.5,0.5,0.0015,2001-02-15,05:00:00,bef
2000-11-14 05:00:00,0.5,0.54,0.0766,2000-11-14,05:00:00,bef
2000-08-15 04:00:00,0.37,0.43,0.16219999999999998,2000-08-15,04:00:00,bef
2000-05-17 04:00:00,0.29,0.32,0.113,2000-05-17,04:00:00,bef
2000-02-16 05:00:00,0.22,0.25,0.1198,2000-02-16,05:00:00,bef
1999-12-01 05:00:00,0.18,0.2,0.1429,1999-12-01,05:00:00,bef
1999-08-18 04:00:00,0.15,0.15,0.027000000000000003,1999-08-18,04:00:00,bef
1999-05-19 04:00:00,0.11,0.13,0.08960000000000001,1999-05-19,04:00:00,bef
1999-02-17 05:00:00,0.09,0.1,0.1176,1999-02-17,05:00:00,bef
1998-12-02 05:00:00,0.07,0.08,0.08109999999999999,1998-12-02,05:00:00,bef
1998-08-19 04:00:00,0.1,0.08,-0.23570000000000002,1998-08-19,04:00:00,bef
1998-05-20 04:00:00,0.16,0.14,-0.1187,1998-05-20,04:00:00,bef
1998-02-18 05:00:00,0.14,0.13,-0.1011,1998-02-18,05:00:00,bef
1997-12-03 05:00:00,0.15,0.14,-0.011399999999999999,1997-12-03,05:00:00,bef
1997-08-20 04:00:00,0.13,0.14,0.0115,1997-08-20,04:00:00,bef
1997-05-21 04:00:00,0.13,0.13,-0.0234,1997-05-21,04:00:00,bef
1997-02-19 05:00:00,0.13,0.12,-0.11539999999999999,1997-02-19,05:00:00,bef
1996-08-21 04:00:00,0.14,0.13,-0.0541,1996-08-21,04:00:00,bef
1996-05-22 04:00:00,0.13,0.13,-0.005699999999999999,1996-05-22,04:00:00,bef
1996-02-21 05:00:00,0.11,0.12,0.09269999999999999,1996-02-21,05:00:00,bef
1995-11-29 05:00:00,0.11,0.11,0.047599999999999996,1995-11-29,05:00:00,bef
1995-08-16 04:00:00,0.1,0.1,0.0417,1995-08-16,04:00:00,bef
1995-05-17 04:00:00,0.08,0.09,0.0816,1995-05-17,04:00:00,bef
1995-02-15 05:00:00,0.07,0.08,0.0495,1995-02-15,05:00:00,bef
1994-11-30 05:00:00,0.07,0.07,0.032799999999999996,1994-11-30,05:00:00,bef
1994-08-17 04:00:00,0.06,0.06,0.0088,1994-08-17,04:00:00,bef
1994-05-18 04:00:00,0.05,0.06,0.0652,1994-05-18,04:00:00,bef
1994-02-16 05:00:00,0.05,0.05,0.0256,1994-02-16,05:00:00,bef
1993-12-01 05:00:00,0.04,0.05,0.046900000000000004,1993-12-01,05:00:00,bef
1993-08-18 04:00:00,0.04,0.04,0.051,1993-08-18,04:00:00,bef
1993-05-19 04:00:00,0.03,0.03,0.0202,1993-05-19,04:00:00,bef
1993-02-17 05:00:00,0.03,0.03,0.021400000000000002,1993-02-17,05:00:00,bef
