Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 07:00:00,1.72,2.15,0.2536,2022-07-26,07:00:00,bef
2022-04-26 07:00:00,1.41,1.9,0.3514,2022-04-26,07:00:00,bef
2022-01-25 07:00:00,1.37,1.5,0.0965,2022-01-25,07:00:00,bef
2021-10-26 07:00:00,0.89,0.97,0.0936,2021-10-26,07:00:00,bef
2021-07-27 07:00:00,1.03,1.33,0.2938,2021-07-27,07:00:00,bef
2021-04-27 07:00:00,1.05,1.39,0.3301,2021-04-27,07:00:00,bef
2021-01-26 07:00:00,1.1,1.21,0.10099999999999999,2021-01-26,07:00:00,bef
2020-10-29 16:00:00,0.71,0.89,0.2465,2020-10-29,16:00:00,aft
2020-07-29 16:00:00,0.51,0.85,0.6634000000000001,2020-07-29,16:00:00,aft
2020-04-29 16:00:00,0.55,0.64,0.16579999999999998,2020-04-29,16:00:00,aft
2020-01-29 16:00:00,0.69,1.42,1.064,2020-01-29,16:00:00,aft
2019-10-31 07:00:00,0.69,0.77,0.1176,2019-10-31,07:00:00,bef
2019-08-01 07:00:00,0.61,0.6,-0.0083,2019-08-01,07:00:00,bef
2019-04-26 07:00:00,0.6,0.46,-0.22820000000000001,2019-04-26,07:00:00,bef
2019-02-05 07:00:00,0.92,0.88,-0.044500000000000005,2019-02-05,07:00:00,bef
2018-11-06 07:00:00,0.83,0.92,0.10310000000000001,2018-11-06,07:00:00,bef
2018-07-31 07:00:00,0.77,1.02,0.3299,2018-07-31,07:00:00,bef
2018-05-01 07:00:00,0.5,0.68,0.3737,2018-05-01,07:00:00,bef
2018-02-06 07:00:00,0.7,0.82,0.1648,2018-02-06,07:00:00,bef
2017-10-31 07:00:00,0.56,0.45,-0.18920000000000003,2017-10-31,07:00:00,bef
2017-08-01 07:00:00,0.52,0.57,0.092,2017-08-01,07:00:00,bef
2017-05-02 07:00:00,0.62,0.6,-0.0244,2017-05-02,07:00:00,bef
2017-02-07 07:00:00,0.77,0.75,-0.0209,2017-02-07,07:00:00,bef
2016-11-01 07:00:00,0.46,0.59,0.2771,2016-11-01,07:00:00,bef
2016-08-02 07:00:00,0.45,0.41,-0.0828,2016-08-02,07:00:00,bef
