Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-24 16:00:00,1.57,1.65,0.0483,2022-08-24,16:00:00,aft
2022-05-26 16:00:00,1.34,1.43,0.0664,2022-05-26,16:00:00,aft
2022-02-24 16:00:00,1.44,1.5,0.0431,2022-02-24,16:00:00,aft
2021-11-23 16:00:00,1.25,1.33,0.060599999999999994,2021-11-23,16:00:00,aft
2021-08-25 16:00:00,1.13,1.21,0.0736,2021-08-25,16:00:00,aft
2021-05-27 16:00:00,0.94,1.03,0.09460000000000002,2021-05-27,16:00:00,aft
2021-02-25 16:00:00,1.07,1.18,0.0987,2021-02-25,16:00:00,aft
2020-11-24 16:00:00,0.96,1.04,0.08220000000000001,2020-11-24,16:00:00,aft
2020-08-25 16:00:00,0.9,0.98,0.0925,2020-08-25,16:00:00,aft
2020-05-27 16:00:00,0.8,0.85,0.061200000000000004,2020-05-27,16:00:00,aft
2020-02-27 16:00:00,0.89,0.92,0.0325,2020-02-27,16:00:00,aft
2019-11-26 16:00:00,0.72,0.78,0.07730000000000001,2019-11-26,16:00:00,aft
2019-08-27 16:00:00,0.61,0.65,0.058600000000000006,2019-08-27,16:00:00,aft
2019-05-23 16:00:00,0.47,0.45,-0.0364,2019-05-23,16:00:00,aft
2019-02-28 16:00:00,0.42,0.46,0.0926,2019-02-28,16:00:00,aft
2018-11-20 16:00:00,0.27,0.29,0.0861,2018-11-20,16:00:00,aft
2018-08-23 16:00:00,0.16,0.19,0.2258,2018-08-23,16:00:00,aft
2018-05-24 16:00:00,0.03,0.06,0.875,2018-05-24,16:00:00,aft
2018-03-06 16:00:00,-0.11,-0.09,0.21050000000000002,2018-03-06,16:00:00,aft
2017-11-28 16:00:00,-0.13,-0.12,0.07690000000000001,2017-11-28,16:00:00,aft
2017-08-24 16:00:00,-0.15,-0.11,0.2857,2017-08-24,16:00:00,aft
2017-05-18 16:00:00,-0.24,-0.16,0.32770000000000005,2017-05-18,16:00:00,aft
2017-03-02 16:00:00,-0.34,-0.28,0.1716,2017-03-02,16:00:00,aft
2016-11-29 16:00:00,-0.24,-0.18,0.25,2016-11-29,16:00:00,aft
2016-08-25 16:00:00,-0.13,0.05,1.3731,2016-08-25,16:00:00,aft
2016-05-19 16:00:00,-0.14,-0.1,0.2754,2016-05-19,16:00:00,aft
2016-02-25 16:00:00,0.11,0.21,0.9266,2016-02-25,16:00:00,aft
2015-11-19 16:00:00,0.08,0.14,0.8421,2015-11-19,16:00:00,aft
2015-08-27 16:00:00,0.17,0.19,0.10470000000000002,2015-08-27,16:00:00,aft
2015-05-19 16:00:00,0.28,0.3,0.0676,2015-05-19,16:00:00,aft
2015-02-26 16:00:00,0.24,0.25,0.0246,2015-02-26,16:00:00,aft
2014-11-20 16:00:00,0.22,0.25,0.1161,2014-11-20,16:00:00,aft
2014-08-14 16:00:00,0.28,0.35,0.2281,2014-08-14,16:00:00,aft
2014-05-15 04:00:00,0.21,0.32,0.4949,2014-05-15,04:00:00,bef
2014-02-26 05:00:00,0.34,0.4,0.18050000000000002,2014-02-26,05:00:00,bef
2013-11-21 05:00:00,0.39,0.41,0.0543,2013-11-21,05:00:00,bef
2013-08-22 04:00:00,0.42,0.45,0.0721,2013-08-22,04:00:00,bef
2013-05-16 04:00:00,0.45,0.42,-0.0579,2013-05-16,04:00:00,bef
2013-02-25 05:00:00,0.5,0.53,0.0695,2013-02-25,05:00:00,bef
2012-11-15 05:00:00,0.43,0.47,0.0825,2012-11-15,05:00:00,bef
2012-08-23 04:00:00,0.49,0.48,-0.0183,2012-08-23,04:00:00,bef
2012-05-17 04:00:00,0.47,0.47,-0.006,2012-05-17,04:00:00,bef
2012-02-23 05:00:00,0.45,0.46,0.0319,2012-02-23,05:00:00,bef
2011-11-15 05:00:00,0.41,0.44,0.0815,2011-11-15,05:00:00,bef
2011-08-18 04:00:00,0.41,0.44,0.0815,2011-08-18,04:00:00,bef
2011-05-19 04:00:00,0.37,0.4,0.0746,2011-05-19,04:00:00,bef
2011-02-24 05:00:00,0.34,0.35,0.0396,2011-02-24,05:00:00,bef
2010-11-18 05:00:00,0.32,0.32,-0.0055000000000000005,2010-11-18,05:00:00,bef
2010-08-12 04:00:00,0.27,0.36,0.3211,2010-08-12,04:00:00,bef
2010-05-19 04:00:00,0.22,0.29,0.29059999999999997,2010-05-19,04:00:00,bef
2010-02-23 05:00:00,0.23,0.3,0.3079,2010-02-23,05:00:00,bef
2009-11-17 05:00:00,0.23,0.27,0.19690000000000002,2009-11-17,05:00:00,bef
2009-08-13 04:00:00,0.19,0.24,0.2903,2009-08-13,04:00:00,bef
2009-05-21 04:00:00,0.08,0.18,1.3722,2009-05-21,04:00:00,bef
2009-02-26 05:00:00,0.21,0.31,0.5122,2009-02-26,05:00:00,bef
2008-11-20 05:00:00,0.53,0.56,0.048499999999999995,2008-11-20,05:00:00,bef
2008-08-14 04:00:00,0.52,0.56,0.0821,2008-08-14,04:00:00,bef
2008-05-15 04:00:00,0.48,0.5,0.0477,2008-05-15,04:00:00,bef
2008-02-26 05:00:00,0.54,0.52,-0.0339,2008-02-26,05:00:00,bef
2007-11-15 05:00:00,0.47,0.49,0.034,2007-11-15,05:00:00,bef
2007-08-16 04:00:00,0.43,0.44,0.0275,2007-08-16,04:00:00,bef
2007-06-08 04:00:00,0.44,0.44,-0.006600000000000001,2007-06-08,04:00:00,bef
2007-06-04 04:00:00,0.38,0.39,0.0354,2007-06-04,04:00:00,bef
2006-05-18 04:00:00,0.31,0.32,0.024,2006-05-18,04:00:00,bef
2006-02-28 05:00:00,0.35,0.37,0.0605,2006-02-28,05:00:00,bef
2005-11-17 05:00:00,0.3,0.31,0.0433,2005-11-17,05:00:00,bef
2005-08-18 04:00:00,0.24,0.29,0.20260000000000003,2005-08-18,04:00:00,bef
2005-05-19 04:00:00,0.28,0.3,0.068,2005-05-19,04:00:00,bef
2005-02-22 05:00:00,0.28,0.3,0.0683,2005-02-22,05:00:00,bef
2004-11-18 05:00:00,0.17,0.38,1.2053,2004-11-18,05:00:00,bef
2004-08-19 04:00:00,0.15,0.34,1.2973,2004-08-19,04:00:00,bef
2004-05-18 04:00:00,0.15,0.41,1.7243000000000002,2004-05-18,04:00:00,bef
2004-02-26 05:00:00,0.15,0.45,2.0566,2004-02-26,05:00:00,bef
2003-11-20 05:00:00,0.07,0.2,1.7972000000000001,2003-11-20,05:00:00,bef
2003-08-21 04:00:00,0.05,0.11,1.2449,2003-08-21,04:00:00,bef
2003-05-22 04:00:00,0.02,0.07,2.0728999999999997,2003-05-22,04:00:00,bef
2003-02-25 05:00:00,0.03,0.04,0.2963,2003-02-25,05:00:00,bef
2002-11-21 05:00:00,0.02,0.03,0.1426,2002-11-21,05:00:00,bef
2002-08-15 04:00:00,0.05,0.07,0.23809999999999998,2002-08-15,04:00:00,bef
2002-05-16 04:00:00,0.07,0.08,0.098,2002-05-16,04:00:00,bef
2002-02-21 05:00:00,0.13,0.16,0.289,2002-02-21,05:00:00,bef
2001-11-15 05:00:00,0.09,0.09,0.023,2001-11-15,05:00:00,bef
2001-08-16 04:00:00,0.12,0.13,0.1306,2001-08-16,04:00:00,bef
2001-05-17 04:00:00,0.12,0.14,0.2084,2001-05-17,04:00:00,bef
2001-02-22 05:00:00,0.13,0.14,0.10830000000000001,2001-02-22,05:00:00,bef
2000-11-16 05:00:00,0.08,0.1,0.1259,2000-11-16,05:00:00,bef
2000-08-17 04:00:00,0.1,0.11,0.075,2000-08-17,04:00:00,bef
2000-05-18 04:00:00,0.11,0.12,0.086,2000-05-18,04:00:00,bef
2000-02-24 05:00:00,0.1,0.12,0.2,2000-02-24,05:00:00,bef
1999-11-23 05:00:00,0.03,0.07,1.3478,1999-11-23,05:00:00,bef
1999-08-26 04:00:00,0.03,0.02,-0.1176,1999-08-26,04:00:00,bef
1999-05-28 04:00:00,0.04,0.04,-0.028700000000000003,1999-05-28,04:00:00,bef
1999-02-24 05:00:00,0.13,0.13,-0.0688,1999-02-24,05:00:00,bef
1998-11-19 05:00:00,0.11,0.11,0.0095,1998-11-19,05:00:00,bef
1998-08-20 04:00:00,0.14,0.14,0.037000000000000005,1998-08-20,04:00:00,bef
1998-05-21 04:00:00,0.13,0.14,0.057699999999999994,1998-05-21,04:00:00,bef
1998-02-25 05:00:00,0.14,0.15,0.0698,1998-02-25,05:00:00,bef
1997-11-20 05:00:00,0.09,0.1,0.08310000000000001,1997-11-20,05:00:00,bef
1997-08-21 04:00:00,0.08,0.09,0.09949999999999999,1997-08-21,04:00:00,bef
1997-02-26 05:00:00,0.04,0.03,-0.10890000000000001,1997-02-26,05:00:00,bef
1996-11-21 05:00:00,0.04,0.03,-0.0889,1996-11-21,05:00:00,bef
1996-08-15 04:00:00,0.1,0.08,-0.25620000000000004,1996-08-15,04:00:00,bef
1996-05-16 04:00:00,0.1,0.1,-0.0285,1996-05-16,04:00:00,bef
1996-02-21 05:00:00,0.1,0.09,-0.1152,1996-02-21,05:00:00,bef
1995-11-16 05:00:00,0.11,0.1,-0.0968,1995-11-16,05:00:00,bef
1995-08-18 04:00:00,0.13,0.13,0.015600000000000001,1995-08-18,04:00:00,bef
1995-05-18 04:00:00,0.12,0.13,0.0454,1995-05-18,04:00:00,bef
1995-02-22 05:00:00,0.11,0.12,0.07769999999999999,1995-02-22,05:00:00,bef
