Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 06:00:00,1.19,1.2,0.009300000000000001,2022-07-27,06:00:00,bef
2022-04-28 06:00:00,1.2,1.22,0.0201,2022-04-28,06:00:00,bef
2022-02-24 07:00:00,0.93,0.98,0.0493,2022-02-24,07:00:00,bef
2021-10-28 06:00:00,1.46,1.43,-0.0179,2021-10-28,06:00:00,bef
2021-07-22 06:00:00,1.14,1.18,0.0378,2021-07-22,06:00:00,bef
2021-04-22 06:00:00,1.17,1.15,-0.0154,2021-04-22,06:00:00,bef
2021-02-25 06:00:00,0.79,0.87,0.1027,2021-02-25,06:00:00,bef
2020-10-22 06:00:00,1.48,1.47,-0.0054,2020-10-22,06:00:00,bef
2020-08-06 07:00:00,1.06,1.08,0.0179,2020-08-06,07:00:00,bef
2020-05-06 06:00:00,1.1,1.02,-0.06849999999999999,2020-05-06,06:00:00,bef
2020-02-20 06:00:00,0.58,0.6,0.0327,2020-02-20,06:00:00,bef
2019-10-24 06:00:00,1.32,1.46,0.1061,2019-10-24,06:00:00,bef
2019-07-25 06:00:00,0.97,1.0,0.0267,2019-07-25,06:00:00,bef
2019-04-25 06:00:00,1.12,1.19,0.06730000000000001,2019-04-25,06:00:00,bef
2019-01-24 06:00:00,0.71,0.72,0.0184,2019-01-24,06:00:00,bef
2018-10-25 06:00:00,1.21,1.26,0.0405,2018-10-25,06:00:00,bef
2018-07-25 06:00:00,0.88,1.01,0.149,2018-07-25,06:00:00,bef
2018-04-26 06:00:00,0.98,0.96,-0.0234,2018-04-26,06:00:00,bef
2018-01-25 06:00:00,0.79,0.85,0.0746,2018-01-25,06:00:00,bef
2017-10-26 06:00:00,1.16,1.1,-0.0525,2017-10-26,06:00:00,bef
2017-07-27 06:00:00,0.82,0.75,-0.0809,2017-07-27,06:00:00,bef
2017-04-27 06:00:00,0.95,0.96,0.0148,2017-04-27,06:00:00,bef
2017-01-26 06:00:00,0.55,0.67,0.22260000000000002,2017-01-26,06:00:00,bef
2016-11-01 06:00:00,1.22,1.3,0.06820000000000001,2016-11-01,06:00:00,bef
2016-07-28 06:00:00,0.9,0.95,0.061500000000000006,2016-07-28,06:00:00,bef
2016-04-28 06:00:00,1.04,1.02,-0.0192,2016-04-28,06:00:00,bef
2016-01-28 06:00:00,0.5,0.48,-0.0323,2016-01-28,06:00:00,bef
2015-10-22 06:00:00,1.01,1.06,0.048499999999999995,2015-10-22,06:00:00,bef
2015-07-23 06:00:00,0.81,0.88,0.09179999999999999,2015-07-23,06:00:00,bef
2015-04-23 06:00:00,1.1,1.28,0.16579999999999998,2015-04-23,06:00:00,bef
2015-01-28 06:00:00,0.5,0.48,-0.04190000000000001,2015-01-28,06:00:00,bef
2014-10-23 06:00:00,1.01,1.01,0.002,2014-10-23,06:00:00,bef
2014-07-25 04:00:00,0.75,0.8,0.065,2014-07-25,04:00:00,bef
2014-04-25 04:00:00,0.93,1.15,0.2374,2014-04-25,04:00:00,bef
2014-01-27 05:00:00,0.57,0.6,0.057699999999999994,2014-01-27,05:00:00,bef
2013-10-23 04:00:00,1.09,1.1,0.0116,2013-10-23,04:00:00,bef
2013-07-25 04:00:00,0.74,0.73,-0.015500000000000002,2013-07-25,04:00:00,bef
2013-04-26 04:00:00,0.81,0.8,-0.0128,2013-04-26,04:00:00,bef
2013-02-15 05:00:00,0.46,0.5,0.0977,2013-02-15,05:00:00,bef
2012-10-24 04:00:00,1.03,1.02,-0.0095,2012-10-24,04:00:00,bef
2012-07-20 04:00:00,0.71,0.77,0.0891,2012-07-20,04:00:00,bef
2012-04-20 04:00:00,0.79,0.8,0.0179,2012-04-20,04:00:00,bef
2012-01-27 05:00:00,0.4,0.4,-0.0117,2012-01-27,05:00:00,bef
2011-10-26 04:00:00,1.15,1.17,0.0201,2011-10-26,04:00:00,bef
2011-07-29 04:00:00,0.76,0.73,-0.0353,2011-07-29,04:00:00,bef
2011-04-21 04:00:00,0.8,0.82,0.0269,2011-04-21,04:00:00,bef
2011-01-28 05:00:00,0.4,0.38,-0.0424,2011-01-28,05:00:00,bef
2010-10-19 04:00:00,1.04,1.15,0.1033,2010-10-19,04:00:00,bef
2010-07-30 04:00:00,0.69,0.74,0.0702,2010-07-30,04:00:00,bef
2010-04-29 04:00:00,0.78,0.76,-0.027700000000000002,2010-04-29,04:00:00,bef
2010-01-28 05:00:00,0.46,0.5,0.0848,2010-01-28,05:00:00,bef
2009-10-29 04:00:00,0.85,0.93,0.0953,2009-10-29,04:00:00,bef
2009-07-31 04:00:00,0.61,0.68,0.11660000000000001,2009-07-31,04:00:00,bef
2009-04-24 04:00:00,0.79,0.89,0.12029999999999999,2009-04-24,04:00:00,bef
2009-01-29 05:00:00,0.53,0.59,0.1195,2009-01-29,05:00:00,bef
2008-10-31 04:00:00,1.04,0.93,-0.1067,2008-10-31,04:00:00,bef
2008-07-31 04:00:00,0.68,0.7,0.037000000000000005,2008-07-31,04:00:00,bef
2008-04-24 04:00:00,0.87,1.02,0.1711,2008-04-24,04:00:00,bef
2008-01-29 05:00:00,0.5,0.52,0.0464,2008-01-29,05:00:00,bef
2007-10-24 04:00:00,1.11,1.16,0.0442,2007-10-24,04:00:00,bef
2007-07-31 04:00:00,0.58,0.64,0.10869999999999999,2007-07-31,04:00:00,bef
2007-04-26 04:00:00,0.72,0.68,-0.053200000000000004,2007-04-26,04:00:00,bef
2007-01-30 05:00:00,0.37,0.38,0.04,2007-01-30,05:00:00,bef
2006-10-31 05:00:00,0.99,0.99,0.0039000000000000003,2006-10-31,05:00:00,bef
2006-07-27 04:00:00,0.54,0.44,-0.18789999999999998,2006-07-27,04:00:00,bef
2006-04-27 04:00:00,0.88,0.96,0.0951,2006-04-27,04:00:00,bef
2006-02-01 05:00:00,0.25,0.29,0.1608,2006-02-01,05:00:00,bef
2005-10-27 04:00:00,0.82,0.95,0.16510000000000002,2005-10-27,04:00:00,bef
2005-07-29 04:00:00,0.43,0.61,0.4269,2005-07-29,04:00:00,bef
2005-04-28 04:00:00,0.71,0.88,0.24190000000000003,2005-04-28,04:00:00,bef
2005-01-27 05:00:00,0.43,0.42,-0.0128,2005-01-27,05:00:00,bef
2004-10-21 04:00:00,0.74,0.8,0.0884,2004-10-21,04:00:00,bef
2004-07-30 04:00:00,0.43,0.38,-0.1101,2004-07-30,04:00:00,bef
2004-04-29 04:00:00,0.61,0.72,0.1868,2004-04-29,04:00:00,bef
2004-02-03 05:00:00,0.39,0.4,0.0256,2004-02-03,05:00:00,bef
2003-10-23 04:00:00,0.86,0.76,-0.1144,2003-10-23,04:00:00,bef
2003-07-30 04:00:00,0.4,0.44,0.095,2003-07-30,04:00:00,bef
2003-04-29 04:00:00,0.51,0.61,0.1937,2003-04-29,04:00:00,bef
2003-01-24 05:00:00,0.55,0.52,-0.051100000000000007,2003-01-24,05:00:00,bef
2002-10-25 04:00:00,1.05,1.21,0.1512,2002-10-25,04:00:00,bef
