Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-09 16:00:00,1.31,1.35,0.0337,2022-08-09,16:00:00,aft
2022-05-03 16:00:00,1.42,1.39,-0.0211,2022-05-03,16:00:00,aft
2022-02-15 16:00:00,1.42,1.49,0.05,2022-02-15,16:00:00,aft
2021-11-02 16:00:00,1.39,1.45,0.046200000000000005,2021-11-02,16:00:00,aft
2021-08-03 16:00:00,1.39,1.42,0.0253,2021-08-03,16:00:00,aft
2021-05-04 16:00:00,1.3,1.38,0.0591,2021-05-04,16:00:00,aft
2021-02-09 16:00:00,1.31,1.33,0.014499999999999999,2021-02-09,16:00:00,aft
2020-10-27 16:00:00,1.23,1.31,0.0659,2020-10-27,16:00:00,aft
2020-07-28 16:00:00,1.21,1.38,0.13670000000000002,2020-07-28,16:00:00,aft
2020-04-28 16:00:00,1.16,1.2,0.037200000000000004,2020-04-28,16:00:00,aft
2020-02-11 16:00:00,1.13,1.23,0.0885,2020-02-11,16:00:00,aft
2019-10-28 16:00:00,1.0,1.1,0.0956,2019-10-28,16:00:00,aft
2019-07-30 16:00:00,1.0,1.07,0.06570000000000001,2019-07-30,16:00:00,aft
2019-04-30 16:00:00,1.02,1.1,0.0795,2019-04-30,16:00:00,aft
2019-02-12 16:00:00,1.0,1.07,0.0732,2019-02-12,16:00:00,aft
2018-10-29 16:00:00,0.83,0.94,0.1285,2018-10-29,16:00:00,aft
2018-07-31 16:00:00,0.8,0.83,0.042699999999999995,2018-07-31,16:00:00,aft
2018-04-30 16:00:00,0.7,0.79,0.1334,2018-04-30,16:00:00,aft
2018-02-06 16:00:00,0.63,0.69,0.09699999999999999,2018-02-06,16:00:00,aft
2017-10-24 16:00:00,0.59,0.62,0.0562,2017-10-24,16:00:00,aft
2017-07-25 16:00:00,0.6,0.62,0.0265,2017-07-25,16:00:00,aft
2017-05-02 16:00:00,0.67,0.69,0.0253,2017-05-02,16:00:00,aft
2017-02-07 16:00:00,0.68,0.72,0.0542,2017-02-07,16:00:00,aft
2016-10-25 16:00:00,0.61,0.68,0.11660000000000001,2016-10-25,16:00:00,aft
2016-07-26 16:00:00,0.64,0.64,0.0063,2016-07-26,16:00:00,aft
2016-04-26 16:00:00,0.63,0.66,0.047599999999999996,2016-04-26,16:00:00,aft
2016-02-09 16:00:00,0.62,0.72,0.1557,2016-02-09,16:00:00,aft
2015-10-27 16:00:00,0.57,0.62,0.07830000000000001,2015-10-27,16:00:00,aft
2015-07-28 16:00:00,0.58,0.57,-0.0172,2015-07-28,16:00:00,aft
2015-04-28 16:00:00,0.61,0.61,-0.0033000000000000004,2015-04-28,16:00:00,aft
2015-02-10 16:00:00,0.63,0.65,0.0301,2015-02-10,16:00:00,aft
2014-10-29 16:00:00,0.57,0.62,0.0935,2014-10-29,16:00:00,aft
2014-07-30 04:00:00,0.55,0.58,0.047599999999999996,2014-07-30,04:00:00,bef
2014-05-01 04:00:00,0.53,0.58,0.08650000000000001,2014-05-01,04:00:00,bef
2014-02-05 05:00:00,0.52,0.55,0.06730000000000001,2014-02-05,05:00:00,bef
2013-10-23 04:00:00,0.46,0.5,0.07769999999999999,2013-10-23,04:00:00,bef
2013-07-24 04:00:00,0.45,0.46,0.0115,2013-07-24,04:00:00,bef
2013-04-24 04:00:00,0.46,0.43,-0.0626,2013-04-24,04:00:00,bef
2013-02-06 05:00:00,0.5,0.54,0.08869999999999999,2013-02-06,05:00:00,bef
2012-10-24 04:00:00,0.41,0.43,0.043,2012-10-24,04:00:00,bef
2012-07-25 04:00:00,0.37,0.43,0.1637,2012-07-25,04:00:00,bef
2012-04-25 04:00:00,0.38,0.41,0.0725,2012-04-25,04:00:00,bef
2012-02-08 05:00:00,0.4,0.45,0.1318,2012-02-08,05:00:00,bef
2011-10-26 04:00:00,0.33,0.34,0.027200000000000002,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,0.36,0.35,-0.0351,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,0.37,0.38,0.0405,2011-04-27,04:00:00,bef
2011-02-09 05:00:00,0.38,0.4,0.048,2011-02-09,05:00:00,bef
2010-10-27 04:00:00,0.33,0.34,0.016399999999999998,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,0.34,0.34,0.006999999999999999,2010-07-28,04:00:00,bef
2010-04-28 04:00:00,0.31,0.35,0.1192,2010-04-28,04:00:00,bef
2010-02-03 05:00:00,0.43,0.34,-0.2093,2010-02-03,05:00:00,bef
2009-10-28 04:00:00,0.35,0.28,-0.1967,2009-10-28,04:00:00,bef
2009-07-29 04:00:00,0.41,0.29,-0.28750000000000003,2009-07-29,04:00:00,bef
2009-04-29 04:00:00,0.4,0.31,-0.2268,2009-04-29,04:00:00,bef
