Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 05:00:00,1.34,1.37,0.0262,2022-07-28,05:00:00,bef
2022-04-26 06:00:00,0.98,1.07,0.09630000000000001,2022-04-26,06:00:00,bef
2022-02-15 05:00:00,1.02,1.11,0.0925,2022-02-15,05:00:00,bef
2021-10-21 05:00:00,1.29,1.56,0.2121,2021-10-21,05:00:00,bef
2021-07-22 05:00:00,1.32,1.32,-0.003,2021-07-22,05:00:00,bef
2021-04-22 06:00:00,1.02,1.2,0.1765,2021-04-22,06:00:00,bef
2021-02-16 05:00:00,1.19,1.49,0.249,2021-02-16,05:00:00,bef
2020-10-22 05:00:00,1.22,1.67,0.3655,2020-10-22,05:00:00,bef
2020-07-23 05:00:00,0.84,0.92,0.09,2020-07-23,05:00:00,bef
2020-04-23 05:00:00,0.89,1.04,0.1699,2020-04-23,05:00:00,bef
2020-02-18 05:00:00,1.29,1.28,-0.0062,2020-02-18,05:00:00,bef
2019-10-24 05:00:00,1.32,1.47,0.1103,2019-10-24,05:00:00,bef
2019-07-25 05:00:00,1.32,1.26,-0.044000000000000004,2019-07-25,05:00:00,bef
2019-04-25 05:00:00,0.87,0.88,0.016200000000000003,2019-04-25,05:00:00,bef
2019-02-19 05:00:00,1.22,1.22,0.0016,2019-02-19,05:00:00,bef
2018-10-25 05:00:00,1.21,1.23,0.013200000000000002,2018-10-25,05:00:00,bef
2018-07-26 05:00:00,1.19,1.25,0.0478,2018-07-26,05:00:00,bef
2018-04-26 05:00:00,0.85,0.8,-0.057699999999999994,2018-04-26,05:00:00,bef
2018-02-20 05:00:00,0.93,1.11,0.1935,2018-02-20,05:00:00,bef
2017-10-26 05:00:00,1.02,1.02,0.001,2017-10-26,05:00:00,bef
2017-07-27 05:00:00,1.0,1.11,0.10560000000000001,2017-07-27,05:00:00,bef
2017-04-27 05:00:00,0.69,0.73,0.0564,2017-04-27,05:00:00,bef
2017-02-09 05:00:00,0.87,0.81,-0.07110000000000001,2017-02-09,05:00:00,bef
2016-10-27 06:00:00,0.95,0.93,-0.0211,2016-10-27,06:00:00,bef
2016-07-28 06:00:00,0.9,0.99,0.1,2016-07-28,06:00:00,bef
2016-04-28 06:00:00,0.64,0.61,-0.05280000000000001,2016-04-28,06:00:00,bef
2016-02-11 06:00:00,0.74,0.89,0.2109,2016-02-11,06:00:00,bef
2015-10-29 06:00:00,0.78,0.92,0.1825,2015-10-29,06:00:00,bef
2015-07-30 06:00:00,0.7,0.71,0.0085,2015-07-30,06:00:00,bef
2015-04-30 06:00:00,0.47,0.51,0.0897,2015-04-30,06:00:00,bef
2015-02-18 06:00:00,0.68,0.76,0.1176,2015-02-18,06:00:00,bef
2014-10-30 06:00:00,0.65,0.68,0.051,2014-10-30,06:00:00,bef
2014-07-30 04:00:00,0.64,0.61,-0.0404,2014-07-30,04:00:00,bef
2014-04-30 04:00:00,0.44,0.44,0.0017000000000000001,2014-04-30,04:00:00,bef
2014-02-19 05:00:00,0.59,0.58,-0.0169,2014-02-19,05:00:00,bef
