Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-18 16:00:00,1.79,1.94,0.08140000000000001,2022-08-18,16:00:00,aft
2022-05-19 16:00:00,1.9,1.85,-0.0268,2022-05-19,16:00:00,aft
2022-02-16 16:00:00,1.86,1.89,0.0189,2022-02-16,16:00:00,aft
2021-11-18 16:00:00,1.95,1.94,-0.0067,2021-11-18,16:00:00,aft
2021-08-19 16:00:00,1.77,1.9,0.0716,2021-08-19,16:00:00,aft
2021-05-20 16:00:00,1.51,1.63,0.0795,2021-05-20,16:00:00,aft
2021-02-18 16:00:00,1.28,1.39,0.0893,2021-02-18,16:00:00,aft
2020-11-12 16:00:00,1.17,1.25,0.0675,2020-11-12,16:00:00,aft
2020-08-13 16:00:00,0.95,1.06,0.11230000000000001,2020-08-13,16:00:00,aft
2020-05-14 16:00:00,0.94,0.89,-0.0512,2020-05-14,16:00:00,aft
2020-02-12 16:00:00,0.93,0.98,0.058300000000000005,2020-02-12,16:00:00,aft
2019-11-14 16:00:00,0.76,0.8,0.054000000000000006,2019-11-14,16:00:00,aft
2019-08-15 16:00:00,0.7,0.74,0.0556,2019-08-15,16:00:00,aft
2019-05-16 16:00:00,0.66,0.7,0.0622,2019-05-16,16:00:00,aft
2019-02-14 16:00:00,0.79,0.81,0.024,2019-02-14,16:00:00,aft
2018-11-15 16:00:00,0.97,0.97,0.0040999999999999995,2018-11-15,16:00:00,aft
2018-08-16 16:00:00,1.17,1.2,0.028300000000000002,2018-08-16,16:00:00,aft
2018-05-17 16:00:00,1.14,1.22,0.0702,2018-05-17,16:00:00,aft
2018-02-14 16:00:00,0.98,1.06,0.0805,2018-02-14,16:00:00,aft
2017-11-16 16:00:00,0.91,0.93,0.0265,2017-11-16,16:00:00,aft
2017-08-17 16:00:00,0.84,0.86,0.028700000000000003,2017-08-17,16:00:00,aft
2017-05-18 16:00:00,0.76,0.79,0.0354,2017-05-18,16:00:00,aft
2017-02-15 16:00:00,0.66,0.67,0.0198,2017-02-15,16:00:00,aft
2016-11-17 16:00:00,0.65,0.66,0.0092,2016-11-17,16:00:00,aft
2016-08-18 16:00:00,0.48,0.5,0.0504,2016-08-18,16:00:00,aft
2016-05-19 16:00:00,0.32,0.34,0.0658,2016-05-19,16:00:00,aft
2016-02-18 16:00:00,0.25,0.26,0.0236,2016-02-18,16:00:00,aft
2015-11-12 16:00:00,0.29,0.29,0.0069,2015-11-12,16:00:00,aft
2015-08-13 16:00:00,0.33,0.33,-0.003,2015-08-13,16:00:00,aft
2015-05-14 16:00:00,0.28,0.29,0.0432,2015-05-14,16:00:00,aft
2015-02-11 16:00:00,0.27,0.27,0.0037,2015-02-11,16:00:00,aft
2014-11-13 16:00:00,0.27,0.27,0.0037,2014-11-13,16:00:00,aft
2014-08-14 16:00:00,0.27,0.28,0.037000000000000005,2014-08-14,16:00:00,aft
2014-05-15 04:00:00,0.28,0.28,0.0085,2014-05-15,04:00:00,bef
2014-02-12 05:00:00,0.22,0.23,0.0255,2014-02-12,05:00:00,bef
2013-11-14 05:00:00,0.18,0.19,0.052300000000000006,2013-11-14,05:00:00,bef
2013-08-15 04:00:00,0.19,0.18,-0.0658,2013-08-15,04:00:00,bef
2013-05-16 04:00:00,0.13,0.16,0.2248,2013-05-16,04:00:00,bef
2013-02-13 05:00:00,0.03,0.06,0.8821,2013-02-13,05:00:00,bef
2012-11-15 05:00:00,0.03,0.06,0.8945000000000001,2012-11-15,05:00:00,bef
2012-08-15 04:00:00,0.22,0.24,0.09880000000000001,2012-08-15,04:00:00,bef
2012-05-17 04:00:00,0.24,0.27,0.1306,2012-05-17,04:00:00,bef
2012-02-17 05:00:00,0.12,0.18,0.4595,2012-02-17,05:00:00,bef
2011-11-16 05:00:00,0.19,0.21,0.0825,2011-11-16,05:00:00,bef
2011-08-24 04:00:00,0.33,0.35,0.0526,2011-08-24,04:00:00,bef
2011-05-24 04:00:00,0.37,0.38,0.0285,2011-05-24,04:00:00,bef
2011-02-24 05:00:00,0.33,0.36,0.0992,2011-02-24,05:00:00,bef
2010-11-17 05:00:00,0.31,0.36,0.1703,2010-11-17,05:00:00,bef
2010-08-18 04:00:00,0.25,0.29,0.1417,2010-08-18,04:00:00,bef
2010-05-19 04:00:00,0.21,0.22,0.0451,2010-05-19,04:00:00,bef
2010-02-17 05:00:00,0.13,0.13,-0.031400000000000004,2010-02-17,05:00:00,bef
2009-11-11 05:00:00,0.03,0.11,2.8075,2009-11-11,05:00:00,bef
2009-08-11 04:00:00,-0.08,-0.03,0.625,2009-08-11,04:00:00,bef
2009-05-12 04:00:00,-0.1,-0.12,-0.19010000000000002,2009-05-12,04:00:00,bef
2008-11-12 05:00:00,0.14,0.18,0.2669,2008-11-12,05:00:00,bef
2008-08-12 04:00:00,0.14,0.14,0.0234,2008-08-12,04:00:00,bef
2008-05-13 04:00:00,0.22,0.24,0.1093,2008-05-13,04:00:00,bef
2008-02-12 05:00:00,0.2,0.23,0.1405,2008-02-12,05:00:00,bef
2007-11-14 05:00:00,0.29,0.3,0.0463,2007-11-14,05:00:00,bef
2007-08-14 04:00:00,0.32,0.35,0.1093,2007-08-14,04:00:00,bef
2007-05-15 04:00:00,0.28,0.34,0.20140000000000002,2007-05-15,04:00:00,bef
2007-02-13 05:00:00,0.27,0.28,0.0332,2007-02-13,05:00:00,bef
2006-11-15 05:00:00,0.31,0.3,-0.0301,2006-11-15,05:00:00,bef
2006-08-15 04:00:00,0.3,0.32,0.0716,2006-08-15,04:00:00,bef
2006-05-16 04:00:00,0.23,0.26,0.1168,2006-05-16,04:00:00,bef
2006-02-15 05:00:00,0.16,0.17,0.0721,2006-02-15,05:00:00,bef
2005-11-16 05:00:00,0.14,0.17,0.1911,2005-11-16,05:00:00,bef
2005-08-16 04:00:00,0.14,0.14,0.009300000000000001,2005-08-16,04:00:00,bef
2005-05-17 04:00:00,0.17,0.18,0.0608,2005-05-17,04:00:00,bef
2005-02-15 05:00:00,0.16,0.17,0.0934,2005-02-15,05:00:00,bef
2004-11-17 05:00:00,0.26,0.27,0.039900000000000005,2004-11-17,05:00:00,bef
2004-08-17 04:00:00,0.25,0.26,0.055999999999999994,2004-08-17,04:00:00,bef
2004-05-18 04:00:00,0.19,0.22,0.16010000000000002,2004-05-18,04:00:00,bef
2004-02-18 05:00:00,0.08,0.12,0.47950000000000004,2004-02-18,05:00:00,bef
2003-11-12 05:00:00,0.05,0.06,0.1329,2003-11-12,05:00:00,bef
2003-08-12 04:00:00,0.04,0.05,0.34409999999999996,2003-08-12,04:00:00,bef
2003-05-13 04:00:00,0.02,0.03,0.8293,2003-05-13,04:00:00,bef
2002-11-13 05:00:00,0.08,0.09,0.16260000000000002,2002-11-13,05:00:00,bef
