Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 16:00:00,1.03,1.05,0.0165,2022-08-02,16:00:00,aft
2022-05-03 16:00:00,0.91,1.13,0.24180000000000001,2022-05-03,16:00:00,aft
2022-02-01 16:00:00,0.76,0.92,0.2137,2022-02-01,16:00:00,aft
2021-10-26 16:00:00,0.67,0.73,0.08960000000000001,2021-10-26,16:00:00,aft
2021-07-27 16:00:00,0.54,0.63,0.1602,2021-07-27,16:00:00,aft
2021-04-27 16:00:00,0.44,0.52,0.1818,2021-04-27,16:00:00,aft
2021-01-26 16:00:00,0.47,0.52,0.1159,2021-01-26,16:00:00,aft
2020-10-27 06:00:00,0.36,0.41,0.1517,2020-10-27,06:00:00,bef
2020-07-28 16:00:00,0.16,0.18,0.0976,2020-07-28,16:00:00,aft
2020-01-28 16:00:00,0.31,0.32,0.042300000000000004,2020-01-28,16:00:00,aft
2019-10-29 16:00:00,0.18,0.18,-0.016399999999999998,2019-10-29,16:00:00,aft
2019-07-30 16:00:00,0.08,0.08,0.039,2019-07-30,16:00:00,aft
2019-04-30 16:00:00,0.05,0.06,0.1765,2019-04-30,16:00:00,aft
2019-01-29 16:00:00,0.08,0.08,-0.0244,2019-01-29,16:00:00,aft
2018-10-24 16:00:00,0.12,0.13,0.0484,2018-10-24,16:00:00,aft
2018-07-25 16:00:00,0.13,0.14,0.12,2018-07-25,16:00:00,aft
2018-04-25 16:00:00,0.09,0.11,0.23600000000000002,2018-04-25,16:00:00,aft
2018-01-30 16:00:00,0.05,0.08,0.6327,2018-01-30,16:00:00,aft
2017-10-24 16:00:00,0.08,0.1,0.31579999999999997,2017-10-24,16:00:00,aft
2017-05-01 16:00:00,-0.04,-0.04,0.047599999999999996,2017-05-01,16:00:00,aft
2017-01-31 16:00:00,-0.02,-0.01,0.375,2017-01-31,16:00:00,aft
2016-07-21 16:00:00,-0.08,-0.05,0.3976,2016-07-21,16:00:00,aft
2016-04-21 16:00:00,-0.13,-0.12,0.0625,2016-04-21,16:00:00,aft
2016-01-19 16:00:00,-0.1,-0.1,0.0099,2016-01-19,16:00:00,aft
2015-10-15 16:00:00,-0.12,-0.17,-0.46549999999999997,2015-10-15,16:00:00,aft
2015-07-16 16:00:00,-0.17,-0.17,-0.024100000000000003,2015-07-16,16:00:00,aft
2015-04-16 16:00:00,-0.05,-0.09,-0.7308,2015-04-16,16:00:00,aft
2014-10-16 16:00:00,0.04,0.03,-0.2857,2014-10-16,16:00:00,aft
2014-07-17 04:00:00,0.03,0.02,-0.2079,2014-07-17,04:00:00,bef
2014-01-21 05:00:00,0.05,0.06,0.1429,2014-01-21,05:00:00,bef
2013-10-17 04:00:00,0.02,0.04,0.8656999999999999,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,-0.12,-0.09,0.278,2013-07-18,04:00:00,bef
2013-04-18 04:00:00,-0.18,-0.13,0.25920000000000004,2013-04-18,04:00:00,bef
2013-01-22 05:00:00,-0.2,-0.14,0.3066,2013-01-22,05:00:00,bef
2012-10-18 04:00:00,-0.15,-0.2,-0.3229,2012-10-18,04:00:00,bef
2012-07-19 04:00:00,0.07,0.06,-0.1432,2012-07-19,04:00:00,bef
2012-04-19 04:00:00,0.09,0.12,0.2727,2012-04-19,04:00:00,bef
2012-01-24 05:00:00,0.16,0.19,0.19579999999999997,2012-01-24,05:00:00,bef
2011-10-27 04:00:00,0.1,0.15,0.4969,2011-10-27,04:00:00,bef
2011-07-21 04:00:00,0.08,0.09,0.157,2011-07-21,04:00:00,bef
2011-04-21 04:00:00,0.05,0.08,0.5072,2011-04-21,04:00:00,bef
2011-01-20 05:00:00,0.11,0.14,0.2632,2011-01-20,05:00:00,bef
2010-10-14 04:00:00,0.06,0.15,1.3734,2010-10-14,04:00:00,bef
2010-07-15 04:00:00,0.06,0.11,0.7628,2010-07-15,04:00:00,bef
2010-04-15 04:00:00,-0.04,0.09,3.0,2010-04-15,04:00:00,bef
2010-01-21 05:00:00,-0.18,1.52,9.6728,2010-01-21,05:00:00,bef
2009-10-15 04:00:00,-0.42,-0.18,0.5702,2009-10-15,04:00:00,bef
2009-07-21 04:00:00,-0.47,-0.49,-0.0418,2009-07-21,04:00:00,bef
2009-04-21 04:00:00,-0.66,-0.66,0.0062,2009-04-21,04:00:00,bef
2009-01-22 05:00:00,-0.54,-0.69,-0.2761,2009-01-22,05:00:00,bef
2008-10-16 04:00:00,-0.4,0.13,1.3231,2008-10-16,04:00:00,bef
2008-07-17 04:00:00,-0.52,-0.6,-0.15630000000000002,2008-07-17,04:00:00,bef
2008-04-17 04:00:00,-0.51,-0.51,-0.0007000000000000001,2008-04-17,04:00:00,bef
2008-01-17 05:00:00,-0.36,-0.17,0.5283,2008-01-17,05:00:00,bef
2007-10-18 04:00:00,-0.62,-0.49,0.20920000000000002,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,-0.85,-0.95,-0.1219,2007-07-19,04:00:00,bef
2007-04-19 04:00:00,-0.48,-0.9,-0.8606999999999999,2007-04-19,04:00:00,bef
2007-01-23 05:00:00,0.1,-0.04,-1.4062999999999999,2007-01-23,05:00:00,bef
2006-10-18 04:00:00,0.24,0.27,0.1408,2006-10-18,04:00:00,bef
2006-07-20 04:00:00,0.22,0.18,-0.1679,2006-07-20,04:00:00,bef
2006-04-12 04:00:00,0.29,0.38,0.29550000000000004,2006-04-12,04:00:00,bef
2006-01-18 05:00:00,0.26,0.45,0.751,2006-01-18,05:00:00,bef
2005-10-11 04:00:00,0.08,0.18,1.1307,2005-10-11,04:00:00,bef
2005-07-13 04:00:00,-0.05,0.03,1.5613,2005-07-13,04:00:00,bef
2005-04-13 04:00:00,0.02,-0.04,-2.7969,2005-04-13,04:00:00,bef
2005-01-18 05:00:00,0.08,0.05,-0.36710000000000004,2005-01-18,05:00:00,bef
2004-10-07 04:00:00,0.12,0.12,-0.0182,2004-10-07,04:00:00,bef
2004-07-14 04:00:00,0.09,0.09,-0.0382,2004-07-14,04:00:00,bef
2004-04-14 04:00:00,0.04,0.12,2.4286000000000003,2004-04-14,04:00:00,bef
2004-01-20 05:00:00,0.04,0.12,2.231,2004-01-20,05:00:00,bef
2003-10-16 04:00:00,-0.36,-0.09,0.7529000000000001,2003-10-16,04:00:00,bef
2003-07-16 04:00:00,-0.53,-0.4,0.24230000000000002,2003-07-16,04:00:00,bef
2003-04-16 04:00:00,-0.48,-0.42,0.1313,2003-04-16,04:00:00,bef
2003-01-16 05:00:00,-0.42,-0.68,-0.6057,2003-01-16,05:00:00,bef
2002-10-16 04:00:00,-0.67,-0.74,-0.1063,2002-10-16,04:00:00,bef
2002-07-17 04:00:00,-0.45,-0.54,-0.2089,2002-07-17,04:00:00,bef
2002-04-17 04:00:00,-0.06,-0.03,0.5,2002-04-17,04:00:00,bef
2002-01-16 05:00:00,-0.18,-0.05,0.7231000000000001,2002-01-16,05:00:00,bef
2001-10-17 04:00:00,-0.28,-0.28,0.016,2001-10-17,04:00:00,bef
2001-07-12 04:00:00,0.04,0.05,0.2745,2001-07-12,04:00:00,bef
2001-04-18 04:00:00,0.33,0.37,0.1134,2001-04-18,04:00:00,bef
2001-01-17 05:00:00,0.55,0.53,-0.0317,2001-01-17,05:00:00,bef
2000-10-11 04:00:00,0.62,0.64,0.028399999999999998,2000-10-11,04:00:00,bef
2000-07-19 04:00:00,0.56,0.61,0.0884,2000-07-19,04:00:00,bef
2000-04-12 04:00:00,0.26,0.57,1.1875,2000-04-12,04:00:00,bef
2000-01-20 05:00:00,-0.01,0.11,10.3478,2000-01-20,05:00:00,bef
1999-10-06 04:00:00,-0.46,-0.36,0.2147,1999-10-06,04:00:00,bef
1999-07-14 04:00:00,-0.64,-0.55,0.1377,1999-07-14,04:00:00,bef
1999-04-14 04:00:00,-0.38,-0.4,-0.0609,1999-04-14,04:00:00,bef
1999-01-13 05:00:00,0.09,0.04,-0.5804,1999-01-13,05:00:00,bef
1998-10-06 04:00:00,-0.07,0.01,1.0712000000000002,1998-10-06,04:00:00,bef
1998-07-08 04:00:00,-0.11,-0.22,-1.1297,1998-07-08,04:00:00,bef
1998-04-07 04:00:00,-0.12,-0.19,-0.625,1998-04-07,04:00:00,bef
1998-01-13 05:00:00,-0.07,-0.04,0.3182,1998-01-13,05:00:00,bef
1997-10-07 04:00:00,-0.05,-0.11,-1.1004,1997-10-07,04:00:00,bef
1997-07-08 04:00:00,0.1,0.04,-0.6585,1997-07-08,04:00:00,bef
1997-04-07 04:00:00,-0.01,0.05,5.751799999999999,1997-04-07,04:00:00,bef
1997-01-13 05:00:00,-0.1,-0.07,0.23170000000000002,1997-01-13,05:00:00,bef
1996-10-07 04:00:00,-0.18,-0.12,0.33159999999999995,1996-10-07,04:00:00,bef
1996-07-10 04:00:00,-0.11,-0.16,-0.5479999999999999,1996-07-10,04:00:00,bef
1996-04-09 04:00:00,0.15,0.09,-0.38670000000000004,1996-04-09,04:00:00,bef
1996-01-10 05:00:00,0.22,0.26,0.17670000000000002,1996-01-10,05:00:00,bef
1995-10-10 04:00:00,0.35,0.26,-0.2571,1995-10-10,04:00:00,bef
1995-07-10 04:00:00,0.48,0.43,-0.0966,1995-07-10,04:00:00,bef
1995-04-10 04:00:00,0.43,0.46,0.054000000000000006,1995-04-10,04:00:00,bef
1995-01-06 05:00:00,0.37,0.37,-0.021,1995-01-06,05:00:00,bef
1994-10-03 04:00:00,0.4,0.42,0.0311,1994-10-03,04:00:00,bef
1994-07-01 04:00:00,0.43,0.45,0.0359,1994-07-01,04:00:00,bef
1994-04-04 04:00:00,0.32,0.41,0.2634,1994-04-04,04:00:00,bef
1994-01-07 05:00:00,0.31,0.21,-0.3395,1994-01-07,05:00:00,bef
1993-10-05 04:00:00,0.34,0.31,-0.1121,1993-10-05,04:00:00,bef
1993-07-06 04:00:00,0.33,0.33,-0.012700000000000001,1993-07-06,04:00:00,bef
1993-04-06 04:00:00,0.27,0.32,0.16460000000000002,1993-04-06,04:00:00,bef
1993-01-08 05:00:00,0.31,0.37,0.18920000000000003,1993-01-08,05:00:00,bef
