Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 06:00:00,1.29,1.38,0.0698,2022-08-02,06:00:00,bef
2022-05-03 06:00:00,1.27,1.33,0.044000000000000004,2022-05-03,06:00:00,bef
2022-02-03 06:00:00,1.3,1.37,0.0538,2022-02-03,06:00:00,bef
2021-11-02 06:00:00,1.18,1.26,0.066,2021-11-02,06:00:00,bef
2021-08-03 06:00:00,1.1,1.15,0.0426,2021-08-03,06:00:00,bef
2021-05-04 06:00:00,1.01,1.07,0.0563,2021-05-04,06:00:00,bef
2021-02-04 06:00:00,1.03,1.08,0.0506,2021-02-04,06:00:00,bef
2020-10-29 06:00:00,0.93,1.01,0.0825,2020-10-29,06:00:00,bef
2020-08-04 06:00:00,0.72,0.84,0.165,2020-08-04,06:00:00,bef
2020-05-05 06:00:00,0.97,1.02,0.057,2020-05-05,06:00:00,bef
2020-02-05 06:00:00,1.03,1.08,0.0526,2020-02-05,06:00:00,bef
2019-10-31 06:00:00,1.01,1.06,0.047400000000000005,2019-10-31,06:00:00,bef
2019-07-30 06:00:00,1.02,1.05,0.028399999999999998,2019-07-30,06:00:00,bef
2019-05-01 06:00:00,0.97,1.0,0.0309,2019-05-01,06:00:00,bef
2019-02-05 06:00:00,0.84,0.86,0.021400000000000002,2019-02-05,06:00:00,bef
2018-11-01 06:00:00,0.78,0.83,0.06,2018-11-01,06:00:00,bef
2018-07-31 06:00:00,0.78,0.83,0.061399999999999996,2018-07-31,06:00:00,bef
2018-05-02 07:00:00,0.72,0.78,0.0803,2018-05-02,07:00:00,bef
2018-02-01 07:00:00,0.67,0.7,0.0479,2018-02-01,07:00:00,bef
2017-11-02 06:00:00,0.62,0.66,0.0645,2017-11-02,06:00:00,bef
2017-08-02 06:00:00,0.62,0.65,0.0433,2017-08-02,06:00:00,bef
2017-05-02 06:00:00,0.56,0.6,0.061900000000000004,2017-05-02,06:00:00,bef
2017-02-07 06:00:00,0.58,0.58,-0.0051,2017-02-07,06:00:00,bef
2016-11-01 06:00:00,0.55,0.56,0.0163,2016-11-01,06:00:00,bef
2016-08-04 07:00:00,0.59,0.59,0.0017000000000000001,2016-08-04,07:00:00,bef
2016-04-28 07:00:00,0.57,0.57,-0.0034999999999999996,2016-04-28,07:00:00,bef
2016-02-05 06:00:00,0.63,0.63,-0.0047,2016-02-05,06:00:00,bef
2015-10-27 06:00:00,0.65,0.65,0.0046,2015-10-27,06:00:00,bef
2015-08-04 07:00:00,0.64,0.64,0.0047,2015-08-04,07:00:00,bef
2015-04-29 07:00:00,0.63,0.63,0.0048,2015-04-29,07:00:00,bef
2015-01-28 07:00:00,0.62,0.63,0.0227,2015-01-28,07:00:00,bef
2014-10-28 07:00:00,0.61,0.62,0.0181,2014-10-28,07:00:00,bef
2014-08-05 04:00:00,0.59,0.61,0.038700000000000005,2014-08-05,04:00:00,bef
2014-05-06 04:00:00,0.56,0.57,0.0118,2014-05-06,04:00:00,bef
2014-01-29 05:00:00,0.54,0.55,0.0113,2014-01-29,05:00:00,bef
2013-08-07 04:00:00,0.52,0.52,0.0034999999999999996,2013-08-07,04:00:00,bef
2013-04-25 04:00:00,0.51,0.53,0.041299999999999996,2013-04-25,04:00:00,bef
2013-01-24 05:00:00,0.48,0.49,0.020800000000000003,2013-01-24,05:00:00,bef
2012-10-23 04:00:00,0.46,0.47,0.0168,2012-10-23,04:00:00,bef
2012-07-24 04:00:00,0.46,0.47,0.0319,2012-07-24,04:00:00,bef
2012-04-26 04:00:00,0.44,0.45,0.0382,2012-04-26,04:00:00,bef
2012-01-26 05:00:00,0.41,0.42,0.0267,2012-01-26,05:00:00,bef
2011-10-25 04:00:00,0.39,0.4,0.0138,2011-10-25,04:00:00,bef
2011-07-26 04:00:00,0.37,0.39,0.0553,2011-07-26,04:00:00,bef
2011-04-28 04:00:00,0.37,0.37,0.009000000000000001,2011-04-28,04:00:00,bef
2011-01-27 05:00:00,0.32,0.33,0.05480000000000001,2011-01-27,05:00:00,bef
2010-10-26 04:00:00,0.29,0.32,0.11109999999999999,2010-10-26,04:00:00,bef
2010-07-27 04:00:00,0.28,0.28,0.0161,2010-07-27,04:00:00,bef
2010-04-27 04:00:00,0.23,0.24,0.0362,2010-04-27,04:00:00,bef
2010-01-26 05:00:00,0.21,0.21,0.0213,2010-01-26,05:00:00,bef
2009-10-27 04:00:00,0.18,0.18,-0.0099,2009-10-27,04:00:00,bef
2009-07-28 04:00:00,0.21,0.21,0.0023,2009-07-28,04:00:00,bef
2009-04-21 04:00:00,0.24,0.24,0.0023,2009-04-21,04:00:00,bef
2009-01-30 05:00:00,0.29,0.29,0.0076,2009-01-30,05:00:00,bef
2008-10-21 04:00:00,0.28,0.29,0.0518,2008-10-21,04:00:00,bef
2008-07-21 04:00:00,0.25,0.27,0.0681,2008-07-21,04:00:00,bef
2008-04-21 04:00:00,0.26,0.28,0.0764,2008-04-21,04:00:00,bef
2008-01-23 05:00:00,0.24,0.25,0.0736,2008-01-23,05:00:00,bef
2007-10-18 04:00:00,0.23,0.24,0.039900000000000005,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,0.23,0.24,0.043899999999999995,2007-07-19,04:00:00,bef
2007-04-19 04:00:00,0.2,0.21,0.050300000000000004,2007-04-19,04:00:00,bef
2007-01-24 05:00:00,0.19,0.2,0.0385,2007-01-24,05:00:00,bef
2006-10-19 04:00:00,0.2,0.2,0.0025,2006-10-19,04:00:00,bef
2006-07-20 04:00:00,0.18,0.19,0.0591,2006-07-20,04:00:00,bef
2006-04-20 04:00:00,0.16,0.17,0.078,2006-04-20,04:00:00,bef
2006-01-25 05:00:00,0.16,0.16,-0.0053,2006-01-25,05:00:00,bef
2005-10-20 04:00:00,0.15,0.15,0.0025,2005-10-20,04:00:00,bef
2005-07-20 04:00:00,0.14,0.15,0.0336,2005-07-20,04:00:00,bef
2005-04-20 04:00:00,0.13,0.14,0.0354,2005-04-20,04:00:00,bef
2005-01-26 05:00:00,0.13,0.13,0.032799999999999996,2005-01-26,05:00:00,bef
2004-10-20 04:00:00,0.12,0.12,0.0388,2004-10-20,04:00:00,bef
2004-07-21 04:00:00,0.11,0.12,0.0527,2004-07-21,04:00:00,bef
2004-04-21 04:00:00,0.1,0.11,0.0679,2004-04-21,04:00:00,bef
2004-01-28 05:00:00,0.11,0.11,-0.0015,2004-01-28,05:00:00,bef
2003-10-20 04:00:00,0.09,0.1,0.0192,2003-10-20,04:00:00,bef
2003-01-28 05:00:00,0.09,0.09,-0.0044,2003-01-28,05:00:00,bef
2002-10-21 04:00:00,0.09,0.09,0.0079,2002-10-21,04:00:00,bef
2002-07-22 04:00:00,0.09,0.09,0.0064,2002-07-22,04:00:00,bef
2002-01-29 05:00:00,0.07,0.07,0.0069,2002-01-29,05:00:00,bef
2001-10-22 04:00:00,0.08,0.08,0.0225,2001-10-22,04:00:00,bef
2001-04-18 04:00:00,0.08,0.08,-0.0178,2001-04-18,04:00:00,bef
2000-10-06 04:00:00,0.08,0.08,0.0095,2000-10-06,04:00:00,bef
2000-07-17 04:00:00,0.08,0.08,0.0192,2000-07-17,04:00:00,bef
2000-04-18 04:00:00,0.07,0.08,0.054000000000000006,2000-04-18,04:00:00,bef
2000-01-24 05:00:00,0.07,0.07,-0.0054,2000-01-24,05:00:00,bef
1999-07-19 04:00:00,0.07,0.07,0.029300000000000003,1999-07-19,04:00:00,bef
1999-04-19 04:00:00,0.06,0.07,0.0664,1999-04-19,04:00:00,bef
1999-01-25 05:00:00,0.05,0.05,-0.0481,1999-01-25,05:00:00,bef
1998-07-20 04:00:00,0.07,0.07,0.049100000000000005,1998-07-20,04:00:00,bef
1998-04-20 04:00:00,0.06,0.07,0.0786,1998-04-20,04:00:00,bef
1997-11-18 05:00:00,0.06,0.06,-0.0188,1997-11-18,05:00:00,bef
