Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 16:00:00,5.56,5.81,0.0453,2022-07-26,16:00:00,aft
2022-04-25 17:00:00,5.86,5.98,0.02,2022-04-25,17:00:00,aft
2022-01-26 16:00:00,5.7,6.15,0.0782,2022-01-26,16:00:00,aft
2021-10-26 16:00:00,5.49,5.91,0.0775,2021-10-26,16:00:00,aft
2021-07-26 16:00:00,5.21,5.27,0.010700000000000001,2021-07-26,16:00:00,aft
2021-04-26 16:00:00,4.7,5.43,0.1565,2021-04-26,16:00:00,aft
2021-01-27 16:00:00,4.52,4.53,0.0013000000000000002,2021-01-27,16:00:00,aft
2020-10-28 16:00:00,1.47,1.47,0.0027,2020-10-28,16:00:00,aft
2020-07-29 16:00:00,2.46,2.64,0.0727,2020-07-29,16:00:00,aft
2020-05-06 16:00:00,3.94,5.41,0.37210000000000004,2020-05-06,16:00:00,aft
2020-01-29 16:00:00,4.28,4.2,-0.0175,2020-01-29,16:00:00,aft
2019-10-23 16:00:00,4.1,4.12,0.0061,2019-10-23,16:00:00,aft
2019-07-24 16:00:00,4.04,4.06,0.004,2019-07-24,16:00:00,aft
2019-04-24 16:00:00,3.65,3.75,0.026600000000000002,2019-04-24,16:00:00,aft
2019-01-30 16:00:00,3.58,3.8,0.062000000000000006,2019-01-30,16:00:00,aft
2018-10-23 16:00:00,3.69,3.74,0.0144,2018-10-23,16:00:00,aft
2018-07-24 16:00:00,3.48,3.6,0.0336,2018-07-24,16:00:00,aft
2018-04-23 16:00:00,3.46,3.7,0.0706,2018-04-23,16:00:00,aft
2018-01-24 16:00:00,0.94,3.26,2.4607,2018-01-24,16:00:00,aft
2017-10-24 16:00:00,2.79,3.53,0.2652,2017-10-24,16:00:00,aft
2017-07-25 16:00:00,2.62,2.8,0.0679,2017-07-25,16:00:00,aft
2017-04-24 16:00:00,2.52,2.7,0.0706,2017-04-24,16:00:00,aft
2017-02-01 16:00:00,2.43,2.73,0.1216,2017-02-01,16:00:00,aft
2016-10-25 16:00:00,2.42,1.37,-0.43320000000000003,2016-10-25,16:00:00,aft
2016-07-26 16:00:00,2.26,2.23,-0.013300000000000001,2016-07-26,16:00:00,aft
2016-04-27 16:00:00,2.18,2.17,-0.0028000000000000004,2016-04-27,16:00:00,aft
2016-01-27 16:00:00,2.35,2.47,0.0506,2016-01-27,16:00:00,aft
2015-10-21 16:00:00,2.33,2.35,0.0103,2015-10-21,16:00:00,aft
2015-07-22 16:00:00,2.28,2.33,0.022799999999999997,2015-07-22,16:00:00,aft
2015-04-22 16:00:00,2.33,2.18,-0.0636,2015-04-22,16:00:00,aft
