Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,2.33,2.37,0.0159,2022-08-03,16:00:00,aft
2022-05-04 17:00:00,2.13,1.92,-0.0999,2022-05-04,17:00:00,aft
2022-02-21 17:00:00,1.47,1.29,-0.1201,2022-02-21,17:00:00,aft
2021-11-03 16:00:00,0.92,0.98,0.0629,2021-11-03,16:00:00,aft
2021-08-04 16:00:00,0.57,0.7,0.23670000000000002,2021-08-04,16:00:00,aft
2021-05-05 16:00:00,0.66,0.91,0.37670000000000003,2021-05-05,16:00:00,aft
2021-02-24 17:00:00,-0.11,-0.05,0.5455,2021-02-24,17:00:00,aft
2020-11-04 16:00:00,-0.35,-0.16,0.5455,2020-11-04,16:00:00,aft
2020-07-29 17:00:00,-1.01,-0.74,0.26730000000000004,2020-07-29,17:00:00,aft
2020-05-06 16:00:00,-0.33,-0.13,0.6108,2020-05-06,16:00:00,aft
2020-02-26 17:00:00,-0.06,0.08,2.2903000000000002,2020-02-26,17:00:00,aft
2019-10-30 16:00:00,-0.19,-0.29,-0.5508,2019-10-30,16:00:00,aft
2019-07-31 21:00:00,0.06,0.11,0.746,2019-07-31,21:00:00,aft
2019-05-01 16:00:00,0.12,0.1,-0.14529999999999998,2019-05-01,16:00:00,aft
2019-02-27 17:00:00,0.24,0.31,0.29710000000000003,2019-02-27,17:00:00,aft
2018-10-31 17:00:00,0.47,0.63,0.3347,2018-10-31,17:00:00,aft
2018-08-01 19:00:00,0.39,0.5,0.2853,2018-08-01,19:00:00,aft
2018-05-02 16:00:00,0.3,0.32,0.0702,2018-05-02,16:00:00,aft
2018-02-22 08:00:00,0.22,0.33,0.5278,2018-02-22,08:00:00,bef
2017-11-02 07:00:00,-0.06,0.04,1.6349,2017-11-02,07:00:00,bef
2017-08-03 07:00:00,-0.01,-0.21,-22.3333,2017-08-03,07:00:00,bef
2017-05-04 07:00:00,0.13,0.08,-0.3701,2017-05-04,07:00:00,bef
2017-02-23 07:00:00,0.07,-0.06,-1.8824,2017-02-23,07:00:00,bef
2016-11-03 07:00:00,-0.16,-0.03,0.8125,2016-11-03,07:00:00,bef
2016-08-04 07:00:00,-0.15,-0.26,-0.7219,2016-08-04,07:00:00,bef
2016-05-05 08:00:00,-0.89,-0.4,0.5526,2016-05-05,08:00:00,bef
2016-02-25 08:00:00,-0.48,-0.06,0.876,2016-02-25,08:00:00,bef
2015-11-05 08:00:00,-0.36,-0.05,0.8606999999999999,2015-11-05,08:00:00,bef
2015-08-06 08:00:00,-0.26,0.22,1.8462,2015-08-06,08:00:00,bef
2015-05-07 08:00:00,-0.57,-0.37,0.3543,2015-05-07,08:00:00,bef
2015-02-12 08:00:00,0.76,1.07,0.41350000000000003,2015-02-12,08:00:00,bef
2014-11-06 09:00:00,1.38,1.38,0.0029,2014-11-06,09:00:00,bef
2014-07-31 04:00:00,1.65,1.67,0.01,2014-07-31,04:00:00,bef
2014-05-08 04:00:00,1.62,1.78,0.10099999999999999,2014-05-08,04:00:00,bef
2014-02-13 05:00:00,1.79,1.57,-0.125,2014-02-13,05:00:00,bef
2013-11-07 05:00:00,2.15,2.32,0.08140000000000001,2013-11-07,05:00:00,bef
2013-08-01 04:00:00,2.01,2.01,0.0001,2013-08-01,04:00:00,bef
2013-05-09 04:00:00,2.21,2.02,-0.0857,2013-05-09,04:00:00,bef
2013-02-14 05:00:00,2.3,2.27,-0.0146,2013-02-14,05:00:00,bef
2012-11-01 04:00:00,2.26,2.16,-0.0458,2012-11-01,04:00:00,bef
2012-08-02 04:00:00,2.53,2.07,-0.1822,2012-08-02,04:00:00,bef
2012-05-03 04:00:00,3.09,3.0,-0.029900000000000003,2012-05-03,04:00:00,bef
2012-02-16 05:00:00,2.87,2.94,0.0258,2012-02-16,05:00:00,bef
2011-11-03 04:00:00,2.78,2.95,0.0596,2011-11-03,04:00:00,bef
2011-08-04 04:00:00,3.09,3.22,0.041299999999999996,2011-08-04,04:00:00,bef
2011-04-28 04:00:00,2.59,2.9,0.11900000000000001,2011-04-28,04:00:00,bef
2011-02-17 05:00:00,2.45,2.19,-0.10650000000000001,2011-02-17,05:00:00,bef
2010-11-04 04:00:00,2.24,2.19,-0.020499999999999997,2010-11-04,04:00:00,bef
2010-07-20 04:00:00,2.3,2.44,0.058600000000000006,2010-07-20,04:00:00,bef
2010-04-29 04:00:00,2.24,2.1,-0.0632,2010-04-29,04:00:00,bef
2010-02-18 05:00:00,1.96,1.96,0.0009,2010-02-18,05:00:00,bef
2009-10-29 04:00:00,1.61,1.58,-0.0174,2009-10-29,04:00:00,bef
2009-07-30 04:00:00,1.07,1.41,0.3173,2009-07-30,04:00:00,bef
2009-04-30 04:00:00,0.35,0.65,0.8841,2009-04-30,04:00:00,bef
2009-02-19 05:00:00,1.26,0.82,-0.34840000000000004,2009-02-19,05:00:00,bef
2008-10-30 04:00:00,3.72,3.19,-0.1418,2008-10-30,04:00:00,bef
2008-07-31 04:00:00,4.09,4.28,0.0458,2008-07-31,04:00:00,bef
2008-05-01 04:00:00,3.06,2.99,-0.022400000000000003,2008-05-01,04:00:00,bef
