Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,2.61,2.62,0.005,2022-08-04,06:00:00,bef
2022-05-05 06:00:00,2.35,2.38,0.0123,2022-05-05,06:00:00,bef
2022-02-04 06:00:00,2.51,2.52,0.0048,2022-02-04,06:00:00,bef
2021-11-04 06:00:00,2.49,2.51,0.0068000000000000005,2021-11-04,06:00:00,bef
2021-08-09 06:00:00,2.37,2.31,-0.0245,2021-08-09,06:00:00,bef
2021-05-10 06:00:00,2.12,2.08,-0.017,2021-05-10,06:00:00,bef
2021-02-04 06:00:00,2.19,2.12,-0.030600000000000002,2021-02-04,06:00:00,bef
2020-11-11 06:00:00,2.21,2.19,-0.0108,2020-11-11,06:00:00,bef
2020-07-23 06:00:00,1.99,2.01,0.0116,2020-07-23,06:00:00,bef
2020-04-23 06:00:00,2.06,2.04,-0.010700000000000001,2020-04-23,06:00:00,bef
2020-01-24 06:00:00,2.08,2.14,0.0298,2020-01-24,06:00:00,bef
2019-11-07 06:00:00,2.29,2.27,-0.0105,2019-11-07,06:00:00,bef
2019-07-25 06:00:00,2.15,2.17,0.010700000000000001,2019-07-25,06:00:00,bef
2019-04-24 06:00:00,1.87,1.92,0.0273,2019-04-24,06:00:00,bef
2019-01-25 06:00:00,1.87,1.86,-0.0059,2019-01-25,06:00:00,bef
2018-11-06 06:00:00,1.99,2.0,0.0034999999999999996,2018-11-06,06:00:00,bef
2018-07-26 06:00:00,1.84,1.95,0.058600000000000006,2018-07-26,06:00:00,bef
2018-04-26 06:00:00,1.68,1.71,0.0154,2018-04-26,06:00:00,bef
2018-01-26 06:00:00,1.65,1.79,0.0848,2018-01-26,06:00:00,bef
2017-10-26 06:00:00,1.68,1.76,0.0458,2017-10-26,06:00:00,bef
2017-08-01 06:00:00,1.59,1.65,0.0364,2017-08-01,06:00:00,bef
2017-04-27 06:00:00,1.38,1.43,0.0385,2017-04-27,06:00:00,bef
2017-01-27 06:00:00,1.48,1.47,-0.0040999999999999995,2017-01-27,06:00:00,bef
2016-10-27 06:00:00,1.98,2.01,0.0167,2016-10-27,06:00:00,bef
2016-07-28 06:00:00,1.91,1.92,0.0047,2016-07-28,06:00:00,bef
2016-04-28 06:00:00,1.81,1.82,0.0078000000000000005,2016-04-28,06:00:00,bef
2016-01-29 06:00:00,1.71,1.78,0.042800000000000005,2016-01-29,06:00:00,bef
2015-10-29 06:00:00,1.8,1.82,0.0089,2015-10-29,06:00:00,bef
2015-07-30 06:00:00,1.58,1.65,0.0443,2015-07-30,06:00:00,bef
2015-04-30 06:00:00,1.55,1.55,0.0032,2015-04-30,06:00:00,bef
2015-01-29 06:00:00,1.49,1.55,0.040999999999999995,2015-01-29,06:00:00,bef
2014-10-30 06:00:00,1.61,1.66,0.0285,2014-10-30,06:00:00,bef
2014-07-23 04:00:00,1.45,1.46,0.0099,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,1.35,1.32,-0.0245,2014-04-23,04:00:00,bef
2014-01-28 05:00:00,1.33,1.34,0.0061,2014-01-28,05:00:00,bef
