Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,0.58,0.22,-0.62,2022-08-04,06:00:00,bef
2022-05-05 07:00:00,0.61,0.63,0.032799999999999996,2022-05-05,07:00:00,bef
2022-02-03 06:00:00,0.55,0.56,0.0108,2022-02-03,06:00:00,bef
2021-11-04 06:00:00,0.37,0.38,0.0215,2021-11-04,06:00:00,bef
2021-08-05 06:00:00,0.67,0.6,-0.1058,2021-08-05,06:00:00,bef
2021-05-06 06:00:00,0.79,1.06,0.3503,2021-05-06,06:00:00,bef
2021-02-03 06:00:00,1.01,1.13,0.11880000000000002,2021-02-03,06:00:00,bef
2020-10-29 06:00:00,0.76,1.13,0.48490000000000005,2020-10-29,06:00:00,bef
2020-07-30 06:00:00,-1.38,-1.1,0.20170000000000002,2020-07-30,06:00:00,bef
2020-05-05 06:00:00,0.35,0.68,0.9597,2020-05-05,06:00:00,bef
2020-01-30 06:00:00,1.02,1.15,0.1275,2020-01-30,06:00:00,bef
2019-10-30 06:00:00,1.26,1.27,0.004,2019-10-30,06:00:00,bef
2019-07-31 06:00:00,1.14,1.33,0.1697,2019-07-31,06:00:00,bef
2019-05-02 06:00:00,1.01,1.05,0.042699999999999995,2019-05-02,06:00:00,bef
2019-01-31 06:00:00,1.21,1.34,0.11199999999999999,2019-01-31,06:00:00,bef
2018-10-31 06:00:00,1.2,1.24,0.0351,2018-10-31,06:00:00,bef
2018-07-31 06:00:00,1.35,1.4,0.0355,2018-07-31,06:00:00,bef
2018-05-02 06:00:00,1.2,1.29,0.075,2018-05-02,06:00:00,bef
2018-02-01 06:00:00,1.31,1.28,-0.021400000000000002,2018-02-01,06:00:00,bef
2017-11-02 06:00:00,1.57,1.66,0.0593,2017-11-02,06:00:00,bef
2017-08-02 06:00:00,1.65,1.71,0.0339,2017-08-02,06:00:00,bef
2017-05-03 06:00:00,1.46,1.59,0.0898,2017-05-03,06:00:00,bef
2017-02-02 06:00:00,1.6,1.83,0.1437,2017-02-02,06:00:00,bef
2016-11-02 06:00:00,1.43,1.5,0.0504,2016-11-02,06:00:00,bef
2016-08-03 06:00:00,1.55,1.59,0.0285,2016-08-03,06:00:00,bef
2016-05-04 06:00:00,1.34,1.36,0.014199999999999999,2016-05-04,06:00:00,bef
2016-02-04 06:00:00,1.38,1.39,0.0058,2016-02-04,06:00:00,bef
2015-10-29 06:00:00,1.27,1.28,0.0063,2015-10-29,06:00:00,bef
2015-07-30 09:00:00,1.34,1.34,-0.003,2015-07-30,09:00:00,bef
2015-04-30 07:00:00,1.17,1.21,0.0315,2015-04-30,07:00:00,bef
2015-02-04 22:00:00,1.27,1.32,0.0402,2015-02-04,22:00:00,aft
2014-10-24 07:00:00,1.13,1.16,0.0229,2014-10-24,07:00:00,bef
2014-07-31 04:00:00,1.33,1.42,0.0705,2014-07-31,04:00:00,bef
2014-04-24 04:00:00,1.08,1.2,0.11019999999999999,2014-04-24,04:00:00,bef
2014-02-04 05:00:00,1.04,1.12,0.07200000000000001,2014-02-04,05:00:00,bef
2013-11-05 05:00:00,0.94,0.97,0.031200000000000002,2013-11-05,05:00:00,bef
2013-07-31 04:00:00,1.14,1.24,0.0889,2013-07-31,04:00:00,bef
2013-05-01 04:00:00,0.96,1.07,0.11380000000000001,2013-05-01,04:00:00,bef
2013-02-05 05:00:00,0.87,0.9,0.0405,2013-02-05,05:00:00,bef
2012-11-01 04:00:00,0.73,0.89,0.223,2012-11-01,04:00:00,bef
2012-07-31 04:00:00,0.91,1.01,0.1066,2012-07-31,04:00:00,bef
2012-04-24 04:00:00,0.96,1.04,0.0862,2012-04-24,04:00:00,bef
2012-01-26 05:00:00,0.56,0.88,0.5690999999999999,2012-01-26,05:00:00,bef
