Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,0.92,0.99,0.0738,2022-07-27,16:00:00,aft
2022-04-27 16:00:00,0.87,1.87,1.1420000000000001,2022-04-27,16:00:00,aft
2022-02-02 16:00:00,1.0,2.4,1.4047999999999998,2022-02-02,16:00:00,aft
2021-10-27 16:00:00,0.77,0.56,-0.2718,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,0.66,3.21,3.8710000000000004,2021-07-28,16:00:00,aft
2021-04-28 16:00:00,0.73,1.02,0.3896,2021-04-28,16:00:00,aft
2021-02-04 07:00:00,0.86,2.44,1.8273,2021-02-04,07:00:00,bef
2020-10-28 16:00:00,0.96,1.05,0.09150000000000001,2020-10-28,16:00:00,aft
2020-07-29 16:00:00,1.03,1.21,0.177,2020-07-29,16:00:00,aft
2020-02-05 16:00:00,1.22,1.2,-0.013200000000000002,2020-02-05,16:00:00,aft
2019-10-28 16:00:00,1.2,2.0,0.6708,2019-10-28,16:00:00,aft
2019-07-31 16:00:00,1.17,1.21,0.030699999999999998,2019-07-31,16:00:00,aft
2019-04-24 16:00:00,1.15,1.23,0.0668,2019-04-24,16:00:00,aft
2019-02-04 16:00:00,1.14,2.79,1.4431,2019-02-04,16:00:00,aft
2018-10-29 16:00:00,1.13,1.39,0.22899999999999998,2018-10-29,16:00:00,aft
2018-07-30 16:00:00,1.06,1.84,0.7342000000000001,2018-07-30,16:00:00,aft
2018-04-25 16:00:00,1.06,1.03,-0.027400000000000004,2018-04-25,16:00:00,aft
2018-01-31 16:00:00,1.19,1.72,0.44780000000000003,2018-01-31,16:00:00,aft
2017-10-30 16:00:00,1.22,1.72,0.40640000000000004,2017-10-30,16:00:00,aft
2017-08-03 15:00:00,1.08,1.2,0.1101,2017-08-03,15:00:00,bef
2017-04-26 16:00:00,1.09,1.72,0.5838,2017-04-26,16:00:00,aft
2017-02-01 16:00:00,1.18,1.76,0.4928,2017-02-01,16:00:00,aft
2016-10-24 16:00:00,1.16,2.59,1.2308000000000001,2016-10-24,16:00:00,aft
2016-07-25 16:00:00,1.23,1.44,0.1698,2016-07-25,16:00:00,aft
2016-04-27 16:00:00,1.21,1.73,0.43210000000000004,2016-04-27,16:00:00,aft
2016-02-03 16:00:00,1.1,1.13,0.0236,2016-02-03,16:00:00,aft
2015-10-26 16:00:00,1.35,1.53,0.1317,2015-10-26,16:00:00,aft
2015-07-27 16:00:00,1.07,1.29,0.2045,2015-07-27,16:00:00,aft
2015-04-27 16:00:00,1.09,1.56,0.43119999999999997,2015-04-27,16:00:00,aft
2015-01-28 16:00:00,0.98,1.08,0.1077,2015-01-28,16:00:00,aft
2014-10-27 16:00:00,1.46,1.83,0.2569,2014-10-27,16:00:00,aft
2014-07-23 04:00:00,1.04,1.21,0.168,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,0.72,1.09,0.5086999999999999,2014-04-23,04:00:00,bef
2014-01-29 05:00:00,0.88,1.95,1.2109,2014-01-29,05:00:00,bef
2013-10-23 04:00:00,-0.13,-0.08,0.36840000000000006,2013-10-23,04:00:00,bef
2013-07-24 04:00:00,0.94,0.28,-0.7028,2013-07-24,04:00:00,bef
2013-04-30 04:00:00,-1.14,0.63,1.5502000000000002,2013-04-30,04:00:00,bef
2013-01-30 05:00:00,0.88,1.19,0.3465,2013-01-30,05:00:00,bef
2012-10-24 04:00:00,0.94,0.89,-0.053200000000000004,2012-10-24,04:00:00,bef
2012-07-25 04:00:00,0.8,1.63,1.0299,2012-07-25,04:00:00,bef
2012-04-25 04:00:00,0.78,0.61,-0.21910000000000002,2012-04-25,04:00:00,bef
2012-02-01 05:00:00,0.57,3.38,4.9077,2012-02-01,05:00:00,bef
2011-10-31 04:00:00,0.48,0.49,0.025099999999999997,2011-10-31,04:00:00,bef
2011-07-27 04:00:00,0.64,0.49,-0.23500000000000001,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,0.38,0.35,-0.0808,2011-04-27,04:00:00,bef
2011-02-02 05:00:00,0.28,0.31,0.1118,2011-02-02,05:00:00,bef
2010-10-27 04:00:00,0.3,0.29,-0.044500000000000005,2010-10-27,04:00:00,bef
2010-08-03 04:00:00,0.6,0.61,0.0163,2010-08-03,04:00:00,bef
2010-04-28 04:00:00,0.55,0.88,0.6147,2010-04-28,04:00:00,bef
2010-02-03 05:00:00,0.24,0.4,0.6405,2010-02-03,05:00:00,bef
2009-10-28 04:00:00,0.47,0.72,0.5412,2009-10-28,04:00:00,bef
2009-07-29 04:00:00,0.59,0.22,-0.6282,2009-07-29,04:00:00,bef
2009-04-29 04:00:00,0.65,0.59,-0.0969,2009-04-29,04:00:00,bef
2009-02-04 05:00:00,-0.08,-0.02,0.7419,2009-02-04,05:00:00,bef
2008-11-05 05:00:00,1.4,2.98,1.1286,2008-11-05,05:00:00,bef
2008-07-30 04:00:00,2.01,1.61,-0.19899999999999998,2008-07-30,04:00:00,bef
2008-04-30 04:00:00,0.63,0.6,-0.04,2008-04-30,04:00:00,bef
2008-02-06 05:00:00,0.63,1.65,1.6400000000000001,2008-02-06,05:00:00,bef
2007-10-31 04:00:00,0.64,1.58,1.4784000000000002,2007-10-31,04:00:00,bef
2007-07-31 04:00:00,0.64,0.61,-0.0394,2007-07-31,04:00:00,bef
2007-04-25 04:00:00,0.7,0.56,-0.2,2007-04-25,04:00:00,bef
2007-01-31 05:00:00,0.64,0.62,-0.0262,2007-01-31,05:00:00,bef
2006-10-25 04:00:00,0.58,0.57,-0.0172,2006-10-25,04:00:00,bef
2006-07-26 04:00:00,0.63,0.9,0.42110000000000003,2006-07-26,04:00:00,bef
2006-04-25 04:00:00,0.61,1.49,1.4628,2006-04-25,04:00:00,bef
2006-01-24 05:00:00,0.86,1.26,0.4651,2006-01-24,05:00:00,bef
2005-10-25 04:00:00,1.1,1.3,0.1783,2005-10-25,04:00:00,bef
2005-07-21 04:00:00,0.41,0.74,0.8049,2005-07-21,04:00:00,bef
2005-04-21 04:00:00,0.47,0.92,0.9573999999999999,2005-04-21,04:00:00,bef
2004-10-21 04:00:00,0.27,0.6,1.1951,2004-10-21,04:00:00,bef
2004-07-19 04:00:00,0.25,0.46,0.84,2004-07-19,04:00:00,bef
2004-04-20 04:00:00,0.3,0.32,0.0667,2004-04-20,04:00:00,bef
2004-01-21 05:00:00,0.29,1.36,3.6897,2004-01-21,05:00:00,bef
2003-10-21 04:00:00,0.41,0.79,0.9268000000000001,2003-10-21,04:00:00,bef
2003-07-17 04:00:00,0.6,1.08,0.8,2003-07-17,04:00:00,bef
2003-04-29 04:00:00,0.64,0.49,-0.2304,2003-04-29,04:00:00,bef
2003-01-21 05:00:00,0.35,0.91,1.6,2003-01-21,05:00:00,bef
