Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 06:00:00,2.37,2.64,0.11630000000000001,2022-07-27,06:00:00,bef
2022-04-26 06:00:00,2.17,2.4,0.106,2022-04-26,06:00:00,bef
2022-02-02 06:00:00,2.12,2.13,0.0028000000000000004,2022-02-02,06:00:00,bef
2021-10-27 06:00:00,2.04,2.14,0.048,2021-10-27,06:00:00,bef
2021-07-28 06:00:00,2.06,2.25,0.09380000000000001,2021-07-28,06:00:00,bef
2021-04-28 06:00:00,2.03,2.4,0.18280000000000002,2021-04-28,06:00:00,bef
2021-02-03 06:00:00,2.09,2.27,0.0882,2021-02-03,06:00:00,bef
2020-10-21 06:00:00,1.53,1.91,0.25079999999999997,2020-10-21,06:00:00,bef
2020-07-27 06:00:00,1.13,1.27,0.1199,2020-07-27,06:00:00,bef
2020-04-29 06:00:00,1.5,1.66,0.10740000000000001,2020-04-29,06:00:00,bef
2020-01-29 06:00:00,1.69,1.73,0.0219,2020-01-29,06:00:00,bef
2019-10-23 06:00:00,1.61,1.66,0.0336,2019-10-23,06:00:00,bef
2019-07-23 06:00:00,1.68,1.72,0.023799999999999998,2019-07-23,06:00:00,bef
2019-04-24 06:00:00,1.46,1.48,0.0172,2019-04-24,06:00:00,bef
2019-01-30 06:00:00,1.5,1.52,0.0154,2019-01-30,06:00:00,bef
2018-10-23 06:00:00,1.47,1.45,-0.0102,2018-10-23,06:00:00,bef
2018-07-24 08:00:00,1.55,1.66,0.0724,2018-07-24,08:00:00,bef
2018-04-25 06:00:00,1.36,1.44,0.055700000000000006,2018-04-25,06:00:00,bef
2018-01-31 06:00:00,1.25,1.33,0.0649,2018-01-31,06:00:00,bef
2017-10-25 06:00:00,1.21,1.26,0.0405,2017-10-25,06:00:00,bef
2017-07-25 06:00:00,1.21,1.31,0.0835,2017-07-25,06:00:00,bef
2017-04-26 06:00:00,1.05,1.11,0.0622,2017-04-26,06:00:00,bef
2017-02-01 06:00:00,0.93,0.99,0.0622,2017-02-01,06:00:00,bef
2016-10-26 06:00:00,1.0,1.01,0.013000000000000001,2016-10-26,06:00:00,bef
2016-07-26 06:00:00,1.01,1.09,0.075,2016-07-26,06:00:00,bef
2016-04-27 06:00:00,0.86,0.94,0.09179999999999999,2016-04-27,06:00:00,bef
2016-02-03 06:00:00,0.78,0.85,0.0883,2016-02-03,06:00:00,bef
2015-10-29 06:00:00,0.84,0.87,0.0308,2015-10-29,06:00:00,bef
2015-07-29 08:00:00,0.88,0.91,0.0353,2015-07-29,08:00:00,bef
2015-04-29 08:00:00,0.69,0.81,0.1671,2015-04-29,08:00:00,bef
2015-02-02 08:00:00,0.8,0.9,0.11939999999999999,2015-02-02,08:00:00,bef
2014-10-24 11:00:00,0.74,0.77,0.044800000000000006,2014-10-24,11:00:00,bef
2014-07-25 04:00:00,0.79,0.8,0.0072,2014-07-25,04:00:00,bef
2014-04-23 04:00:00,0.66,0.65,-0.0171,2014-04-23,04:00:00,bef
2014-01-31 05:00:00,0.68,0.69,0.0147,2014-01-31,05:00:00,bef
2013-10-25 04:00:00,0.64,0.69,0.0809,2013-10-25,04:00:00,bef
2013-07-23 04:00:00,0.7,0.71,0.010700000000000001,2013-07-23,04:00:00,bef
2013-04-24 04:00:00,0.58,0.59,0.0248,2013-04-24,04:00:00,bef
2013-01-30 05:00:00,0.49,0.54,0.1118,2013-01-30,05:00:00,bef
2012-10-24 04:00:00,0.45,0.53,0.1844,2012-10-24,04:00:00,bef
2012-07-24 04:00:00,0.54,0.56,0.0398,2012-07-24,04:00:00,bef
2012-04-25 04:00:00,0.45,0.45,0.0075,2012-04-25,04:00:00,bef
2012-01-31 05:00:00,0.46,0.39,-0.1558,2012-01-31,05:00:00,bef
2011-10-26 04:00:00,0.58,0.48,-0.1771,2011-10-26,04:00:00,bef
2011-07-26 04:00:00,0.77,0.78,0.0168,2011-07-26,04:00:00,bef
2011-04-27 04:00:00,0.47,0.51,0.0884,2011-04-27,04:00:00,bef
2011-02-02 05:00:00,0.97,0.98,0.0103,2011-02-02,05:00:00,bef
2010-10-27 04:00:00,0.61,0.62,0.013999999999999999,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,0.66,0.94,0.4242,2010-07-28,04:00:00,bef
2010-04-27 04:00:00,0.45,0.61,0.37079999999999996,2010-04-27,04:00:00,bef
2010-01-29 05:00:00,0.68,0.44,-0.3481,2010-01-29,05:00:00,bef
2009-10-27 04:00:00,0.57,0.82,0.43229999999999996,2009-10-27,04:00:00,bef
2009-07-30 04:00:00,0.36,0.56,0.5448,2009-07-30,04:00:00,bef
2009-04-28 04:00:00,0.22,0.11,-0.49340000000000006,2009-04-28,04:00:00,bef
2009-01-27 05:00:00,0.43,0.65,0.5,2009-01-27,05:00:00,bef
2008-10-21 04:00:00,0.74,0.81,0.0891,2008-10-21,04:00:00,bef
2008-07-22 04:00:00,1.0,1.03,0.03,2008-07-22,04:00:00,bef
2008-04-22 04:00:00,0.81,0.8,-0.0070999999999999995,2008-04-22,04:00:00,bef
2008-01-29 05:00:00,0.96,1.08,0.1235,2008-01-29,05:00:00,bef
