Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-18 06:00:00,0.75,0.73,-0.022799999999999997,2022-07-18,06:00:00,bef
2022-04-18 06:00:00,0.75,0.8,0.0681,2022-04-18,06:00:00,bef
2022-01-19 06:00:00,0.76,0.82,0.0789,2022-01-19,06:00:00,bef
2021-10-14 06:00:00,0.71,0.85,0.1972,2021-10-14,06:00:00,bef
2021-07-14 06:00:00,0.77,1.03,0.33770000000000006,2021-07-14,06:00:00,bef
2021-04-15 06:00:00,0.66,0.86,0.307,2021-04-15,06:00:00,bef
2021-01-19 06:00:00,0.55,0.59,0.0786,2021-01-19,06:00:00,bef
2020-10-14 06:00:00,0.49,0.51,0.0345,2020-10-14,06:00:00,bef
2020-07-16 06:00:00,0.27,0.37,0.3858,2020-07-16,06:00:00,bef
2020-04-15 06:00:00,0.46,0.4,-0.1323,2020-04-15,06:00:00,bef
2020-01-15 06:00:00,0.68,0.74,0.0819,2020-01-15,06:00:00,bef
2019-10-16 06:00:00,0.51,0.56,0.1067,2019-10-16,06:00:00,bef
2019-07-17 06:00:00,0.71,0.74,0.0467,2019-07-17,06:00:00,bef
2019-04-16 06:00:00,0.66,0.7,0.0687,2019-04-16,06:00:00,bef
2019-01-16 06:00:00,0.63,0.7,0.1094,2019-01-16,06:00:00,bef
2018-10-15 06:00:00,0.62,0.66,0.0645,2018-10-15,06:00:00,bef
2018-07-16 06:00:00,0.57,0.63,0.10529999999999999,2018-07-16,06:00:00,bef
2018-04-16 06:00:00,0.59,0.62,0.04730000000000001,2018-04-16,06:00:00,bef
2018-01-17 06:00:00,0.44,0.48,0.0959,2018-01-17,06:00:00,bef
2017-10-13 06:00:00,0.45,0.48,0.057300000000000004,2017-10-13,06:00:00,bef
2017-07-18 06:00:00,0.43,0.46,0.0723,2017-07-18,06:00:00,bef
2017-04-18 06:00:00,0.35,0.41,0.1816,2017-04-18,06:00:00,bef
2017-01-13 06:00:00,0.38,0.4,0.0638,2017-01-13,06:00:00,bef
2016-10-17 06:00:00,0.34,0.41,0.2202,2016-10-17,06:00:00,bef
2016-07-18 06:00:00,0.33,0.36,0.1009,2016-07-18,06:00:00,bef
