Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 07:00:00,-0.14,-0.37,-1.6429,2022-07-27,07:00:00,bef
2022-04-27 07:00:00,-0.27,-2.75,-9.1852,2022-04-27,07:00:00,bef
2022-01-26 07:00:00,-0.42,-7.69,-17.266,2022-01-26,07:00:00,bef
2021-10-27 07:00:00,-0.2,-0.6,-2.0303,2021-10-27,07:00:00,bef
2021-07-28 07:00:00,-0.83,0.4,1.4825,2021-07-28,07:00:00,bef
2021-04-28 07:00:00,-1.16,-1.53,-0.3178,2021-04-28,07:00:00,bef
2021-01-27 07:00:00,-1.8,-4.19,-1.3330000000000002,2021-01-27,07:00:00,bef
2020-10-28 07:00:00,-2.52,-1.39,0.4484,2020-10-28,07:00:00,bef
2020-07-29 07:00:00,-2.54,-4.79,-0.8851000000000001,2020-07-29,07:00:00,bef
2020-04-29 07:00:00,-1.61,-1.7,-0.0572,2020-04-29,07:00:00,bef
2020-01-29 07:00:00,1.47,-2.33,-2.5872,2020-01-29,07:00:00,bef
2019-10-23 07:00:00,2.09,1.45,-0.3052,2019-10-23,07:00:00,bef
2019-07-24 07:00:00,-6.69,-5.82,0.1297,2019-07-24,07:00:00,bef
2019-04-24 07:00:00,3.16,3.16,-0.0003,2019-04-24,07:00:00,bef
2019-01-30 07:00:00,4.58,5.48,0.1978,2019-01-30,07:00:00,bef
2018-10-24 07:00:00,3.47,3.58,0.0308,2018-10-24,07:00:00,bef
2018-07-25 07:00:00,3.26,3.33,0.0212,2018-07-25,07:00:00,bef
2018-04-25 07:00:00,2.58,3.64,0.4087,2018-04-25,07:00:00,bef
2018-01-31 07:00:00,2.89,3.06,0.058499999999999996,2018-01-31,07:00:00,bef
2017-10-25 07:00:00,2.66,2.72,0.0222,2017-10-25,07:00:00,bef
2017-07-26 07:00:00,2.3,2.55,0.1077,2017-07-26,07:00:00,bef
2017-04-26 07:00:00,1.94,2.01,0.0382,2017-04-26,07:00:00,bef
2017-01-25 07:00:00,2.35,2.47,0.051100000000000007,2017-01-25,07:00:00,bef
2016-10-26 07:00:00,2.62,3.51,0.34020000000000006,2016-10-26,07:00:00,bef
2016-07-27 07:00:00,-0.92,-0.44,0.5233,2016-07-27,07:00:00,bef
2016-04-27 07:00:00,1.83,1.74,-0.0466,2016-04-27,07:00:00,bef
2016-01-27 07:00:00,1.28,1.6,0.251,2016-01-27,07:00:00,bef
2015-10-21 07:00:00,2.22,2.52,0.13720000000000002,2015-10-21,07:00:00,bef
2015-07-22 07:00:00,1.37,1.62,0.1833,2015-07-22,07:00:00,bef
2015-04-22 07:00:00,1.81,1.97,0.0908,2015-04-22,07:00:00,bef
2015-01-28 07:00:00,2.11,2.31,0.0969,2015-01-28,07:00:00,bef
2014-10-22 07:00:00,1.97,2.14,0.0857,2014-10-22,07:00:00,bef
2014-07-23 04:00:00,2.01,2.24,0.1164,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,1.56,1.76,0.1288,2014-04-23,04:00:00,bef
