Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-17 16:00:00,0.44,0.52,0.17120000000000002,2022-08-17,16:00:00,aft
2022-05-18 16:00:00,0.53,0.64,0.2144,2022-05-18,16:00:00,aft
2022-02-23 16:00:00,2.27,2.3,0.013200000000000002,2022-02-23,16:00:00,aft
2021-11-17 16:00:00,0.61,0.92,0.5207,2021-11-17,16:00:00,aft
2021-08-18 16:00:00,0.81,1.34,0.6646,2021-08-18,16:00:00,aft
2021-05-19 16:00:00,1.21,1.25,0.0305,2021-05-19,16:00:00,aft
2021-02-24 16:00:00,2.91,3.03,0.0402,2021-02-24,16:00:00,aft
2020-11-18 16:00:00,0.09,1.13,11.5556,2020-11-18,16:00:00,aft
2020-08-19 16:00:00,-0.42,0.25,1.5937999999999999,2020-08-19,16:00:00,aft
2020-05-20 16:00:00,-0.72,-0.99,-0.38270000000000004,2020-05-20,16:00:00,aft
2020-02-26 16:00:00,1.86,1.88,0.0124,2020-02-26,16:00:00,aft
2019-11-20 16:00:00,0.02,0.02,0.0526,2019-11-20,16:00:00,aft
2019-08-21 16:00:00,0.2,0.24,0.2245,2019-08-21,16:00:00,aft
2019-02-27 16:00:00,2.07,2.14,0.0318,2019-02-27,16:00:00,aft
2018-11-19 16:00:00,0.15,0.16,0.0667,2018-11-19,16:00:00,aft
2018-08-22 17:00:00,0.34,0.36,0.0526,2018-08-22,17:00:00,aft
2018-05-23 16:00:00,0.16,0.17,0.0968,2018-05-23,16:00:00,aft
2018-02-28 16:00:00,2.05,2.11,0.028300000000000002,2018-02-28,16:00:00,aft
2017-11-15 16:00:00,0.3,0.3,0.0033000000000000004,2017-11-15,16:00:00,aft
2017-08-16 16:00:00,0.44,0.48,0.08109999999999999,2017-08-16,16:00:00,aft
2017-05-17 16:00:00,0.29,0.33,0.1301,2017-05-17,16:00:00,aft
2017-02-22 16:00:00,1.9,2.03,0.0701,2017-02-22,16:00:00,aft
2016-11-16 16:00:00,0.4,0.42,0.044800000000000006,2016-11-16,16:00:00,aft
2016-08-17 16:00:00,0.59,0.7,0.1844,2016-08-17,16:00:00,aft
2016-05-18 16:00:00,0.55,0.59,0.065,2016-05-18,16:00:00,aft
2016-02-24 16:00:00,2.05,2.15,0.0493,2016-02-24,16:00:00,aft
2015-11-18 16:00:00,0.52,0.55,0.0536,2015-11-18,16:00:00,aft
2015-08-19 16:00:00,0.68,0.68,0.0015,2015-08-19,16:00:00,aft
