Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-31 08:00:00,0.47,0.52,0.1017,2022-08-31,08:00:00,bef
2022-06-08 08:00:00,0.27,0.31,0.1567,2022-06-08,08:00:00,bef
2022-03-03 07:00:00,0.48,0.54,0.1368,2022-03-03,07:00:00,bef
2021-12-08 07:00:00,0.53,0.49,-0.0684,2021-12-08,07:00:00,bef
2021-09-01 07:00:00,0.39,0.4,0.0178,2021-09-01,07:00:00,bef
2021-06-09 07:00:00,0.33,0.25,-0.2447,2021-06-09,07:00:00,bef
2021-03-03 07:00:00,0.43,0.45,0.0417,2021-03-03,07:00:00,bef
2020-12-08 07:00:00,0.51,0.5,-0.0253,2020-12-08,07:00:00,bef
2020-09-02 07:00:00,0.32,0.4,0.2698,2020-09-02,07:00:00,bef
2020-06-09 08:00:00,0.28,0.27,-0.0391,2020-06-09,08:00:00,bef
2020-03-04 07:00:00,0.5,0.48,-0.0361,2020-03-04,07:00:00,bef
2019-12-05 07:00:00,0.53,0.59,0.12380000000000001,2019-12-05,07:00:00,bef
2019-08-28 07:00:00,0.37,0.39,0.0512,2019-08-28,07:00:00,bef
2019-06-05 07:00:00,0.31,0.33,0.08199999999999999,2019-06-05,07:00:00,bef
2019-03-06 07:00:00,0.45,0.47,0.0468,2019-03-06,07:00:00,bef
2018-12-05 08:00:00,0.52,0.52,0.0078000000000000005,2018-12-05,08:00:00,bef
2018-08-29 08:00:00,0.39,0.41,0.0406,2018-08-29,08:00:00,bef
2018-06-06 07:00:00,0.22,0.23,0.050199999999999995,2018-06-06,07:00:00,bef
2018-03-07 07:00:00,0.41,0.39,-0.055700000000000006,2018-03-07,07:00:00,bef
2017-12-06 08:00:00,0.43,0.5,0.1616,2017-12-06,08:00:00,bef
2017-08-30 13:00:00,0.31,0.37,0.1757,2017-08-30,13:00:00,bef
2017-06-07 07:00:00,0.32,0.3,-0.0864,2017-06-07,07:00:00,bef
2017-03-07 08:00:00,0.38,0.38,-0.015700000000000002,2017-03-07,08:00:00,bef
2016-12-07 07:00:00,0.4,0.4,0.005,2016-12-07,07:00:00,bef
2016-08-31 07:00:00,0.29,0.29,-0.0171,2016-08-31,07:00:00,bef
2016-06-08 07:00:00,0.29,0.34,0.16670000000000001,2016-06-08,07:00:00,bef
2015-12-02 07:00:00,0.5,0.49,-0.026099999999999998,2015-12-02,07:00:00,bef
2015-08-26 07:00:00,0.37,0.38,0.0054,2015-08-26,07:00:00,bef
2015-03-04 07:00:00,0.43,0.44,0.0046,2015-03-04,07:00:00,bef
2014-12-03 07:00:00,0.52,0.49,-0.06910000000000001,2014-12-03,07:00:00,bef
2014-08-27 07:00:00,0.36,0.35,-0.025099999999999997,2014-08-27,07:00:00,bef
2014-06-04 04:00:00,0.23,0.25,0.0647,2014-06-04,04:00:00,bef
2014-03-05 05:00:00,0.3,0.33,0.0866,2014-03-05,05:00:00,bef
2013-12-04 05:00:00,0.36,0.38,0.058499999999999996,2013-12-04,05:00:00,bef
2013-08-28 04:00:00,0.28,0.26,-0.069,2013-08-28,04:00:00,bef
2013-06-05 04:00:00,0.19,0.18,-0.0305,2013-06-05,04:00:00,bef
2013-03-06 05:00:00,0.28,0.29,0.039900000000000005,2013-03-06,05:00:00,bef
2012-12-05 05:00:00,0.31,0.32,0.0213,2012-12-05,05:00:00,bef
2012-08-29 04:00:00,0.25,0.28,0.1018,2012-08-29,04:00:00,bef
2012-06-06 04:00:00,0.2,0.19,-0.038,2012-06-06,04:00:00,bef
2012-03-07 05:00:00,0.27,0.25,-0.0712,2012-03-07,05:00:00,bef
2011-12-08 05:00:00,0.29,0.29,-0.006500000000000001,2011-12-08,05:00:00,bef
2011-08-31 04:00:00,0.22,0.22,-0.027000000000000003,2011-08-31,04:00:00,bef
2011-06-09 04:00:00,0.17,0.3,0.7795000000000001,2011-06-09,04:00:00,bef
2011-03-08 05:00:00,0.23,0.26,0.1107,2011-03-08,05:00:00,bef
2010-12-09 05:00:00,0.27,0.28,0.0487,2010-12-09,05:00:00,bef
2010-09-01 04:00:00,0.22,0.2,-0.0884,2010-09-01,04:00:00,bef
2010-06-09 04:00:00,0.14,0.13,-0.07540000000000001,2010-06-09,04:00:00,bef
2010-03-10 05:00:00,0.19,0.21,0.1428,2010-03-10,05:00:00,bef
2009-12-07 05:00:00,0.23,0.26,0.17300000000000001,2009-12-07,05:00:00,bef
2009-09-02 04:00:00,0.17,0.22,0.3065,2009-09-02,04:00:00,bef
2009-06-10 04:00:00,0.13,0.15,0.1789,2009-06-10,04:00:00,bef
2009-03-10 04:00:00,0.2,0.18,-0.11460000000000001,2009-03-10,04:00:00,bef
2008-12-05 05:00:00,0.25,0.25,0.009000000000000001,2008-12-05,05:00:00,bef
