Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-15 06:00:00,1.12,1.03,-0.0771,2022-07-15,06:00:00,bef
2022-04-18 06:00:00,0.85,0.86,0.0094,2022-04-18,06:00:00,bef
2022-01-18 06:00:00,1.01,1.04,0.028700000000000003,2022-01-18,06:00:00,bef
2021-10-19 06:00:00,1.01,1.04,0.0338,2021-10-19,06:00:00,bef
2021-07-15 06:00:00,1.0,1.13,0.1311,2021-07-15,06:00:00,bef
2021-04-16 06:00:00,0.87,0.97,0.11109999999999999,2021-04-16,06:00:00,bef
2021-01-20 06:00:00,0.91,0.96,0.0526,2021-01-20,06:00:00,bef
2020-10-16 06:00:00,0.94,0.98,0.0414,2020-10-16,06:00:00,bef
2020-07-15 06:00:00,0.91,1.01,0.10619999999999999,2020-07-15,06:00:00,bef
2020-04-16 06:00:00,0.9,1.05,0.16149999999999998,2020-04-16,06:00:00,bef
2020-01-16 06:00:00,1.01,1.01,0.004,2020-01-16,06:00:00,bef
2019-10-16 06:00:00,0.99,1.07,0.0786,2019-10-16,06:00:00,bef
2019-07-17 06:00:00,0.95,1.01,0.0654,2019-07-17,06:00:00,bef
2019-04-17 06:00:00,0.96,0.94,-0.0188,2019-04-17,06:00:00,bef
2019-01-16 06:00:00,0.92,0.99,0.0761,2019-01-16,06:00:00,bef
2018-10-18 06:00:00,1.04,1.06,0.0232,2018-10-18,06:00:00,bef
2018-07-19 06:00:00,1.02,1.03,0.0088,2018-07-19,06:00:00,bef
2018-04-19 06:00:00,0.96,1.1,0.1435,2018-04-19,06:00:00,bef
2018-01-18 06:00:00,0.91,0.91,0.0011,2018-01-18,06:00:00,bef
2017-10-19 06:00:00,0.92,0.94,0.0195,2017-10-19,06:00:00,bef
2017-07-20 06:00:00,0.84,0.88,0.043899999999999995,2017-07-20,06:00:00,bef
2017-04-20 06:00:00,0.8,0.83,0.0375,2017-04-20,06:00:00,bef
2017-01-19 06:00:00,0.77,0.77,-0.0026000000000000003,2017-01-19,06:00:00,bef
2016-10-20 06:00:00,0.81,0.9,0.1125,2016-10-20,06:00:00,bef
2016-07-21 06:00:00,0.75,0.76,0.012,2016-07-21,06:00:00,bef
2016-04-21 06:00:00,0.68,0.74,0.0947,2016-04-21,06:00:00,bef
2016-01-21 06:00:00,0.64,0.68,0.0709,2016-01-21,06:00:00,bef
2015-10-20 06:00:00,0.71,0.74,0.0393,2015-10-20,06:00:00,bef
2015-07-21 06:00:00,0.66,0.77,0.1702,2015-07-21,06:00:00,bef
2015-04-22 06:00:00,0.59,0.67,0.1298,2015-04-22,06:00:00,bef
2014-10-17 06:00:00,0.61,0.64,0.042300000000000004,2014-10-17,06:00:00,bef
2014-07-18 04:00:00,0.56,0.62,0.1144,2014-07-18,04:00:00,bef
2014-04-22 04:00:00,0.53,0.57,0.067,2014-04-22,04:00:00,bef
2014-01-17 05:00:00,0.54,0.54,-0.0014000000000000002,2014-01-17,05:00:00,bef
2013-10-16 04:00:00,0.58,0.6,0.0396,2013-10-16,04:00:00,bef
2013-07-17 04:00:00,0.57,0.62,0.085,2013-07-17,04:00:00,bef
2013-04-17 04:00:00,0.52,0.5,-0.0339,2013-04-17,04:00:00,bef
2013-01-16 05:00:00,0.53,0.53,-0.0055000000000000005,2013-01-16,05:00:00,bef
2012-10-17 04:00:00,0.54,0.57,0.0513,2012-10-17,04:00:00,bef
2012-07-18 04:00:00,0.53,0.57,0.0844,2012-07-18,04:00:00,bef
2012-04-18 04:00:00,0.52,0.52,0.0072,2012-04-18,04:00:00,bef
2012-01-18 05:00:00,0.53,0.42,-0.2064,2012-01-18,05:00:00,bef
2011-10-19 04:00:00,0.52,0.59,0.12960000000000002,2011-10-19,04:00:00,bef
2011-07-19 04:00:00,0.55,0.59,0.0636,2011-07-19,04:00:00,bef
2011-04-19 04:00:00,0.57,0.5,-0.11750000000000001,2011-04-19,04:00:00,bef
2011-01-19 05:00:00,0.57,0.59,0.029300000000000003,2011-01-19,05:00:00,bef
2010-10-19 04:00:00,0.54,0.55,0.0123,2010-10-19,04:00:00,bef
2010-07-20 04:00:00,0.54,0.55,0.011000000000000001,2010-07-20,04:00:00,bef
2010-04-20 04:00:00,0.53,0.59,0.1177,2010-04-20,04:00:00,bef
2010-01-20 05:00:00,0.51,0.55,0.0729,2010-01-20,05:00:00,bef
2009-10-20 04:00:00,0.48,0.54,0.1353,2009-10-20,04:00:00,bef
2009-07-22 04:00:00,0.52,0.51,-0.0279,2009-07-22,04:00:00,bef
2009-04-21 04:00:00,0.63,0.53,-0.1578,2009-04-21,04:00:00,bef
2009-01-20 05:00:00,0.69,0.28,-0.5932000000000001,2009-01-20,05:00:00,bef
2008-10-16 04:00:00,0.66,0.72,0.0992,2008-10-16,04:00:00,bef
2008-07-17 04:00:00,0.75,0.67,-0.1109,2008-07-17,04:00:00,bef
2008-04-17 04:00:00,0.73,0.72,-0.0084,2008-04-17,04:00:00,bef
2008-01-17 05:00:00,0.69,0.67,-0.030699999999999998,2008-01-17,05:00:00,bef
2007-10-18 04:00:00,0.61,0.67,0.0936,2007-10-18,04:00:00,bef
2007-07-19 04:00:00,0.61,0.63,0.0282,2007-07-19,04:00:00,bef
2007-04-18 04:00:00,0.57,0.59,0.0362,2007-04-18,04:00:00,bef
2007-01-17 05:00:00,0.55,0.58,0.0545,2007-01-17,05:00:00,bef
2006-10-19 04:00:00,0.55,0.56,0.0244,2006-10-19,04:00:00,bef
2006-07-19 04:00:00,0.56,0.59,0.0526,2006-07-19,04:00:00,bef
2006-04-20 04:00:00,0.54,0.55,0.0154,2006-04-20,04:00:00,bef
2006-01-18 05:00:00,0.53,0.53,0.0027,2006-01-18,05:00:00,bef
2005-10-20 04:00:00,0.5,0.51,0.018000000000000002,2005-10-20,04:00:00,bef
2005-07-20 04:00:00,0.5,0.52,0.038900000000000004,2005-07-20,04:00:00,bef
2005-04-20 04:00:00,0.49,0.49,0.0046,2005-04-20,04:00:00,bef
2005-01-19 05:00:00,0.48,0.48,-0.006500000000000001,2005-01-19,05:00:00,bef
2004-10-20 04:00:00,0.46,0.46,-0.0086,2004-10-20,04:00:00,bef
2004-07-21 04:00:00,0.47,0.48,0.0187,2004-07-21,04:00:00,bef
2004-04-21 04:00:00,0.45,0.47,0.0398,2004-04-21,04:00:00,bef
2003-10-22 04:00:00,0.42,0.42,-0.003,2003-10-22,04:00:00,bef
2003-07-17 04:00:00,0.41,0.41,0.0034999999999999996,2003-07-17,04:00:00,bef
2003-04-16 04:00:00,0.41,0.41,-0.0037,2003-04-16,04:00:00,bef
2003-01-22 05:00:00,0.15,0.14,-0.050800000000000005,2003-01-22,05:00:00,bef
2002-07-17 04:00:00,0.51,0.51,0.0034999999999999996,2002-07-17,04:00:00,bef
2002-04-17 04:00:00,0.51,0.5,-0.010400000000000001,2002-04-17,04:00:00,bef
2002-01-17 05:00:00,0.45,0.46,0.0279,2002-01-17,05:00:00,bef
2001-10-18 04:00:00,0.51,0.52,0.011399999999999999,2001-10-18,04:00:00,bef
2001-07-16 04:00:00,0.53,0.52,-0.0179,2001-07-16,04:00:00,bef
2001-04-16 04:00:00,0.52,0.52,0.0024,2001-04-16,04:00:00,bef
2001-01-16 05:00:00,0.5,0.5,0.0009,2001-01-16,05:00:00,bef
2000-10-16 04:00:00,0.49,0.49,0.008,2000-10-16,04:00:00,bef
2000-07-17 04:00:00,0.47,0.48,0.0265,2000-07-17,04:00:00,bef
2000-04-17 04:00:00,0.45,0.46,0.0256,2000-04-17,04:00:00,bef
2000-01-18 05:00:00,0.43,0.44,0.0134,2000-01-18,05:00:00,bef
1999-10-18 04:00:00,0.42,0.42,-0.001,1999-10-18,04:00:00,bef
1999-04-19 04:00:00,0.41,0.41,0.0029,1999-04-19,04:00:00,bef
1999-01-19 05:00:00,0.4,0.4,-0.0072,1999-01-19,05:00:00,bef
1998-10-19 04:00:00,0.39,0.39,0.0086,1998-10-19,04:00:00,bef
1998-07-20 04:00:00,0.38,0.4,0.0489,1998-07-20,04:00:00,bef
1998-04-20 04:00:00,0.36,0.37,0.010700000000000001,1998-04-20,04:00:00,bef
1998-01-20 05:00:00,0.36,0.38,0.0369,1998-01-20,05:00:00,bef
1997-10-21 04:00:00,0.35,0.35,-0.0014000000000000002,1997-10-21,04:00:00,bef
1997-07-14 04:00:00,0.33,0.34,0.0113,1997-07-14,04:00:00,bef
1997-04-14 04:00:00,0.31,0.33,0.0327,1997-04-14,04:00:00,bef
1997-01-16 05:00:00,0.3,0.31,0.0043,1997-01-16,05:00:00,bef
1996-10-15 04:00:00,0.3,0.3,0.0075,1996-10-15,04:00:00,bef
1996-07-17 04:00:00,0.3,0.3,-0.016200000000000003,1996-07-17,04:00:00,bef
1996-04-11 04:00:00,0.29,0.28,-0.0101,1996-04-11,04:00:00,bef
1996-01-16 05:00:00,0.27,0.28,0.0187,1996-01-16,05:00:00,bef
1995-10-16 04:00:00,0.27,0.28,0.013700000000000002,1995-10-16,04:00:00,bef
1995-07-13 04:00:00,0.26,0.27,0.0313,1995-07-13,04:00:00,bef
1995-04-17 04:00:00,0.25,0.27,0.0593,1995-04-17,04:00:00,bef
1995-01-17 05:00:00,0.24,0.25,0.024700000000000003,1995-01-17,05:00:00,bef
1994-10-13 04:00:00,0.22,0.25,0.1262,1994-10-13,04:00:00,bef
1994-07-14 04:00:00,0.21,0.23,0.1167,1994-07-14,04:00:00,bef
1994-04-12 04:00:00,0.19,0.2,0.053,1994-04-12,04:00:00,bef
1994-01-14 05:00:00,0.19,0.2,0.0621,1994-01-14,05:00:00,bef
1993-10-15 04:00:00,0.17,0.18,0.0716,1993-10-15,04:00:00,bef
1993-07-13 04:00:00,0.16,0.19,0.1348,1993-07-13,04:00:00,bef
1993-04-14 04:00:00,0.15,0.18,0.18059999999999998,1993-04-14,04:00:00,bef
1993-01-16 05:00:00,0.14,0.15,0.0825,1993-01-16,05:00:00,bef
