Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 06:00:00,1.79,1.93,0.0788,2022-07-27,06:00:00,bef
2022-04-29 06:00:00,1.91,1.96,0.025099999999999997,2022-04-29,06:00:00,bef
2022-02-04 06:00:00,1.8,1.83,0.0189,2022-02-04,06:00:00,bef
2021-10-27 06:00:00,1.92,2.0,0.0422,2021-10-27,06:00:00,bef
2021-07-28 07:00:00,1.89,1.93,0.0233,2021-07-28,07:00:00,bef
2021-04-29 06:00:00,1.82,1.74,-0.0424,2021-04-29,06:00:00,bef
2021-02-04 07:00:00,1.42,1.46,0.0318,2021-02-04,07:00:00,bef
2020-11-05 08:00:00,1.5,1.63,0.09029999999999999,2020-11-05,08:00:00,bef
2020-08-06 06:00:00,1.48,1.63,0.09910000000000001,2020-08-06,06:00:00,bef
2020-05-07 06:00:00,1.49,1.72,0.1575,2020-05-07,06:00:00,bef
2020-02-06 07:00:00,0.88,1.22,0.38170000000000004,2020-02-06,07:00:00,bef
2019-10-31 06:00:00,1.07,1.17,0.09140000000000001,2019-10-31,06:00:00,bef
2019-07-25 06:00:00,1.07,1.18,0.10800000000000001,2019-07-25,06:00:00,bef
2019-04-25 06:00:00,1.09,1.1,0.012,2019-04-25,06:00:00,bef
2019-01-24 06:00:00,0.85,0.94,0.11109999999999999,2019-01-24,06:00:00,bef
2018-10-25 06:00:00,0.91,1.09,0.19390000000000002,2018-10-25,06:00:00,bef
2018-07-26 06:00:00,0.87,1.01,0.15560000000000002,2018-07-26,06:00:00,bef
2018-04-26 06:00:00,0.85,0.94,0.1072,2018-04-26,06:00:00,bef
2018-02-05 06:00:00,0.67,0.68,0.0134,2018-02-05,06:00:00,bef
2017-10-26 06:00:00,0.77,0.75,-0.0285,2017-10-26,06:00:00,bef
2017-07-27 06:00:00,0.74,0.74,0.0040999999999999995,2017-07-27,06:00:00,bef
2017-04-27 06:00:00,0.74,0.84,0.13670000000000002,2017-04-27,06:00:00,bef
2017-01-26 06:00:00,0.67,0.63,-0.0541,2017-01-26,06:00:00,bef
2016-10-27 06:00:00,0.65,0.77,0.18460000000000001,2016-10-27,06:00:00,bef
2016-07-28 06:00:00,0.67,0.69,0.036000000000000004,2016-07-28,06:00:00,bef
2016-04-28 06:00:00,0.65,0.74,0.14550000000000002,2016-04-28,06:00:00,bef
2016-01-28 06:00:00,0.28,0.38,0.33799999999999997,2016-01-28,06:00:00,bef
2015-10-27 06:00:00,0.35,0.39,0.11109999999999999,2015-10-27,06:00:00,bef
2015-07-23 07:00:00,0.36,0.53,0.4601,2015-07-23,07:00:00,bef
2015-04-28 07:00:00,0.51,0.71,0.4032,2015-04-28,07:00:00,bef
2015-01-27 07:00:00,0.41,0.46,0.1275,2015-01-27,07:00:00,bef
2014-10-24 07:00:00,0.42,0.45,0.0766,2014-10-24,07:00:00,bef
2014-07-24 04:00:00,0.44,0.48,0.09140000000000001,2014-07-24,04:00:00,bef
2014-04-29 04:00:00,0.43,0.46,0.0647,2014-04-29,04:00:00,bef
2014-01-24 05:00:00,0.43,0.51,0.1838,2014-01-24,05:00:00,bef
2013-10-23 04:00:00,0.44,0.46,0.0409,2013-10-23,04:00:00,bef
2013-07-25 04:00:00,0.44,0.44,-0.005,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.41,0.41,-0.0097,2013-04-25,04:00:00,bef
