Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 06:00:00,0.42,0.44,0.037700000000000004,2022-07-27,06:00:00,bef
2022-04-27 06:00:00,0.39,0.39,0.010400000000000001,2022-04-27,06:00:00,bef
2022-02-02 06:00:00,0.44,0.45,0.025099999999999997,2022-02-02,06:00:00,bef
2021-10-27 06:00:00,0.4,0.41,0.0354,2021-10-27,06:00:00,bef
2021-07-27 06:00:00,0.37,0.4,0.0724,2021-07-27,06:00:00,bef
2021-04-28 06:00:00,0.31,0.37,0.20920000000000002,2021-04-28,06:00:00,bef
2021-02-03 06:00:00,0.31,0.23,-0.2652,2021-02-03,06:00:00,bef
2020-10-28 06:00:00,0.25,0.37,0.498,2020-10-28,06:00:00,bef
2020-07-29 06:00:00,-0.02,0.08,4.2,2020-07-29,06:00:00,bef
2020-04-29 06:00:00,0.31,0.28,-0.10830000000000001,2020-04-29,06:00:00,bef
2020-02-05 06:00:00,0.44,0.46,0.0478,2020-02-05,06:00:00,bef
2019-10-23 06:00:00,0.38,0.39,0.0209,2019-10-23,06:00:00,bef
2019-07-24 06:00:00,0.38,0.39,0.0236,2019-07-24,06:00:00,bef
2019-04-24 06:00:00,0.36,0.35,-0.0169,2019-04-24,06:00:00,bef
2019-02-06 06:00:00,0.37,0.39,0.0484,2019-02-06,06:00:00,bef
2018-10-24 06:00:00,0.34,0.35,0.0294,2018-10-24,06:00:00,bef
2018-07-25 06:00:00,0.34,0.35,0.0204,2018-07-25,06:00:00,bef
2018-04-25 06:00:00,0.32,0.33,0.047599999999999996,2018-04-25,06:00:00,bef
2018-02-01 06:00:00,0.34,0.34,-0.0029,2018-02-01,06:00:00,bef
2017-10-26 06:00:00,0.31,0.31,0.006500000000000001,2017-10-26,06:00:00,bef
2017-07-27 06:00:00,0.31,0.32,0.0256,2017-07-27,06:00:00,bef
2017-04-27 06:00:00,0.3,0.29,-0.0333,2017-04-27,06:00:00,bef
2017-02-02 06:00:00,0.29,0.3,0.049,2017-02-02,06:00:00,bef
2016-10-26 06:00:00,0.27,0.27,0.0075,2016-10-26,06:00:00,bef
2016-07-28 06:00:00,0.27,0.27,0.015,2016-07-28,06:00:00,bef
2016-04-27 06:00:00,0.24,0.28,0.1618,2016-04-27,06:00:00,bef
2016-02-04 06:00:00,0.25,0.26,0.056900000000000006,2016-02-04,06:00:00,bef
2015-10-28 06:00:00,0.23,0.24,0.061900000000000004,2015-10-28,06:00:00,bef
2015-07-23 07:00:00,0.21,0.22,0.027999999999999997,2015-07-23,07:00:00,bef
2015-04-28 07:00:00,0.21,0.21,0.0194,2015-04-28,07:00:00,bef
2015-02-04 07:00:00,0.22,0.22,0.0233,2015-02-04,07:00:00,bef
2014-10-22 06:00:00,0.2,0.2,0.0204,2014-10-22,06:00:00,bef
2014-07-24 04:00:00,0.19,0.21,0.0859,2014-07-24,04:00:00,bef
2014-04-29 04:00:00,0.18,0.2,0.1333,2014-04-29,04:00:00,bef
2014-02-04 05:00:00,0.13,0.13,0.037000000000000005,2014-02-04,05:00:00,bef
2013-10-24 04:00:00,0.09,0.1,0.08109999999999999,2013-10-24,04:00:00,bef
2013-07-25 04:00:00,0.09,0.12,0.2738,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.09,0.1,0.12300000000000001,2013-04-25,04:00:00,bef
2013-01-29 05:00:00,0.11,0.11,0.0040999999999999995,2013-01-29,05:00:00,bef
2012-10-18 04:00:00,0.11,0.1,-0.058300000000000005,2012-10-18,04:00:00,bef
2012-07-26 04:00:00,0.1,0.11,0.063,2012-07-26,04:00:00,bef
2012-04-19 04:00:00,0.08,0.09,0.094,2012-04-19,04:00:00,bef
2012-02-02 05:00:00,0.08,0.08,-0.0148,2012-02-02,05:00:00,bef
2011-10-20 04:00:00,0.08,0.1,0.1872,2011-10-20,04:00:00,bef
2011-07-28 04:00:00,0.08,0.12,0.4193,2011-07-28,04:00:00,bef
2011-04-20 04:00:00,0.04,0.14,2.5,2011-04-20,04:00:00,bef
2011-02-01 05:00:00,0.1,0.12,0.23320000000000002,2011-02-01,05:00:00,bef
2010-10-19 04:00:00,0.06,0.12,1.0,2010-10-19,04:00:00,bef
2010-07-20 04:00:00,0.03,0.06,0.875,2010-07-20,04:00:00,bef
2010-04-26 04:00:00,0.08,0.1,0.2791,2010-04-26,04:00:00,bef
2010-02-10 05:00:00,0.13,0.13,0.0215,2010-02-10,05:00:00,bef
2009-10-19 04:00:00,0.14,0.12,-0.153,2009-10-19,04:00:00,bef
2009-07-20 04:00:00,0.13,0.13,-0.0305,2009-07-20,04:00:00,bef
2009-04-20 04:00:00,0.12,0.12,-0.0332,2009-04-20,04:00:00,bef
2009-01-28 05:00:00,0.13,0.13,-0.025,2009-01-28,05:00:00,bef
2008-10-21 04:00:00,0.11,0.09,-0.1452,2008-10-21,04:00:00,bef
2008-07-21 04:00:00,0.11,0.13,0.1504,2008-07-21,04:00:00,bef
2008-04-21 04:00:00,0.11,0.17,0.5291,2008-04-21,04:00:00,bef
2008-02-04 05:00:00,0.09,0.12,0.2781,2008-02-04,05:00:00,bef
2007-10-19 04:00:00,0.07,0.11,0.5042,2007-10-19,04:00:00,bef
2007-07-20 04:00:00,0.09,0.08,-0.145,2007-07-20,04:00:00,bef
2007-04-23 04:00:00,0.1,0.1,-0.045,2007-04-23,04:00:00,bef
2007-02-01 05:00:00,0.11,0.1,-0.0722,2007-02-01,05:00:00,bef
2006-10-18 04:00:00,0.09,0.1,0.14650000000000002,2006-10-18,04:00:00,bef
2006-07-27 04:00:00,0.17,0.21,0.2493,2006-07-27,04:00:00,bef
2006-04-18 04:00:00,0.45,0.43,-0.051500000000000004,2006-04-18,04:00:00,bef
2006-02-07 05:00:00,0.42,0.41,-0.0187,2006-02-07,05:00:00,bef
2005-10-14 04:00:00,0.44,0.42,-0.05480000000000001,2005-10-14,04:00:00,bef
2005-07-19 04:00:00,0.48,0.48,0.0073,2005-07-19,04:00:00,bef
2005-04-19 04:00:00,0.51,0.51,0.0028000000000000004,2005-04-19,04:00:00,bef
2005-02-01 05:00:00,0.48,0.49,0.0125,2005-02-01,05:00:00,bef
2004-10-19 04:00:00,0.46,0.47,0.016200000000000003,2004-10-19,04:00:00,bef
2004-07-26 04:00:00,0.45,0.44,-0.026099999999999998,2004-07-26,04:00:00,bef
2004-04-20 04:00:00,0.22,0.23,0.056100000000000004,2004-04-20,04:00:00,bef
2004-02-02 05:00:00,0.16,0.17,0.0576,2004-02-02,05:00:00,bef
