Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-10-06 07:00:00,0.52,0.57,0.092,2022-10-06,07:00:00,bef
2022-07-14 07:00:00,0.63,0.65,0.0285,2022-07-14,07:00:00,bef
2022-04-07 07:00:00,0.58,0.58,0.005200000000000001,2022-04-07,07:00:00,bef
2022-01-06 07:00:00,0.68,0.64,-0.0547,2022-01-06,07:00:00,bef
2021-10-07 07:00:00,0.49,0.5,0.0288,2021-10-07,07:00:00,bef
2021-07-13 07:00:00,0.52,0.54,0.0425,2021-07-13,07:00:00,bef
2021-04-08 07:00:00,0.58,0.59,0.0103,2021-04-08,07:00:00,bef
2021-01-07 07:00:00,0.74,0.81,0.102,2021-01-07,07:00:00,bef
2020-10-01 07:00:00,0.57,0.7,0.2195,2020-10-01,07:00:00,bef
2020-06-30 07:00:00,0.66,0.75,0.1433,2020-06-30,07:00:00,bef
2020-03-31 07:00:00,0.49,0.47,-0.0329,2020-03-31,07:00:00,bef
2019-12-19 07:00:00,0.57,0.63,0.1072,2019-12-19,07:00:00,bef
2019-09-26 07:00:00,0.39,0.43,0.1169,2019-09-26,07:00:00,bef
2019-06-27 07:00:00,0.41,0.36,-0.1262,2019-06-27,07:00:00,bef
2019-03-21 07:00:00,0.49,0.51,0.0472,2019-03-21,07:00:00,bef
2018-12-20 07:00:00,0.55,0.67,0.21600000000000003,2018-12-20,07:00:00,bef
2018-09-27 07:00:00,0.49,0.47,-0.0447,2018-09-27,07:00:00,bef
2018-06-27 02:00:00,0.44,0.5,0.1468,2018-06-27,02:00:00,bef
2018-03-22 07:00:00,0.56,0.61,0.0816,2018-03-22,07:00:00,bef
2017-12-21 07:00:00,0.52,0.55,0.059699999999999996,2017-12-21,07:00:00,bef
2017-09-28 07:00:00,0.4,0.46,0.1529,2017-09-28,07:00:00,bef
2017-06-29 07:00:00,0.37,0.37,-0.008,2017-06-29,07:00:00,bef
2017-03-23 07:00:00,0.44,0.48,0.0835,2017-03-23,07:00:00,bef
2016-12-22 07:00:00,0.45,0.49,0.09369999999999999,2016-12-22,07:00:00,bef
2016-09-29 07:00:00,0.48,0.61,0.2762,2016-09-29,07:00:00,bef
2016-06-30 07:00:00,0.52,0.52,-0.0019,2016-06-30,07:00:00,bef
2016-04-07 07:00:00,0.58,0.57,-0.024,2016-04-07,07:00:00,bef
2015-12-22 07:00:00,0.6,0.58,-0.039700000000000006,2015-12-22,07:00:00,bef
2015-09-22 07:00:00,0.4,0.41,0.0302,2015-09-22,07:00:00,bef
2015-03-26 07:00:00,0.52,0.59,0.13460000000000003,2015-03-26,07:00:00,bef
2014-12-18 07:00:00,0.61,0.61,0.0083,2014-12-18,07:00:00,bef
2014-09-18 07:00:00,0.35,0.39,0.1143,2014-09-18,07:00:00,bef
2014-06-26 04:00:00,0.55,0.55,-0.0009,2014-06-26,04:00:00,bef
2014-03-20 04:00:00,0.6,0.62,0.0361,2014-03-20,04:00:00,bef
2013-12-19 05:00:00,0.55,0.62,0.1213,2013-12-19,05:00:00,bef
2013-09-19 04:00:00,0.39,0.37,-0.0546,2013-09-19,04:00:00,bef
2013-06-27 04:00:00,0.59,0.6,0.0124,2013-06-27,04:00:00,bef
2013-04-03 04:00:00,0.56,0.55,-0.022799999999999997,2013-04-03,04:00:00,bef
2012-12-20 05:00:00,0.55,0.57,0.0391,2012-12-20,05:00:00,bef
2012-09-20 04:00:00,0.36,0.44,0.23809999999999998,2012-09-20,04:00:00,bef
2012-06-21 04:00:00,0.5,0.51,0.0245,2012-06-21,04:00:00,bef
2012-03-22 04:00:00,0.49,0.51,0.049100000000000005,2012-03-22,04:00:00,bef
2011-12-20 05:00:00,0.43,0.47,0.1059,2011-12-20,05:00:00,bef
2011-09-20 04:00:00,0.31,0.29,-0.061500000000000006,2011-09-20,04:00:00,bef
2011-06-23 04:00:00,0.48,0.47,-0.020800000000000003,2011-06-23,04:00:00,bef
2011-03-24 04:00:00,0.46,0.5,0.0827,2011-03-24,04:00:00,bef
2010-09-21 04:00:00,0.39,0.34,-0.11789999999999999,2010-09-21,04:00:00,bef
2010-06-24 04:00:00,0.4,0.39,-0.0183,2010-06-24,04:00:00,bef
