Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-19 06:00:00,0.83,0.67,-0.1966,2022-07-19,06:00:00,bef
2022-04-19 06:00:00,0.92,0.93,0.0131,2022-04-19,06:00:00,bef
2022-01-19 06:00:00,1.13,1.17,0.0345,2022-01-19,06:00:00,bef
2021-10-20 06:00:00,1.16,1.18,0.0172,2021-10-20,06:00:00,bef
2021-07-20 06:00:00,1.11,1.44,0.2938,2021-07-20,06:00:00,bef
2021-04-16 06:00:00,0.97,1.37,0.4153,2021-04-16,06:00:00,bef
2021-01-20 06:00:00,0.91,0.99,0.0867,2021-01-20,06:00:00,bef
2020-10-16 06:00:00,0.74,0.68,-0.08109999999999999,2020-10-16,06:00:00,bef
2020-07-17 08:00:00,0.08,0.53,5.543200000000001,2020-07-17,08:00:00,bef
2020-04-17 06:00:00,0.38,0.03,-0.92,2020-04-17,06:00:00,bef
2020-01-17 06:00:00,0.95,0.98,0.0305,2020-01-17,06:00:00,bef
2019-10-18 06:00:00,0.96,0.97,0.0073,2019-10-18,06:00:00,bef
2019-07-19 06:00:00,0.94,0.95,0.0117,2019-07-19,06:00:00,bef
2019-04-18 06:00:00,0.89,0.92,0.0349,2019-04-18,06:00:00,bef
2019-01-18 06:00:00,0.94,0.96,0.018000000000000002,2019-01-18,06:00:00,bef
2018-10-19 06:00:00,0.9,0.91,0.015600000000000001,2018-10-19,06:00:00,bef
2018-07-20 06:00:00,0.85,0.88,0.0317,2018-07-20,06:00:00,bef
2018-04-20 06:00:00,0.76,0.78,0.0304,2018-04-20,06:00:00,bef
2018-01-19 06:00:00,0.67,0.71,0.055,2018-01-19,06:00:00,bef
2017-10-20 06:00:00,0.64,0.68,0.0608,2017-10-20,06:00:00,bef
2017-07-21 06:00:00,0.59,0.63,0.06420000000000001,2017-07-21,06:00:00,bef
2017-04-20 06:00:00,0.51,0.61,0.20550000000000002,2017-04-20,06:00:00,bef
2017-01-20 06:00:00,0.52,0.55,0.055700000000000006,2017-01-20,06:00:00,bef
2016-10-21 06:00:00,0.48,0.56,0.1618,2016-10-21,06:00:00,bef
2016-07-21 06:00:00,0.44,0.46,0.0575,2016-07-21,06:00:00,bef
2016-04-21 06:00:00,0.39,0.41,0.0567,2016-04-21,06:00:00,bef
2016-01-22 06:00:00,0.42,0.42,0.0096,2016-01-22,06:00:00,bef
2015-10-23 06:00:00,0.4,0.4,0.0076,2015-10-23,06:00:00,bef
2015-07-21 06:00:00,0.36,0.35,-0.033100000000000004,2015-07-21,06:00:00,bef
2015-04-22 07:00:00,0.34,0.38,0.1243,2015-04-22,07:00:00,bef
2015-01-26 07:00:00,0.34,0.36,0.0746,2015-01-26,07:00:00,bef
2014-10-27 07:00:00,0.35,0.34,-0.0286,2014-10-27,07:00:00,bef
