Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 07:00:00,6.89,8.8,0.277,2022-07-29,07:00:00,bef
2022-04-29 07:00:00,6.47,6.9,0.0668,2022-04-29,07:00:00,bef
2022-01-28 07:00:00,6.89,8.93,0.2953,2022-01-28,07:00:00,bef
2021-10-29 07:00:00,5.71,6.5,0.1384,2021-10-29,07:00:00,bef
2021-07-30 07:00:00,4.78,5.29,0.10619999999999999,2021-07-30,07:00:00,bef
2021-04-30 07:00:00,4.26,4.11,-0.0345,2021-04-30,07:00:00,bef
2021-01-29 07:00:00,4.89,6.05,0.23750000000000002,2021-01-29,07:00:00,bef
2020-10-30 07:00:00,3.03,3.9,0.2871,2020-10-30,07:00:00,bef
2020-07-31 07:00:00,2.44,3.63,0.4865,2020-07-31,07:00:00,bef
2020-05-01 07:00:00,2.73,1.86,-0.3182,2020-05-01,07:00:00,bef
2020-01-31 07:00:00,2.49,3.28,0.3194,2020-01-31,07:00:00,bef
2019-10-25 07:00:00,1.67,1.74,0.0394,2019-10-25,07:00:00,bef
2019-07-26 07:00:00,1.85,1.39,-0.24910000000000002,2019-07-26,07:00:00,bef
2019-04-30 07:00:00,1.42,1.11,-0.2189,2019-04-30,07:00:00,bef
2019-01-31 07:00:00,1.51,1.29,-0.1457,2019-01-31,07:00:00,bef
2018-10-26 07:00:00,1.04,2.11,1.0367,2018-10-26,07:00:00,bef
2018-07-31 07:00:00,1.0,1.15,0.1558,2018-07-31,07:00:00,bef
2018-04-27 07:00:00,0.52,0.7,0.3514,2018-04-27,07:00:00,bef
2018-02-02 08:00:00,0.87,1.14,0.3073,2018-02-02,08:00:00,bef
2017-10-26 07:00:00,1.02,0.19,-0.8143000000000001,2017-10-26,07:00:00,bef
2017-07-27 08:00:00,0.87,0.52,-0.40299999999999997,2017-07-27,08:00:00,bef
2017-05-02 07:00:00,0.96,0.57,-0.40750000000000003,2017-05-02,07:00:00,bef
2017-02-16 07:00:00,1.0,1.67,0.6683,2017-02-16,07:00:00,bef
2016-11-03 08:00:00,0.63,0.69,0.0935,2016-11-03,08:00:00,bef
2016-04-28 08:00:00,-1.21,-1.86,-0.5355,2016-04-28,08:00:00,bef
2016-02-04 08:00:00,-0.32,-1.2,-2.7307,2016-02-04,08:00:00,bef
2015-10-29 10:00:00,-0.07,0.53,8.375,2015-10-29,10:00:00,bef
2015-08-04 08:00:00,0.3,-1.2,-4.9638,2015-08-04,08:00:00,bef
2015-05-01 08:00:00,0.04,-0.81,-22.8108,2015-05-01,08:00:00,bef
2015-02-05 08:00:00,0.01,-0.53,-54.1,2015-02-05,08:00:00,bef
2014-10-29 08:00:00,0.08,-0.54,-7.8608,2014-10-29,08:00:00,bef
2014-07-31 04:00:00,0.23,-0.46,-2.9867000000000004,2014-07-31,04:00:00,bef
2014-04-28 04:00:00,0.13,-0.39,-3.9913,2014-04-28,04:00:00,bef
2014-02-21 05:00:00,0.26,0.39,0.48850000000000005,2014-02-21,05:00:00,bef
2013-11-05 05:00:00,0.11,-0.75,-7.5883,2013-11-05,05:00:00,bef
2013-08-06 04:00:00,0.38,-1.06,-3.7807999999999997,2013-08-06,04:00:00,bef
2013-05-07 04:00:00,-0.67,-0.46,0.3084,2013-05-07,04:00:00,bef
2013-02-22 05:00:00,-0.31,-0.45,-0.4518,2013-02-22,05:00:00,bef
2012-11-06 05:00:00,-0.46,-0.96,-1.0779,2012-11-06,05:00:00,bef
2012-08-07 04:00:00,-0.41,-0.93,-1.2657,2012-08-07,04:00:00,bef
2012-05-08 04:00:00,-0.63,-1.05,-0.6601,2012-05-08,04:00:00,bef
2012-02-27 05:00:00,-0.35,-0.7,-0.9921,2012-02-27,05:00:00,bef
2011-11-01 04:00:00,-0.17,-0.87,-4.1585,2011-11-01,04:00:00,bef
2011-08-02 04:00:00,0.22,-1.08,-5.896,2011-08-02,04:00:00,bef
2011-05-03 04:00:00,0.23,-0.42,-2.8643,2011-05-03,04:00:00,bef
2011-03-01 05:00:00,0.22,-0.83,-4.7906,2011-03-01,05:00:00,bef
2010-11-03 04:00:00,0.03,-0.93,-28.998800000000003,2010-11-03,04:00:00,bef
2010-08-04 04:00:00,0.59,-0.8,-2.3585,2010-08-04,04:00:00,bef
2010-05-06 04:00:00,0.77,0.23,-0.7000000000000001,2010-05-06,04:00:00,bef
