Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,1.06,0.65,-0.3879,2022-07-27,16:00:00,aft
2022-04-28 16:00:00,1.47,1.58,0.0734,2022-04-28,16:00:00,aft
2022-02-15 16:00:00,1.35,1.97,0.46140000000000003,2022-02-15,16:00:00,aft
2021-10-27 16:00:00,0.87,1.28,0.4679,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,0.99,1.79,0.8136,2021-07-28,16:00:00,aft
2021-04-28 16:00:00,1.05,1.37,0.3048,2021-04-28,16:00:00,aft
2021-02-10 16:00:00,1.19,1.61,0.35409999999999997,2021-02-10,16:00:00,aft
2020-10-26 16:00:00,0.33,0.39,0.18539999999999998,2020-10-26,16:00:00,aft
2020-07-27 16:00:00,0.39,0.44,0.13699999999999998,2020-07-27,16:00:00,aft
2020-04-27 16:00:00,1.05,0.84,-0.1962,2020-04-27,16:00:00,aft
2020-02-05 16:00:00,1.11,1.23,0.1131,2020-02-05,16:00:00,aft
2019-10-24 16:00:00,0.89,1.08,0.21760000000000002,2019-10-24,16:00:00,aft
2019-07-30 16:00:00,0.65,0.85,0.3178,2019-07-30,16:00:00,aft
2019-04-24 16:00:00,0.88,1.05,0.2,2019-04-24,16:00:00,aft
2019-02-06 16:00:00,0.84,0.98,0.16670000000000001,2019-02-06,16:00:00,aft
2018-10-25 16:00:00,0.76,0.84,0.1082,2018-10-25,16:00:00,aft
2018-07-26 16:00:00,0.59,0.81,0.37520000000000003,2018-07-26,16:00:00,aft
2018-04-25 16:00:00,0.8,0.72,-0.1034,2018-04-25,16:00:00,aft
2018-02-07 16:00:00,0.86,0.93,0.0864,2018-02-07,16:00:00,aft
2017-10-26 17:00:00,0.52,0.58,0.11539999999999999,2017-10-26,17:00:00,aft
2017-08-02 16:00:00,0.51,0.64,0.2549,2017-08-02,16:00:00,aft
2017-04-26 16:00:00,0.51,0.59,0.1637,2017-04-26,16:00:00,aft
2017-02-08 16:00:00,0.66,0.75,0.13640000000000002,2017-02-08,16:00:00,aft
2016-10-25 16:00:00,0.78,0.86,0.09970000000000001,2016-10-25,16:00:00,aft
2016-07-26 16:00:00,0.43,0.57,0.3318,2016-07-26,16:00:00,aft
2016-04-26 16:00:00,0.7,0.89,0.26420000000000005,2016-04-26,16:00:00,aft
2016-02-03 16:00:00,0.9,1.1,0.2195,2016-02-03,16:00:00,aft
2015-10-27 16:00:00,0.71,1.04,0.4607,2015-10-27,16:00:00,aft
2015-07-28 16:00:00,0.39,0.83,1.1392,2015-07-28,16:00:00,aft
2015-04-28 16:00:00,0.71,0.59,-0.16670000000000001,2015-04-28,16:00:00,aft
2015-02-04 16:00:00,0.85,0.89,0.0471,2015-02-04,16:00:00,aft
2014-10-28 16:00:00,0.75,0.85,0.1333,2014-10-28,16:00:00,aft
2014-07-29 04:00:00,0.48,0.46,-0.0417,2014-07-29,04:00:00,bef
2014-04-24 04:00:00,0.55,0.46,-0.16870000000000002,2014-04-24,04:00:00,bef
2014-02-05 05:00:00,0.69,0.72,0.047599999999999996,2014-02-05,05:00:00,bef
2013-10-24 04:00:00,0.63,0.7,0.1185,2013-10-24,04:00:00,bef
2013-07-25 04:00:00,0.41,0.61,0.47750000000000004,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.66,0.78,0.18539999999999998,2013-04-25,04:00:00,bef
2013-02-06 05:00:00,0.49,1.11,1.2567000000000002,2013-02-06,05:00:00,bef
2012-10-25 04:00:00,0.4,0.64,0.6005,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,0.11,0.17,0.4961,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,0.42,0.48,0.15,2012-04-26,04:00:00,bef
2012-02-08 05:00:00,0.58,0.86,0.47100000000000003,2012-02-08,05:00:00,bef
2011-10-27 04:00:00,0.13,0.12,-0.0886,2011-10-27,04:00:00,bef
2011-07-27 04:00:00,-0.64,-0.57,0.1094,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,0.36,0.33,-0.07690000000000001,2011-04-27,04:00:00,bef
2011-02-02 05:00:00,0.36,0.7,0.9489000000000001,2011-02-02,05:00:00,bef
2010-10-27 04:00:00,0.37,0.34,-0.0909,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,0.26,0.26,-0.0152,2010-07-28,04:00:00,bef
2010-04-28 04:00:00,0.45,0.39,-0.1295,2010-04-28,04:00:00,bef
2010-02-04 05:00:00,0.52,0.53,0.0115,2010-02-04,05:00:00,bef
2009-10-29 04:00:00,0.42,0.59,0.3981,2009-10-29,04:00:00,bef
2009-07-30 04:00:00,0.18,-0.03,-1.1667,2009-07-30,04:00:00,bef
2009-04-30 04:00:00,0.25,0.23,-0.065,2009-04-30,04:00:00,bef
2009-02-05 05:00:00,0.57,0.57,0.0034999999999999996,2009-02-05,05:00:00,bef
2008-10-29 04:00:00,0.48,0.45,-0.0708,2008-10-29,04:00:00,bef
2008-08-06 04:00:00,0.3,0.42,0.38680000000000003,2008-08-06,04:00:00,bef
2008-04-30 04:00:00,0.71,0.66,-0.0638,2008-04-30,04:00:00,bef
2008-02-06 05:00:00,0.74,1.07,0.4533,2008-02-06,05:00:00,bef
2007-10-24 04:00:00,0.78,0.66,-0.1492,2007-10-24,04:00:00,bef
2007-08-07 04:00:00,0.85,0.94,0.1033,2007-08-07,04:00:00,bef
2007-05-02 04:00:00,0.83,0.88,0.0659,2007-05-02,04:00:00,bef
2007-02-07 05:00:00,0.73,0.7,-0.046900000000000004,2007-02-07,05:00:00,bef
2006-11-01 05:00:00,0.66,0.66,-0.0019,2006-11-01,05:00:00,bef
2006-08-02 04:00:00,0.67,0.72,0.06860000000000001,2006-08-02,04:00:00,bef
2006-05-03 04:00:00,0.67,0.74,0.1045,2006-05-03,04:00:00,bef
2006-02-08 05:00:00,0.87,0.94,0.076,2006-02-08,05:00:00,bef
2005-11-02 05:00:00,0.56,0.61,0.0805,2005-11-02,05:00:00,bef
2005-08-04 04:00:00,0.69,0.84,0.21739999999999998,2005-08-04,04:00:00,bef
2005-04-20 04:00:00,0.69,0.78,0.1229,2005-04-20,04:00:00,bef
2005-02-02 05:00:00,0.73,0.94,0.298,2005-02-02,05:00:00,bef
2004-10-21 04:00:00,0.32,0.53,0.6739,2004-10-21,04:00:00,bef
2004-07-22 04:00:00,0.58,0.67,0.1543,2004-07-22,04:00:00,bef
2004-04-22 04:00:00,0.61,0.79,0.295,2004-04-22,04:00:00,bef
2004-02-04 05:00:00,0.53,0.72,0.34909999999999997,2004-02-04,05:00:00,bef
2003-10-28 05:00:00,0.46,0.44,-0.0278,2003-10-28,05:00:00,bef
2003-07-29 04:00:00,0.41,0.46,0.141,2003-07-29,04:00:00,bef
2003-04-23 04:00:00,0.47,0.54,0.15380000000000002,2003-04-23,04:00:00,bef
2003-02-06 05:00:00,0.41,0.54,0.3075,2003-02-06,05:00:00,bef
2002-10-24 04:00:00,0.37,0.46,0.2409,2002-10-24,04:00:00,bef
2002-07-25 04:00:00,0.26,0.23,-0.13460000000000003,2002-07-25,04:00:00,bef
2002-04-25 04:00:00,0.36,0.44,0.23879999999999998,2002-04-25,04:00:00,bef
2002-02-06 05:00:00,0.32,0.33,0.0253,2002-02-06,05:00:00,bef
2001-10-25 04:00:00,0.22,0.21,-0.046,2001-10-25,04:00:00,bef
2001-07-24 04:00:00,0.27,0.26,-0.0429,2001-07-24,04:00:00,bef
2001-04-24 04:00:00,0.34,0.39,0.1583,2001-04-24,04:00:00,bef
2001-02-06 05:00:00,-0.11,-0.13,-0.16670000000000001,2001-02-06,05:00:00,bef
2000-10-26 04:00:00,0.37,0.14,-0.6296,2000-10-26,04:00:00,bef
2000-07-25 04:00:00,0.35,0.4,0.1399,2000-07-25,04:00:00,bef
2000-04-25 04:00:00,0.36,0.39,0.09550000000000002,2000-04-25,04:00:00,bef
2000-02-03 05:00:00,0.33,0.41,0.2209,2000-02-03,05:00:00,bef
1999-10-21 04:00:00,0.32,0.34,0.0796,1999-10-21,04:00:00,bef
1999-07-26 04:00:00,0.31,0.43,0.3743,1999-07-26,04:00:00,bef
1999-04-22 04:00:00,0.27,0.26,-0.0333,1999-04-22,04:00:00,bef
1999-02-04 05:00:00,0.34,0.27,-0.1935,1999-02-04,05:00:00,bef
1998-10-22 04:00:00,0.32,0.28,-0.1143,1998-10-22,04:00:00,bef
1998-07-23 04:00:00,0.26,0.32,0.2281,1998-07-23,04:00:00,bef
1998-04-23 04:00:00,0.35,0.44,0.2629,1998-04-23,04:00:00,bef
1998-02-19 05:00:00,0.34,0.37,0.0873,1998-02-19,05:00:00,bef
1997-10-23 04:00:00,0.3,0.34,0.13240000000000002,1997-10-23,04:00:00,bef
1997-07-23 04:00:00,0.32,0.34,0.050499999999999996,1997-07-23,04:00:00,bef
1997-04-23 04:00:00,0.31,0.31,0.0099,1997-04-23,04:00:00,bef
1997-02-05 05:00:00,0.29,0.31,0.049400000000000006,1997-02-05,05:00:00,bef
1996-10-24 04:00:00,0.28,0.2,-0.2909,1996-10-24,04:00:00,bef
1996-07-24 04:00:00,0.28,0.27,-0.04,1996-07-24,04:00:00,bef
1996-04-24 04:00:00,0.27,0.31,0.15560000000000002,1996-04-24,04:00:00,bef
1996-02-05 05:00:00,0.26,0.27,0.0391,1996-02-05,05:00:00,bef
1995-10-24 04:00:00,0.28,0.29,0.0313,1995-10-24,04:00:00,bef
1995-07-24 04:00:00,0.27,0.29,0.068,1995-07-24,04:00:00,bef
1995-04-25 04:00:00,0.27,0.26,-0.0222,1995-04-25,04:00:00,bef
1995-02-06 05:00:00,0.26,0.29,0.0892,1995-02-06,05:00:00,bef
1994-10-25 04:00:00,0.26,0.23,-0.09380000000000001,1994-10-25,04:00:00,bef
1994-07-25 04:00:00,0.27,0.29,0.06,1994-07-25,04:00:00,bef
1994-04-25 04:00:00,0.25,0.26,0.019,1994-04-25,04:00:00,bef
1994-02-02 05:00:00,0.23,0.25,0.055700000000000006,1994-02-02,05:00:00,bef
1993-10-29 04:00:00,0.22,0.25,0.11460000000000001,1993-10-29,04:00:00,bef
1993-07-23 04:00:00,0.25,0.26,0.0391,1993-07-23,04:00:00,bef
1993-04-22 04:00:00,0.21,0.3,0.467,1993-04-22,04:00:00,bef
1993-02-05 05:00:00,0.21,0.19,-0.09390000000000001,1993-02-05,05:00:00,bef
