Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,5.48,6.22,0.1352,2022-08-04,06:00:00,bef
2022-05-06 06:00:00,5.18,6.01,0.16,2022-05-06,06:00:00,bef
2022-02-03 06:00:00,4.71,4.77,0.0121,2022-02-03,06:00:00,bef
2021-11-04 06:00:00,5.23,5.73,0.09670000000000001,2021-11-04,06:00:00,bef
2021-08-05 06:00:00,4.96,5.24,0.056900000000000006,2021-08-05,06:00:00,bef
2021-05-07 06:00:00,4.38,4.73,0.07940000000000001,2021-05-07,06:00:00,bef
2021-02-04 06:00:00,3.68,3.51,-0.0454,2021-02-04,06:00:00,bef
2020-11-05 06:00:00,4.24,4.41,0.0391,2020-11-05,06:00:00,bef
2020-07-30 06:00:00,5.15,5.81,0.1282,2020-07-30,06:00:00,bef
2020-04-30 06:00:00,4.35,4.69,0.0782,2020-04-30,06:00:00,bef
2020-02-06 06:00:00,4.2,4.31,0.0262,2020-02-06,06:00:00,bef
2019-10-31 06:00:00,4.36,4.54,0.0415,2019-10-31,06:00:00,bef
2019-08-01 06:00:00,3.74,4.3,0.1507,2019-08-01,06:00:00,bef
2019-05-02 06:00:00,3.73,3.9,0.047,2019-05-02,06:00:00,bef
2019-02-01 06:00:00,2.42,2.46,0.0161,2019-02-01,06:00:00,bef
2018-11-01 06:00:00,3.44,3.84,0.1173,2018-11-01,06:00:00,bef
2018-08-02 06:00:00,3.33,3.89,0.1675,2018-08-02,06:00:00,bef
2018-05-03 06:00:00,3.39,4.11,0.21309999999999998,2018-05-03,06:00:00,bef
2018-02-01 06:00:00,1.89,1.94,0.0281,2018-02-01,06:00:00,bef
2017-11-02 06:00:00,2.36,2.83,0.20120000000000002,2017-11-02,06:00:00,bef
2017-08-04 06:00:00,2.48,2.91,0.1748,2017-08-04,06:00:00,bef
2017-05-05 06:00:00,2.45,2.77,0.1288,2017-05-05,06:00:00,bef
2017-02-02 06:00:00,1.74,1.87,0.07780000000000001,2017-02-02,06:00:00,bef
