Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-20 06:00:00,1.78,1.92,0.078,2022-07-20,06:00:00,bef
2022-04-20 06:00:00,1.38,1.37,-0.0058,2022-04-20,06:00:00,bef
2022-01-19 08:00:00,1.58,1.66,0.048600000000000004,2022-01-19,08:00:00,bef
2021-10-20 06:00:00,1.64,1.9,0.1585,2021-10-20,06:00:00,bef
2021-07-21 06:00:00,1.61,2.32,0.4401,2021-07-21,06:00:00,bef
2021-04-20 06:00:00,1.37,2.43,0.7737,2021-04-20,06:00:00,bef
2021-01-19 06:00:00,1.19,1.49,0.2553,2021-01-19,06:00:00,bef
2020-10-20 06:00:00,0.83,1.44,0.7391,2020-10-20,06:00:00,bef
2020-07-21 06:00:00,0.21,0.8,2.7382999999999997,2020-07-21,06:00:00,bef
2020-04-21 06:00:00,0.95,-0.46,-1.4822,2020-04-21,06:00:00,bef
2020-01-21 06:00:00,1.74,1.85,0.062000000000000006,2020-01-21,06:00:00,bef
2019-10-16 06:00:00,1.9,1.96,0.0332,2019-10-16,06:00:00,bef
2019-07-17 06:00:00,2.0,1.94,-0.0319,2019-07-17,06:00:00,bef
2019-04-16 06:00:00,1.94,2.11,0.0904,2019-04-16,06:00:00,bef
2019-01-16 08:00:00,1.87,1.88,0.0048,2019-01-16,08:00:00,bef
2018-10-16 06:00:00,1.76,1.86,0.0562,2018-10-16,06:00:00,bef
2018-07-17 06:00:00,1.64,1.87,0.1402,2018-07-17,06:00:00,bef
2018-04-17 07:00:00,1.53,1.59,0.0406,2018-04-17,07:00:00,bef
2018-01-16 06:00:00,1.21,1.26,0.0379,2018-01-16,06:00:00,bef
2017-10-17 06:00:00,1.2,1.26,0.0526,2017-10-17,06:00:00,bef
2017-07-18 06:00:00,1.06,1.13,0.063,2017-07-18,06:00:00,bef
2017-04-18 06:00:00,0.93,1.11,0.18969999999999998,2017-04-18,06:00:00,bef
2017-01-17 06:00:00,0.87,0.92,0.062400000000000004,2017-01-17,06:00:00,bef
2016-10-18 06:00:00,0.74,0.84,0.13670000000000002,2016-10-18,06:00:00,bef
2016-07-19 06:00:00,0.69,0.58,-0.1618,2016-07-19,06:00:00,bef
2016-04-19 06:00:00,0.45,0.34,-0.2377,2016-04-19,06:00:00,bef
2016-01-19 06:00:00,0.69,0.71,0.032,2016-01-19,06:00:00,bef
2015-10-16 06:00:00,0.7,0.74,0.0647,2015-10-16,06:00:00,bef
2015-07-17 06:00:00,0.75,0.73,-0.021400000000000002,2015-07-17,06:00:00,bef
2015-01-16 06:00:00,0.77,0.8,0.0458,2015-01-16,06:00:00,bef
2014-10-17 07:00:00,0.8,0.82,0.0199,2014-10-17,07:00:00,bef
2014-07-15 04:00:00,0.76,0.8,0.049800000000000004,2014-07-15,04:00:00,bef
2014-04-15 04:00:00,0.72,0.73,0.015300000000000001,2014-04-15,04:00:00,bef
2014-01-17 05:00:00,0.74,0.77,0.0386,2014-01-17,05:00:00,bef
2013-10-16 04:00:00,0.71,0.78,0.1024,2013-10-16,04:00:00,bef
2013-07-16 04:00:00,0.7,0.76,0.0834,2013-07-16,04:00:00,bef
2013-04-16 04:00:00,0.68,0.7,0.031200000000000002,2013-04-16,04:00:00,bef
2013-01-16 05:00:00,0.65,0.68,0.045599999999999995,2013-01-16,05:00:00,bef
2012-10-17 04:00:00,0.65,0.61,-0.059000000000000004,2012-10-17,04:00:00,bef
2012-07-17 04:00:00,0.62,0.73,0.1857,2012-07-17,04:00:00,bef
2012-04-17 04:00:00,0.55,0.66,0.1912,2012-04-17,04:00:00,bef
2012-01-20 05:00:00,0.45,0.48,0.07200000000000001,2012-01-20,05:00:00,bef
2011-10-19 04:00:00,0.53,0.51,-0.038,2011-10-19,04:00:00,bef
2011-07-19 04:00:00,0.54,0.53,-0.0096,2011-07-19,04:00:00,bef
2011-04-19 04:00:00,0.48,0.57,0.1912,2011-04-19,04:00:00,bef
2011-01-18 05:00:00,0.31,0.53,0.6865000000000001,2011-01-18,05:00:00,bef
2010-10-20 04:00:00,0.41,0.33,-0.18730000000000002,2010-10-20,04:00:00,bef
2010-07-21 04:00:00,0.23,0.39,0.6927,2010-07-21,04:00:00,bef
2010-04-21 04:00:00,-0.28,-0.46,-0.6684,2010-04-21,04:00:00,bef
2010-01-21 05:00:00,-0.5,-0.41,0.1833,2010-01-21,05:00:00,bef
2009-10-20 04:00:00,-0.53,-0.1,0.8103,2009-10-20,04:00:00,bef
2009-07-21 04:00:00,-0.45,-0.1,0.7798999999999999,2009-07-21,04:00:00,bef
2009-04-21 04:00:00,-0.09,-0.16,-0.7079000000000001,2009-04-21,04:00:00,bef
2009-01-22 05:00:00,0.24,0.02,-0.9159,2009-01-22,05:00:00,bef
2008-10-17 04:00:00,0.06,0.18,1.8284,2008-10-17,04:00:00,bef
2008-07-17 04:00:00,0.5,0.37,-0.26,2008-07-17,04:00:00,bef
2008-04-17 04:00:00,0.79,0.73,-0.0733,2008-04-17,04:00:00,bef
2008-01-17 05:00:00,1.05,0.77,-0.266,2008-01-17,05:00:00,bef
2007-10-17 04:00:00,1.22,1.17,-0.040999999999999995,2007-10-17,04:00:00,bef
2007-07-18 04:00:00,1.22,1.25,0.0246,2007-07-18,04:00:00,bef
2007-04-17 04:00:00,1.18,1.19,0.008100000000000001,2007-04-17,04:00:00,bef
2007-01-18 05:00:00,1.21,1.16,-0.0395,2007-01-18,05:00:00,bef
2006-10-19 04:00:00,1.2,1.23,0.0223,2006-10-19,04:00:00,bef
2006-07-20 04:00:00,1.14,1.22,0.0661,2006-07-20,04:00:00,bef
2006-04-19 04:00:00,1.16,1.18,0.0169,2006-04-19,04:00:00,bef
2006-01-19 05:00:00,1.19,1.25,0.0547,2006-01-19,05:00:00,bef
2005-10-19 04:00:00,1.19,1.41,0.189,2005-10-19,04:00:00,bef
2005-07-20 04:00:00,1.12,1.28,0.1389,2005-07-20,04:00:00,bef
2005-04-20 04:00:00,1.1,1.16,0.0562,2005-04-20,04:00:00,bef
2005-01-20 05:00:00,1.11,1.21,0.0866,2005-01-20,05:00:00,bef
2004-10-19 04:00:00,1.05,1.13,0.0725,2004-10-19,04:00:00,bef
2004-07-15 04:00:00,0.93,1.1,0.177,2004-07-15,04:00:00,bef
2004-04-15 04:00:00,0.89,0.92,0.031200000000000002,2004-04-15,04:00:00,bef
2004-01-15 05:00:00,0.88,0.89,0.011399999999999999,2004-01-15,05:00:00,bef
2003-10-15 04:00:00,0.9,0.89,-0.008199999999999999,2003-10-15,04:00:00,bef
2003-07-16 04:00:00,0.96,0.97,0.0068000000000000005,2003-07-16,04:00:00,bef
2003-04-16 04:00:00,0.99,1.0,0.0111,2003-04-16,04:00:00,bef
2003-01-16 05:00:00,1.16,1.18,0.0172,2003-01-16,05:00:00,bef
2002-10-16 04:00:00,0.13,0.14,0.044800000000000006,2002-10-16,04:00:00,bef
2002-07-17 04:00:00,1.0,0.9,-0.09550000000000002,2002-07-17,04:00:00,bef
2002-04-16 04:00:00,1.19,1.2,0.0046,2002-04-16,04:00:00,bef
2002-01-16 05:00:00,1.16,1.16,-0.0019,2002-01-16,05:00:00,bef
2001-10-16 04:00:00,1.18,1.2,0.013300000000000001,2001-10-16,04:00:00,bef
2001-07-17 04:00:00,1.17,1.18,0.0085,2001-07-17,04:00:00,bef
2001-04-17 04:00:00,1.21,1.21,0.0036,2001-04-17,04:00:00,bef
2001-01-22 05:00:00,1.19,1.2,0.0098,2001-01-22,05:00:00,bef
2000-10-17 04:00:00,1.17,1.18,0.0122,2000-10-17,04:00:00,bef
2000-07-18 04:00:00,1.13,1.15,0.0194,2000-07-18,04:00:00,bef
2000-04-17 04:00:00,1.09,1.1,0.0079,2000-04-17,04:00:00,bef
2000-01-18 05:00:00,1.08,1.08,0.001,2000-01-18,05:00:00,bef
1999-07-15 04:00:00,1.01,1.03,0.0148,1999-07-15,04:00:00,bef
1999-04-15 04:00:00,0.98,0.99,0.0102,1999-04-15,04:00:00,bef
1999-01-19 05:00:00,0.97,0.97,0.0028000000000000004,1999-01-19,05:00:00,bef
1998-10-15 04:00:00,0.94,0.95,0.0054,1998-10-15,04:00:00,bef
1998-07-15 04:00:00,0.91,0.94,0.0381,1998-07-15,04:00:00,bef
1998-04-15 04:00:00,0.87,0.88,0.0158,1998-04-15,04:00:00,bef
1998-01-20 05:00:00,0.84,0.85,0.0102,1998-01-20,05:00:00,bef
1997-10-15 04:00:00,0.8,0.82,0.0298,1997-10-15,04:00:00,bef
1997-07-15 04:00:00,0.76,0.77,0.023700000000000002,1997-07-15,04:00:00,bef
1997-04-15 04:00:00,0.73,0.73,0.0105,1997-04-15,04:00:00,bef
1997-01-22 05:00:00,0.71,0.71,-0.0044,1997-01-22,05:00:00,bef
