Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 07:00:00,0.92,1.01,0.1038,2022-07-28,07:00:00,bef
2022-04-28 07:00:00,0.8,0.86,0.0697,2022-04-28,07:00:00,bef
2022-01-27 07:00:00,0.73,0.77,0.049,2022-01-27,07:00:00,bef
2021-10-28 07:00:00,0.75,0.87,0.1585,2021-10-28,07:00:00,bef
2021-07-29 07:00:00,0.67,0.84,0.2594,2021-07-29,07:00:00,bef
2021-04-29 07:00:00,0.59,0.76,0.2969,2021-04-29,07:00:00,bef
2021-01-28 07:00:00,0.48,0.56,0.1618,2021-01-28,07:00:00,bef
2020-10-29 07:00:00,0.52,0.65,0.25730000000000003,2020-10-29,07:00:00,bef
2020-07-30 07:00:00,0.55,0.69,0.2477,2020-07-30,07:00:00,bef
2020-04-30 07:00:00,0.68,0.71,0.0487,2020-04-30,07:00:00,bef
2020-01-23 07:00:00,0.76,0.79,0.0367,2020-01-23,07:00:00,bef
2019-10-24 07:00:00,0.75,0.79,0.059000000000000004,2019-10-24,07:00:00,bef
2019-07-25 07:00:00,0.75,0.78,0.0359,2019-07-25,07:00:00,bef
2019-04-25 07:00:00,0.68,0.76,0.1176,2019-04-25,07:00:00,bef
2019-01-23 07:00:00,0.62,0.64,0.0256,2019-01-23,07:00:00,bef
2018-10-25 06:00:00,0.61,0.65,0.07440000000000001,2018-10-25,06:00:00,bef
2018-07-26 07:00:00,0.6,0.65,0.0779,2018-07-26,07:00:00,bef
2018-04-25 06:00:00,0.59,0.62,0.0562,2018-04-25,06:00:00,bef
2018-01-24 07:00:00,0.47,0.49,0.047,2018-01-24,07:00:00,bef
2017-10-26 07:00:00,0.5,0.52,0.0484,2017-10-26,07:00:00,bef
2017-07-27 06:00:00,0.48,0.52,0.07440000000000001,2017-07-27,06:00:00,bef
2017-04-27 07:00:00,0.45,0.53,0.19100000000000003,2017-04-27,07:00:00,bef
2017-01-26 07:00:00,0.43,0.45,0.027700000000000002,2017-01-26,07:00:00,bef
2016-10-26 07:00:00,0.46,0.46,0.0088,2016-10-26,07:00:00,bef
2016-07-27 07:00:00,0.4,0.42,0.0298,2016-07-27,07:00:00,bef
2016-04-27 07:00:00,0.4,0.44,0.0985,2016-04-27,07:00:00,bef
