Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-31 16:00:00,3.22,3.19,-0.0087,2022-08-31,16:00:00,aft
2022-06-02 16:00:00,3.43,3.24,-0.055700000000000006,2022-06-02,16:00:00,aft
2022-03-03 16:00:00,3.11,3.24,0.0435,2022-03-03,16:00:00,aft
2021-12-02 16:00:00,3.37,3.28,-0.0276,2021-12-02,16:00:00,aft
2021-09-02 16:00:00,3.29,3.41,0.0365,2021-09-02,16:00:00,aft
2021-06-03 16:00:00,3.09,3.38,0.0953,2021-06-03,16:00:00,aft
2021-03-04 16:00:00,2.78,3.17,0.1391,2021-03-04,16:00:00,aft
2020-12-03 16:00:00,3.09,3.16,0.0213,2020-12-03,16:00:00,aft
2020-09-03 16:00:00,1.52,2.28,0.49700000000000005,2020-09-03,16:00:00,aft
2020-06-04 16:00:00,2.36,1.51,-0.3588,2020-06-04,16:00:00,aft
2020-03-05 16:00:00,2.71,2.69,-0.0088,2020-03-05,16:00:00,aft
2019-12-05 16:00:00,3.27,3.3,0.0089,2019-12-05,16:00:00,aft
2019-08-29 16:00:00,3.18,3.23,0.0173,2019-08-29,16:00:00,aft
2019-05-30 16:00:00,2.76,2.94,0.0637,2019-05-30,16:00:00,aft
2019-03-05 16:00:00,2.5,2.88,0.1515,2019-03-05,16:00:00,aft
2018-12-06 16:00:00,2.96,2.87,-0.031400000000000004,2018-12-06,16:00:00,aft
2018-08-30 16:00:00,3.07,3.0,-0.0212,2018-08-30,16:00:00,aft
2018-06-07 16:00:00,2.84,2.86,0.008100000000000001,2018-06-07,16:00:00,aft
2018-03-08 16:00:00,2.51,2.79,0.1124,2018-03-08,16:00:00,aft
2017-12-07 16:00:00,2.64,2.65,0.0026000000000000003,2017-12-07,16:00:00,aft
2017-08-31 16:00:00,2.58,2.64,0.0248,2017-08-31,16:00:00,aft
2017-06-01 16:00:00,2.25,2.5,0.11359999999999999,2017-06-01,16:00:00,aft
2017-03-02 16:00:00,1.87,1.93,0.031000000000000003,2017-03-02,16:00:00,aft
2016-12-08 16:00:00,2.25,2.28,0.015600000000000001,2016-12-08,16:00:00,aft
2016-09-01 16:00:00,2.29,2.3,0.006600000000000001,2016-09-01,16:00:00,aft
2016-06-02 16:00:00,1.91,2.05,0.07110000000000001,2016-06-02,16:00:00,aft
2016-03-03 16:00:00,1.58,1.83,0.156,2016-03-03,16:00:00,aft
2015-12-03 16:00:00,2.11,2.0,-0.0499,2015-12-03,16:00:00,aft
2015-09-03 16:00:00,1.95,1.97,0.0129,2015-09-03,16:00:00,aft
2015-06-04 16:00:00,1.76,1.72,-0.020499999999999997,2015-06-04,16:00:00,aft
2015-03-05 16:00:00,1.54,1.75,0.13640000000000002,2015-03-05,16:00:00,aft
2014-12-04 16:00:00,2.03,1.95,-0.038900000000000004,2014-12-04,16:00:00,aft
2014-09-04 16:00:00,1.9,2.0,0.0543,2014-09-04,16:00:00,aft
2014-06-05 04:00:00,1.6,1.64,0.0255,2014-06-05,04:00:00,bef
2014-03-06 05:00:00,1.46,1.47,0.0096,2014-03-06,05:00:00,bef
2013-12-05 05:00:00,1.8,1.48,-0.17690000000000003,2013-12-05,05:00:00,bef
2013-09-05 04:00:00,1.71,1.74,0.0148,2013-09-05,04:00:00,bef
2013-06-06 04:00:00,1.39,1.5,0.0799,2013-06-06,04:00:00,bef
2013-03-07 05:00:00,1.19,1.23,0.0354,2013-03-07,05:00:00,bef
2012-12-06 05:00:00,1.55,1.47,-0.049800000000000004,2012-12-06,05:00:00,bef
2012-09-06 04:00:00,1.29,1.45,0.12789999999999999,2012-09-06,04:00:00,bef
2012-06-07 04:00:00,1.2,1.12,-0.0641,2012-06-07,04:00:00,bef
2012-03-08 05:00:00,1.04,1.12,0.07690000000000001,2012-03-08,05:00:00,bef
2011-12-08 05:00:00,1.21,1.46,0.2046,2011-12-08,05:00:00,bef
2011-08-31 04:00:00,1.08,1.15,0.06480000000000001,2011-08-31,04:00:00,bef
2011-06-02 04:00:00,0.93,1.02,0.102,2011-06-02,04:00:00,bef
2011-03-03 05:00:00,0.67,0.85,0.2725,2011-03-03,05:00:00,bef
2010-12-07 05:00:00,0.87,1.09,0.2565,2010-12-07,05:00:00,bef
2010-09-02 04:00:00,0.71,0.91,0.2776,2010-09-02,04:00:00,bef
2010-03-04 05:00:00,0.52,0.49,-0.057699999999999994,2010-03-04,05:00:00,bef
2009-12-08 05:00:00,0.67,0.67,0.0075,2009-12-08,05:00:00,bef
2009-09-03 04:00:00,0.61,0.54,-0.1129,2009-09-03,04:00:00,bef
2009-06-04 04:00:00,0.49,0.54,0.11050000000000001,2009-06-04,04:00:00,bef
2009-03-05 05:00:00,0.39,0.53,0.3722,2009-03-05,05:00:00,bef
2008-12-09 05:00:00,0.57,0.65,0.1479,2008-12-09,05:00:00,bef
2008-09-04 04:00:00,0.65,0.67,0.0388,2008-09-04,04:00:00,bef
2008-06-05 04:00:00,0.49,0.49,-0.0045000000000000005,2008-06-05,04:00:00,bef
2008-03-06 05:00:00,0.45,0.45,-0.0022,2008-03-06,05:00:00,bef
2007-12-11 05:00:00,0.68,0.54,-0.20850000000000002,2007-12-11,05:00:00,bef
2007-09-06 04:00:00,0.7,0.69,-0.012700000000000001,2007-09-06,04:00:00,bef
2007-06-05 04:00:00,0.6,0.41,-0.3195,2007-06-05,04:00:00,bef
2007-03-08 05:00:00,0.52,0.48,-0.0688,2007-03-08,05:00:00,bef
2006-12-12 05:00:00,0.79,0.61,-0.2295,2006-12-12,05:00:00,bef
2006-09-07 04:00:00,0.74,0.74,0.0023,2006-09-07,04:00:00,bef
2006-06-06 04:00:00,0.7,0.61,-0.1335,2006-06-06,04:00:00,bef
2006-03-07 05:00:00,0.64,0.49,-0.22829999999999998,2006-03-07,05:00:00,bef
2005-12-12 05:00:00,0.85,0.83,-0.0199,2005-12-12,05:00:00,bef
2005-09-07 04:00:00,0.85,0.87,0.0235,2005-09-07,04:00:00,bef
2005-06-07 04:00:00,0.74,0.81,0.102,2005-06-07,04:00:00,bef
2005-03-09 05:00:00,0.54,0.58,0.0684,2005-03-09,05:00:00,bef
2004-12-13 05:00:00,0.72,0.79,0.0998,2004-12-13,05:00:00,bef
2004-08-31 04:00:00,0.68,0.7,0.037000000000000005,2004-08-31,04:00:00,bef
2004-06-03 04:00:00,0.59,0.64,0.0802,2004-06-03,04:00:00,bef
2004-03-02 05:00:00,0.53,0.55,0.042699999999999995,2004-03-02,05:00:00,bef
2003-12-11 05:00:00,0.62,0.64,0.0364,2003-12-11,05:00:00,bef
2003-09-03 04:00:00,0.54,0.58,0.08410000000000001,2003-09-03,04:00:00,bef
2003-06-04 04:00:00,0.48,0.48,0.0084,2003-06-04,04:00:00,bef
2003-02-26 05:00:00,0.42,0.44,0.0518,2003-02-26,05:00:00,bef
2002-12-12 05:00:00,0.51,0.52,0.027999999999999997,2002-12-12,05:00:00,bef
2002-09-04 04:00:00,0.41,0.43,0.0386,2002-09-04,04:00:00,bef
2002-06-04 04:00:00,0.3,0.32,0.0526,2002-06-04,04:00:00,bef
2002-02-27 05:00:00,0.28,0.31,0.0971,2002-02-27,05:00:00,bef
2001-12-11 05:00:00,0.37,0.38,0.031000000000000003,2001-12-11,05:00:00,bef
2001-08-29 04:00:00,0.33,0.34,0.013200000000000002,2001-08-29,04:00:00,bef
2001-05-24 04:00:00,0.28,0.29,0.0201,2001-05-24,04:00:00,bef
2001-02-28 05:00:00,0.21,0.22,0.023799999999999998,2001-02-28,05:00:00,bef
2000-12-12 05:00:00,0.31,0.32,0.0096,2000-12-12,05:00:00,bef
2000-08-30 04:00:00,0.28,0.28,0.0182,2000-08-30,04:00:00,bef
2000-05-25 04:00:00,0.23,0.24,0.0181,2000-05-25,04:00:00,bef
2000-02-23 05:00:00,0.17,0.17,0.025099999999999997,2000-02-23,05:00:00,bef
1999-12-13 05:00:00,0.26,0.27,0.0232,1999-12-13,05:00:00,bef
1999-08-26 04:00:00,0.22,0.23,0.0337,1999-08-26,04:00:00,bef
1999-05-27 04:00:00,0.17,0.19,0.1176,1999-05-27,04:00:00,bef
1999-02-23 05:00:00,0.09,0.09,-0.027000000000000003,1999-02-23,05:00:00,bef
1998-12-14 05:00:00,0.34,0.35,0.0222,1998-12-14,05:00:00,bef
1998-08-26 04:00:00,0.3,0.33,0.1186,1998-08-26,04:00:00,bef
1998-05-27 04:00:00,0.25,0.28,0.1,1998-05-27,04:00:00,bef
1998-02-25 05:00:00,0.18,0.18,0.0286,1998-02-25,05:00:00,bef
1997-12-11 05:00:00,0.24,0.26,0.0625,1997-12-11,05:00:00,bef
1995-05-31 04:00:00,0.33,0.03,-0.9091,1995-05-31,04:00:00,bef
