Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 07:00:00,3.8,3.91,0.0279,2022-08-04,07:00:00,bef
2022-05-05 07:00:00,3.03,3.27,0.0796,2022-05-05,07:00:00,bef
2022-02-03 07:00:00,2.18,2.27,0.0394,2022-02-03,07:00:00,bef
2021-11-02 07:00:00,1.51,1.77,0.1761,2021-11-02,07:00:00,bef
2021-08-03 07:00:00,1.1,1.27,0.1545,2021-08-03,07:00:00,bef
2021-05-04 07:00:00,0.51,0.69,0.34500000000000003,2021-05-04,07:00:00,bef
2021-02-02 07:00:00,-0.28,-0.19,0.331,2021-02-02,07:00:00,bef
2020-10-29 07:00:00,-0.32,-0.31,0.0252,2020-10-29,07:00:00,bef
2020-07-30 07:00:00,-0.58,-0.92,-0.5972,2020-07-30,07:00:00,bef
2020-04-30 07:00:00,0.23,0.45,0.9565000000000001,2020-04-30,07:00:00,bef
2020-02-04 07:00:00,0.81,0.76,-0.0559,2020-02-04,07:00:00,bef
2019-10-29 07:00:00,0.73,0.82,0.1295,2019-10-29,07:00:00,bef
2019-07-30 07:00:00,1.03,1.01,-0.0232,2019-07-30,07:00:00,bef
2019-04-30 07:00:00,0.9,1.0,0.1099,2019-04-30,07:00:00,bef
2019-01-31 07:00:00,1.01,1.13,0.1233,2019-01-31,07:00:00,bef
2018-10-25 07:00:00,1.18,1.36,0.1545,2018-10-25,07:00:00,bef
2018-07-26 07:00:00,1.08,1.09,0.0055000000000000005,2018-07-26,07:00:00,bef
2018-04-26 07:00:00,0.73,0.96,0.31870000000000004,2018-04-26,07:00:00,bef
2017-10-26 07:00:00,0.08,0.16,0.9048,2017-10-26,07:00:00,bef
2017-07-27 07:00:00,-0.01,0.14,10.3333,2017-07-27,07:00:00,bef
2017-05-02 07:00:00,0.01,-0.02,-3.0,2017-05-02,07:00:00,bef
2017-02-02 07:00:00,-0.42,-0.26,0.37950000000000006,2017-02-02,07:00:00,bef
2016-10-27 07:00:00,-0.69,-0.66,0.0504,2016-10-27,07:00:00,bef
2016-07-28 07:00:00,-0.61,-0.79,-0.2908,2016-07-28,07:00:00,bef
2016-04-28 07:00:00,-1.05,-0.95,0.09179999999999999,2016-04-28,07:00:00,bef
2016-02-04 07:00:00,-0.65,-0.9,-0.391,2016-02-04,07:00:00,bef
2015-10-29 07:00:00,-0.37,-0.38,-0.013300000000000001,2015-10-29,07:00:00,bef
2015-07-30 07:00:00,0.04,0.07,1.0,2015-07-30,07:00:00,bef
2015-04-30 07:00:00,-0.19,-0.18,0.0576,2015-04-30,07:00:00,bef
2015-01-29 07:00:00,0.59,0.6,0.0256,2015-01-29,07:00:00,bef
2014-10-30 07:00:00,1.2,1.29,0.07769999999999999,2014-10-30,07:00:00,bef
2014-07-31 04:00:00,1.6,1.61,0.0068000000000000005,2014-07-31,04:00:00,bef
2014-05-01 04:00:00,1.56,1.81,0.163,2014-05-01,04:00:00,bef
2014-01-30 05:00:00,1.31,1.4,0.0694,2014-01-30,05:00:00,bef
2013-10-31 04:00:00,1.45,1.47,0.0116,2013-10-31,04:00:00,bef
2013-08-01 04:00:00,1.29,1.41,0.0928,2013-08-01,04:00:00,bef
2013-04-25 04:00:00,1.41,1.42,0.004,2013-04-25,04:00:00,bef
2013-01-30 05:00:00,1.42,1.43,0.0043,2013-01-30,05:00:00,bef
2012-10-25 04:00:00,1.19,1.44,0.2089,2012-10-25,04:00:00,bef
2012-07-25 04:00:00,1.17,1.22,0.04360000000000001,2012-07-25,04:00:00,bef
2012-04-23 04:00:00,2.08,2.02,-0.0308,2012-04-23,04:00:00,bef
2012-01-25 05:00:00,1.76,2.02,0.1462,2012-01-25,05:00:00,bef
2011-10-26 04:00:00,2.18,2.52,0.157,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,2.19,2.41,0.099,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,1.97,1.82,-0.07490000000000001,2011-04-27,04:00:00,bef
2011-01-26 05:00:00,1.32,1.32,0.0028000000000000004,2011-01-26,05:00:00,bef
2010-10-27 04:00:00,1.46,1.5,0.0309,2010-10-27,04:00:00,bef
2010-07-28 04:00:00,1.56,1.67,0.073,2010-07-28,04:00:00,bef
2010-04-29 04:00:00,1.38,1.47,0.06570000000000001,2010-04-29,04:00:00,bef
2010-01-27 05:00:00,1.12,1.16,0.0404,2010-01-27,05:00:00,bef
2009-10-28 04:00:00,0.94,1.0,0.0631,2009-10-28,04:00:00,bef
2009-07-29 04:00:00,0.85,0.97,0.14300000000000002,2009-07-29,04:00:00,bef
2009-04-23 04:00:00,0.4,0.52,0.31620000000000004,2009-04-23,04:00:00,bef
2009-01-28 05:00:00,1.21,1.28,0.055099999999999996,2009-01-28,05:00:00,bef
2008-10-22 04:00:00,3.06,3.32,0.0858,2008-10-22,04:00:00,bef
2008-07-23 04:00:00,3.45,3.49,0.0103,2008-07-23,04:00:00,bef
2008-04-24 04:00:00,2.42,2.52,0.0406,2008-04-24,04:00:00,bef
2008-01-23 05:00:00,2.38,2.48,0.0412,2008-01-23,05:00:00,bef
2007-10-24 04:00:00,2.17,1.94,-0.10740000000000001,2007-10-24,04:00:00,bef
2007-07-25 04:00:00,2.68,2.9,0.0804,2007-07-25,04:00:00,bef
2007-04-25 04:00:00,1.9,1.82,-0.0424,2007-04-25,04:00:00,bef
2007-01-24 05:00:00,1.95,2.1,0.07780000000000001,2007-01-24,05:00:00,bef
2006-10-25 04:00:00,2.4,2.68,0.11810000000000001,2006-10-25,04:00:00,bef
2006-07-26 04:00:00,2.81,2.87,0.0197,2006-07-26,04:00:00,bef
2006-04-26 04:00:00,2.34,2.34,0.0014000000000000002,2006-04-26,04:00:00,bef
2006-01-25 05:00:00,2.62,2.69,0.026400000000000003,2006-01-25,05:00:00,bef
2005-10-26 04:00:00,2.57,2.68,0.044800000000000006,2005-10-26,04:00:00,bef
2005-07-27 04:00:00,2.02,2.21,0.0941,2005-07-27,04:00:00,bef
2005-04-27 04:00:00,1.65,1.77,0.0714,2005-04-27,04:00:00,bef
2005-01-26 05:00:00,1.54,1.76,0.1418,2005-01-26,05:00:00,bef
2004-10-27 04:00:00,1.29,1.44,0.1151,2004-10-27,04:00:00,bef
2004-07-28 04:00:00,1.46,1.44,-0.0154,2004-07-28,04:00:00,bef
2004-04-28 04:00:00,1.0,1.16,0.1605,2004-04-28,04:00:00,bef
2004-01-28 05:00:00,0.71,0.72,0.0026000000000000003,2004-01-28,05:00:00,bef
2003-10-29 05:00:00,0.8,0.91,0.1434,2003-10-29,05:00:00,bef
2003-07-30 04:00:00,0.72,0.79,0.1008,2003-07-30,04:00:00,bef
2003-04-30 04:00:00,0.86,0.93,0.0792,2003-04-30,04:00:00,bef
2003-01-29 05:00:00,0.55,0.55,-0.005200000000000001,2003-01-29,05:00:00,bef
2002-10-24 04:00:00,0.47,0.47,-0.0027,2002-10-24,04:00:00,bef
2002-07-23 04:00:00,0.51,0.48,-0.0724,2002-07-23,04:00:00,bef
2002-04-25 04:00:00,-0.02,-0.01,0.5064,2002-04-25,04:00:00,bef
2002-01-24 05:00:00,0.34,0.3,-0.1408,2002-01-24,05:00:00,bef
2001-10-24 04:00:00,0.65,0.68,0.0409,2001-10-24,04:00:00,bef
2001-07-26 04:00:00,0.95,1.17,0.2238,2001-07-26,04:00:00,bef
2001-04-30 04:00:00,0.97,0.96,-0.0184,2001-04-30,04:00:00,bef
2001-01-25 05:00:00,1.12,1.36,0.2182,2001-01-25,05:00:00,bef
2000-10-26 04:00:00,0.74,0.98,0.3209,2000-10-26,04:00:00,bef
2000-07-27 04:00:00,0.79,0.87,0.09630000000000001,2000-07-27,04:00:00,bef
2000-04-27 04:00:00,0.52,0.53,0.0286,2000-04-27,04:00:00,bef
2000-01-24 05:00:00,0.38,0.42,0.10779999999999999,2000-01-24,05:00:00,bef
1999-10-28 04:00:00,0.36,0.4,0.1086,1999-10-28,04:00:00,bef
1999-07-27 04:00:00,0.21,0.23,0.1191,1999-07-27,04:00:00,bef
1998-10-22 04:00:00,0.16,0.13,-0.1863,1998-10-22,04:00:00,bef
1998-07-23 04:00:00,0.28,0.3,0.0631,1998-07-23,04:00:00,bef
1998-04-23 04:00:00,0.29,0.33,0.1253,1998-04-23,04:00:00,bef
1998-01-26 05:00:00,0.38,0.4,0.0379,1998-01-26,05:00:00,bef
1997-10-22 04:00:00,0.46,0.47,0.0292,1997-10-22,04:00:00,bef
1997-07-24 04:00:00,0.39,0.41,0.026000000000000002,1997-07-24,04:00:00,bef
1997-04-23 04:00:00,0.48,0.47,-0.0146,1997-04-23,04:00:00,bef
1997-01-23 05:00:00,0.49,0.48,-0.014199999999999999,1997-01-23,05:00:00,bef
1996-10-23 04:00:00,0.39,0.4,0.0169,1996-10-23,04:00:00,bef
1996-07-24 04:00:00,0.41,0.42,0.0196,1996-07-24,04:00:00,bef
1996-04-24 04:00:00,0.32,0.4,0.252,1996-04-24,04:00:00,bef
1996-01-24 05:00:00,0.25,0.25,0.0078000000000000005,1996-01-24,05:00:00,bef
1995-10-24 04:00:00,0.27,0.28,0.041100000000000005,1995-10-24,04:00:00,bef
1995-07-26 04:00:00,0.32,0.34,0.04820000000000001,1995-07-26,04:00:00,bef
1995-04-26 04:00:00,0.22,0.23,0.0509,1995-04-26,04:00:00,bef
1995-01-26 05:00:00,0.2,0.19,-0.09119999999999999,1995-01-26,05:00:00,bef
1994-10-25 04:00:00,0.18,0.27,0.4568,1994-10-25,04:00:00,bef
1994-07-26 04:00:00,0.14,0.12,-0.193,1994-07-26,04:00:00,bef
1994-04-26 04:00:00,0.11,0.18,0.5395000000000001,1994-04-26,04:00:00,bef
1994-01-28 05:00:00,0.07,0.08,0.0363,1994-01-28,05:00:00,bef
1993-10-26 04:00:00,0.14,0.11,-0.2625,1993-10-26,04:00:00,bef
1993-07-26 04:00:00,0.17,0.24,0.3682,1993-07-26,04:00:00,bef
1993-04-27 04:00:00,0.14,0.11,-0.19899999999999998,1993-04-27,04:00:00,bef
1993-01-28 05:00:00,0.18,0.24,0.3531,1993-01-28,05:00:00,bef
