Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-06-08 07:00:00,0.61,0.7,0.1401,2022-06-08,07:00:00,bef
2022-03-09 07:00:00,0.69,0.69,0.0015,2022-03-09,07:00:00,bef
2021-12-08 07:00:00,0.81,0.89,0.0974,2021-12-08,07:00:00,bef
2021-09-01 07:00:00,0.48,0.55,0.1555,2021-09-01,07:00:00,bef
2021-06-09 07:00:00,0.66,0.57,-0.13240000000000002,2021-06-09,07:00:00,bef
2021-03-10 07:00:00,0.84,0.84,0.0036,2021-03-10,07:00:00,bef
2020-12-09 07:00:00,0.91,1.02,0.12210000000000001,2020-12-09,07:00:00,bef
2020-09-03 07:00:00,0.6,0.63,0.0535,2020-09-03,07:00:00,bef
2020-06-03 07:00:00,0.75,0.83,0.1008,2020-06-03,07:00:00,bef
2020-03-04 07:00:00,0.66,0.72,0.0843,2020-03-04,07:00:00,bef
2019-12-04 07:00:00,0.71,0.78,0.09240000000000001,2019-12-04,07:00:00,bef
2019-08-30 07:00:00,0.41,0.5,0.2165,2019-08-30,07:00:00,bef
2019-06-05 07:00:00,0.47,0.56,0.189,2019-06-05,07:00:00,bef
2019-02-27 07:00:00,0.7,0.77,0.0953,2019-02-27,07:00:00,bef
2018-11-20 07:00:00,0.7,0.79,0.12539999999999998,2018-11-20,07:00:00,bef
2018-08-30 06:00:00,0.24,0.25,0.0288,2018-08-30,06:00:00,bef
2018-05-18 07:00:00,0.6,0.7,0.1589,2018-05-18,07:00:00,bef
2018-02-16 07:00:00,0.81,1.0,0.23149999999999998,2018-02-16,07:00:00,bef
2017-11-21 07:00:00,0.97,0.92,-0.048600000000000004,2017-11-21,07:00:00,bef
2017-08-31 07:00:00,0.55,0.52,-0.05280000000000001,2017-08-31,07:00:00,bef
2017-05-19 07:00:00,0.64,0.59,-0.0709,2017-05-19,07:00:00,bef
2017-02-17 07:00:00,0.88,0.91,0.0353,2017-02-17,07:00:00,bef
2016-11-22 07:00:00,0.95,1.0,0.055999999999999994,2016-11-22,07:00:00,bef
2016-09-01 07:00:00,0.5,0.46,-0.0782,2016-09-01,07:00:00,bef
2016-05-20 07:00:00,0.64,0.65,0.013999999999999999,2016-05-20,07:00:00,bef
2016-02-25 07:00:00,0.8,0.87,0.08750000000000001,2016-02-25,07:00:00,bef
2015-11-24 07:00:00,0.76,0.95,0.2566,2015-11-24,07:00:00,bef
2015-09-03 07:00:00,0.42,0.43,0.014199999999999999,2015-09-03,07:00:00,bef
2015-05-22 07:00:00,0.52,0.62,0.1923,2015-05-22,07:00:00,bef
2015-02-25 07:00:00,0.66,0.66,-0.0015,2015-02-25,07:00:00,bef
2014-11-25 07:00:00,0.72,0.74,0.0292,2014-11-25,07:00:00,bef
2014-09-08 07:00:00,0.49,0.49,-0.0061,2014-09-08,07:00:00,bef
2014-05-19 04:00:00,0.59,0.62,0.0493,2014-05-19,04:00:00,bef
2014-02-14 05:00:00,0.73,0.76,0.0463,2014-02-14,05:00:00,bef
2013-11-19 05:00:00,0.86,0.66,-0.23620000000000002,2013-11-19,05:00:00,bef
2013-08-29 04:00:00,0.42,0.45,0.0759,2013-08-29,04:00:00,bef
