Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-09-07 17:00:00,1.1,1.13,0.0282,2022-09-07,17:00:00,aft
2022-05-18 18:00:00,1.14,1.17,0.025400000000000002,2022-05-18,18:00:00,aft
2022-02-16 17:00:00,1.07,1.1,0.0242,2022-02-16,17:00:00,aft
2021-11-17 16:00:00,1.01,1.07,0.05940000000000001,2021-11-17,16:00:00,aft
2021-09-08 16:00:00,0.91,1.03,0.12689999999999999,2021-09-08,16:00:00,aft
2021-05-19 16:00:00,0.8,1.09,0.3625,2021-05-19,16:00:00,aft
2021-02-18 16:00:00,0.79,0.8,0.0076,2021-02-18,16:00:00,aft
2020-11-18 17:00:00,0.71,0.79,0.1142,2020-11-18,17:00:00,aft
2020-09-02 17:00:00,0.38,0.69,0.7968999999999999,2020-09-02,17:00:00,aft
2020-05-20 17:00:00,0.64,0.58,-0.0909,2020-05-20,17:00:00,aft
2020-02-19 17:00:00,0.66,0.65,-0.0152,2020-02-19,17:00:00,aft
2019-11-20 17:00:00,0.59,0.65,0.098,2019-11-20,17:00:00,aft
2019-09-04 17:00:00,0.58,0.6,0.0381,2019-09-04,17:00:00,aft
2019-05-22 17:00:00,0.62,0.66,0.06280000000000001,2019-05-22,17:00:00,aft
2019-02-20 18:00:00,0.51,0.52,0.0196,2019-02-20,18:00:00,aft
2018-11-20 17:00:00,0.47,0.47,0.0086,2018-11-20,17:00:00,aft
2018-09-19 09:00:00,0.48,0.42,-0.1286,2018-09-19,09:00:00,bef
2018-05-23 17:00:00,0.5,0.52,0.050499999999999996,2018-05-23,17:00:00,aft
2018-02-26 08:00:00,0.4,0.47,0.1634,2018-02-26,08:00:00,bef
2017-11-21 18:00:00,0.27,0.33,0.24059999999999998,2017-11-21,18:00:00,aft
2017-09-19 18:00:00,0.29,0.35,0.1945,2017-09-19,18:00:00,aft
2017-05-24 18:00:00,0.36,0.37,0.0221,2017-05-24,18:00:00,aft
2017-02-21 18:00:00,0.29,0.29,0.013999999999999999,2017-02-21,18:00:00,aft
2016-11-21 18:00:00,0.28,0.28,0.0326,2016-11-21,18:00:00,aft
2016-09-20 18:00:00,0.27,0.31,0.13140000000000002,2016-09-20,18:00:00,aft
2016-05-25 18:00:00,0.27,0.32,0.1808,2016-05-25,18:00:00,aft
2016-02-23 18:00:00,0.22,0.24,0.11630000000000001,2016-02-23,18:00:00,aft
2015-11-23 17:00:00,0.21,0.21,-0.0141,2015-11-23,17:00:00,aft
2015-09-22 16:00:00,0.19,0.21,0.0622,2015-09-22,16:00:00,aft
2015-05-27 18:00:00,0.25,0.22,-0.1093,2015-05-27,18:00:00,aft
2015-02-24 19:00:00,0.4,0.4,-0.0099,2015-02-24,19:00:00,aft
2014-11-24 18:00:00,0.37,0.4,0.0929,2014-11-24,18:00:00,aft
2014-09-23 12:00:00,0.41,0.39,-0.0441,2014-09-23,12:00:00,bef
2014-05-28 04:00:00,0.24,0.23,-0.0366,2014-05-28,04:00:00,bef
2014-02-25 05:00:00,0.18,0.18,-0.0483,2014-02-25,05:00:00,bef
2013-11-25 05:00:00,0.17,0.17,0.0033000000000000004,2013-11-25,05:00:00,bef
2013-09-24 04:00:00,0.2,0.16,-0.1933,2013-09-24,04:00:00,bef
2013-05-30 04:00:00,0.25,0.21,-0.1684,2013-05-30,04:00:00,bef
2013-02-27 05:00:00,0.18,0.19,0.052300000000000006,2013-02-27,05:00:00,bef
2012-11-27 05:00:00,0.18,0.18,0.0141,2012-11-27,05:00:00,bef
2012-09-25 04:00:00,0.17,0.18,0.047,2012-09-25,04:00:00,bef
