Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 16:00:00,0.55,4.54,7.2545,2022-07-28,16:00:00,aft
2022-04-28 16:00:00,0.43,0.76,0.7881999999999999,2022-04-28,16:00:00,aft
2022-02-03 16:00:00,0.46,0.37,-0.20260000000000003,2022-02-03,16:00:00,aft
2021-10-28 16:00:00,0.39,0.29,-0.2468,2021-10-28,16:00:00,aft
2021-07-29 16:00:00,0.35,0.3,-0.1354,2021-07-29,16:00:00,aft
2021-04-29 16:00:00,0.32,0.31,-0.0313,2021-04-29,16:00:00,aft
2021-02-04 16:00:00,0.34,0.29,-0.1545,2021-02-04,16:00:00,aft
2020-10-29 16:00:00,0.26,0.35,0.3462,2020-10-29,16:00:00,aft
2020-07-30 16:00:00,0.26,0.17,-0.3536,2020-07-30,16:00:00,aft
2020-05-07 16:00:00,0.46,0.43,-0.0591,2020-05-07,16:00:00,aft
2020-01-30 16:00:00,0.38,0.57,0.5,2020-01-30,16:00:00,aft
2019-10-31 16:00:00,0.44,0.44,-0.009000000000000001,2019-10-31,16:00:00,aft
2019-07-25 16:00:00,0.45,0.43,-0.0529,2019-07-25,16:00:00,aft
2019-05-02 16:00:00,0.42,0.4,-0.047599999999999996,2019-05-02,16:00:00,aft
2019-01-31 16:00:00,0.44,0.41,-0.0703,2019-01-31,16:00:00,aft
2018-10-25 16:00:00,0.42,0.4,-0.0361,2018-10-25,16:00:00,aft
2018-08-02 16:00:00,0.46,0.4,-0.1266,2018-08-02,16:00:00,aft
2018-05-03 17:00:00,0.45,0.41,-0.0949,2018-05-03,17:00:00,aft
2018-02-01 16:00:00,0.5,0.91,0.831,2018-02-01,16:00:00,aft
2017-10-26 16:00:00,0.42,0.38,-0.09519999999999999,2017-10-26,16:00:00,aft
2017-07-28 01:00:00,0.46,0.43,-0.057,2017-07-28,01:00:00,bef
2017-05-04 16:00:00,0.41,0.39,-0.055700000000000006,2017-05-04,16:00:00,aft
2017-02-07 16:00:00,0.39,0.45,0.1509,2017-02-07,16:00:00,aft
2016-10-27 16:00:00,0.56,3.21,4.7838,2016-10-27,16:00:00,aft
2016-07-28 17:00:00,0.73,4.94,5.8044,2016-07-28,17:00:00,aft
2016-04-28 16:00:00,0.49,0.46,-0.055400000000000005,2016-04-28,16:00:00,aft
2016-01-28 16:00:00,0.52,0.67,0.28850000000000003,2016-01-28,16:00:00,aft
2015-10-29 16:00:00,0.45,0.41,-0.08070000000000001,2015-10-29,16:00:00,aft
2015-07-30 16:00:00,0.42,0.4,-0.0499,2015-07-30,16:00:00,aft
2015-04-30 16:00:00,0.47,1.27,1.6906999999999999,2015-04-30,16:00:00,aft
2015-01-28 17:00:00,0.43,1.98,3.637,2015-01-28,17:00:00,aft
2014-10-30 16:00:00,0.44,0.43,-0.0227,2014-10-30,16:00:00,aft
2014-07-31 04:00:00,0.46,0.41,-0.1135,2014-07-31,04:00:00,bef
2014-05-06 04:00:00,0.46,0.45,-0.016399999999999998,2014-05-06,04:00:00,bef
2014-01-30 05:00:00,0.49,1.46,2.0103,2014-01-30,05:00:00,bef
2013-10-31 04:00:00,0.45,0.8,0.7719,2013-10-31,04:00:00,bef
2013-07-25 04:00:00,0.44,0.81,0.8621,2013-07-25,04:00:00,bef
2013-05-02 04:00:00,0.4,0.72,0.7828,2013-05-02,04:00:00,bef
2013-01-31 05:00:00,0.41,1.6,2.9188,2013-01-31,05:00:00,bef
2012-11-01 04:00:00,0.3,0.32,0.08470000000000001,2012-11-01,04:00:00,bef
2012-08-02 04:00:00,0.3,0.26,-0.1295,2012-08-02,04:00:00,bef
2012-04-27 04:00:00,0.25,0.22,-0.1149,2012-04-27,04:00:00,bef
2012-02-02 05:00:00,0.24,0.28,0.157,2012-02-02,05:00:00,bef
2011-11-03 04:00:00,0.18,0.16,-0.109,2011-11-03,04:00:00,bef
2011-07-28 04:00:00,-0.24,-0.23,0.0316,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,0.06,0.1,0.6129,2011-04-28,04:00:00,bef
2011-02-03 05:00:00,0.08,0.11,0.3447,2011-02-03,05:00:00,bef
2010-11-04 04:00:00,0.04,0.02,-0.46240000000000003,2010-11-04,04:00:00,bef
2010-05-06 04:00:00,0.05,0.03,-0.4474,2010-05-06,04:00:00,bef
2010-02-08 05:00:00,0.06,-1.19,-21.0,2010-02-08,05:00:00,bef
2009-10-29 04:00:00,0.05,0.06,0.2415,2009-10-29,04:00:00,bef
2009-07-30 04:00:00,0.07,0.3,3.3321,2009-07-30,04:00:00,bef
2009-04-28 04:00:00,0.08,0.11,0.3447,2009-04-28,04:00:00,bef
2009-02-09 05:00:00,-0.6,-0.63,-0.0559,2009-02-09,05:00:00,bef
2008-10-30 04:00:00,0.21,1.32,5.3614,2008-10-30,04:00:00,bef
2008-07-31 04:00:00,0.24,0.31,0.27399999999999997,2008-07-31,04:00:00,bef
2008-05-01 04:00:00,0.24,0.27,0.125,2008-05-01,04:00:00,bef
2008-02-07 05:00:00,0.21,1.41,5.7143,2008-02-07,05:00:00,bef
2007-08-02 04:00:00,0.25,0.71,1.8687,2007-08-02,04:00:00,bef
2007-04-26 04:00:00,0.24,0.22,-0.0959,2007-04-26,04:00:00,bef
2007-02-08 05:00:00,-0.05,0.19,4.8,2007-02-08,05:00:00,bef
2006-11-02 05:00:00,0.33,2.05,5.1654,2006-11-02,05:00:00,bef
2006-08-03 04:00:00,0.22,0.17,-0.23600000000000002,2006-08-03,04:00:00,bef
2006-05-04 04:00:00,0.14,0.2,0.3793,2006-05-04,04:00:00,bef
2005-10-27 04:00:00,0.11,-0.06,-1.5625,2005-10-27,04:00:00,bef
2005-08-01 04:00:00,0.12,0.39,2.25,2005-08-01,04:00:00,bef
2005-05-05 04:00:00,0.11,3.4,29.9091,2005-05-05,04:00:00,bef
2005-02-01 05:00:00,0.25,0.43,0.72,2005-02-01,05:00:00,bef
2004-11-04 05:00:00,0.14,0.14,-0.0345,2004-11-04,05:00:00,bef
2004-08-05 04:00:00,0.18,0.18,-0.0182,2004-08-05,04:00:00,bef
2004-05-06 04:00:00,0.18,0.22,0.20550000000000002,2004-05-06,04:00:00,bef
2004-02-05 05:00:00,0.2,0.22,0.1186,2004-02-05,05:00:00,bef
2003-07-29 04:00:00,0.12,0.14,0.16670000000000001,2003-07-29,04:00:00,bef
2003-05-01 04:00:00,0.16,0.2,0.25,2003-05-01,04:00:00,bef
2003-02-03 05:00:00,0.22,0.2,-0.0909,2003-02-03,05:00:00,bef
