Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-17 16:00:00,0.82,0.83,0.0172,2022-08-17,16:00:00,aft
2022-05-18 16:00:00,0.86,0.87,0.008100000000000001,2022-05-18,16:00:00,aft
2022-02-16 16:00:00,0.81,0.84,0.0396,2022-02-16,16:00:00,aft
2021-11-17 16:00:00,0.8,0.82,0.0199,2021-11-17,16:00:00,aft
2021-08-18 16:00:00,0.83,0.84,0.0182,2021-08-18,16:00:00,aft
2021-05-19 16:00:00,0.82,0.83,0.0122,2021-05-19,16:00:00,aft
2021-02-08 15:00:00,0.76,0.79,0.045,2021-02-08,15:00:00,bef
2020-11-12 16:00:00,0.7,0.76,0.0795,2020-11-12,16:00:00,aft
2020-08-12 16:00:00,0.74,0.8,0.084,2020-08-12,16:00:00,aft
2020-05-13 16:00:00,0.69,0.79,0.1416,2020-05-13,16:00:00,aft
2020-02-12 16:00:00,0.76,0.77,0.014499999999999999,2020-02-12,16:00:00,aft
2019-11-13 16:00:00,0.81,0.84,0.0409,2019-11-13,16:00:00,aft
2019-08-14 16:00:00,0.82,0.83,0.0172,2019-08-14,16:00:00,aft
2019-05-15 16:00:00,0.77,0.78,0.0078000000000000005,2019-05-15,16:00:00,aft
2019-02-13 16:00:00,0.72,0.73,0.0111,2019-02-13,16:00:00,aft
2018-11-14 16:00:00,0.72,0.75,0.046,2018-11-14,16:00:00,aft
2018-08-15 16:00:00,0.69,0.7,0.0189,2018-08-15,16:00:00,aft
2018-05-16 16:00:00,0.65,0.66,0.010700000000000001,2018-05-16,16:00:00,aft
2018-02-14 16:00:00,0.59,0.63,0.0678,2018-02-14,16:00:00,aft
2017-11-15 16:00:00,0.6,0.61,0.0167,2017-11-15,16:00:00,aft
2017-08-16 16:00:00,0.61,0.61,0.006600000000000001,2017-08-16,16:00:00,aft
2017-05-17 16:00:00,0.58,0.6,0.0381,2017-05-17,16:00:00,aft
2017-02-15 16:00:00,0.56,0.57,0.014199999999999999,2017-02-15,16:00:00,aft
2016-11-16 16:00:00,0.59,0.61,0.0304,2016-11-16,16:00:00,aft
2016-08-17 16:00:00,0.6,0.63,0.05,2016-08-17,16:00:00,aft
2016-05-18 16:00:00,0.55,0.57,0.0345,2016-05-18,16:00:00,aft
2016-02-10 16:00:00,0.54,0.57,0.059500000000000004,2016-02-10,16:00:00,aft
2015-11-12 16:00:00,0.56,0.59,0.048,2015-11-12,16:00:00,aft
2015-08-12 16:00:00,0.56,0.59,0.048,2015-08-12,16:00:00,aft
2015-05-13 16:00:00,0.53,0.54,0.024700000000000003,2015-05-13,16:00:00,aft
2015-02-11 16:00:00,0.51,0.53,0.0311,2015-02-11,16:00:00,aft
2014-11-12 16:00:00,0.53,0.54,0.0286,2014-11-12,16:00:00,aft
2014-08-13 16:00:00,0.53,0.55,0.0417,2014-08-13,16:00:00,aft
