Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-29 06:00:00,1.15,1.19,0.033,2022-08-29,06:00:00,bef
2022-05-03 06:00:00,0.94,1.04,0.11109999999999999,2022-05-03,06:00:00,bef
2022-02-01 07:00:00,0.83,0.9,0.0791,2022-02-01,07:00:00,bef
2021-11-02 07:00:00,0.65,0.71,0.09570000000000001,2021-11-02,07:00:00,bef
2021-08-30 07:00:00,1.03,1.16,0.1306,2021-08-30,07:00:00,bef
2021-05-04 06:00:00,0.74,0.82,0.1081,2021-05-04,06:00:00,bef
2021-02-02 07:00:00,0.55,0.63,0.13720000000000002,2021-02-02,07:00:00,bef
2020-11-03 07:00:00,0.37,0.43,0.1685,2020-11-03,07:00:00,bef
2020-08-31 07:00:00,0.79,0.9,0.1392,2020-08-31,07:00:00,bef
2020-05-05 07:00:00,0.48,0.5,0.0352,2020-05-05,07:00:00,bef
2020-02-03 07:00:00,0.44,0.45,0.0181,2020-02-03,07:00:00,bef
2019-11-05 08:00:00,0.24,0.26,0.07440000000000001,2019-11-05,08:00:00,bef
2019-08-27 07:00:00,0.65,0.7,0.0853,2019-08-27,07:00:00,bef
2019-05-07 07:00:00,0.46,0.49,0.0699,2019-05-07,07:00:00,bef
2019-02-05 07:00:00,0.37,0.45,0.2162,2019-02-05,07:00:00,bef
2018-11-06 08:00:00,0.28,0.28,-0.0141,2018-11-06,08:00:00,bef
2018-08-28 07:00:00,0.61,0.67,0.09480000000000001,2018-08-28,07:00:00,bef
2018-05-01 07:00:00,0.39,0.41,0.054000000000000006,2018-05-01,07:00:00,bef
2018-02-05 07:00:00,0.33,0.45,0.3514,2018-02-05,07:00:00,bef
2017-11-06 07:00:00,0.18,0.21,0.1932,2017-11-06,07:00:00,bef
2017-08-28 16:00:00,0.57,0.65,0.1404,2017-08-28,16:00:00,aft
2017-05-04 17:00:00,0.37,0.38,0.041100000000000005,2017-05-04,17:00:00,aft
2017-02-06 16:00:00,0.27,0.27,-0.011000000000000001,2017-02-06,16:00:00,aft
2016-11-07 16:00:00,0.14,0.16,0.1034,2016-11-07,16:00:00,aft
2016-08-29 16:00:00,0.53,0.52,-0.0189,2016-08-29,16:00:00,aft
2016-05-04 17:00:00,0.31,0.2,-0.35479999999999995,2016-05-04,17:00:00,aft
2016-02-09 16:00:00,0.34,0.36,0.0651,2016-02-09,16:00:00,aft
2015-11-03 16:00:00,0.21,0.16,-0.24170000000000003,2015-11-03,16:00:00,aft
2015-09-02 16:00:00,0.58,0.61,0.044500000000000005,2015-09-02,16:00:00,aft
2015-05-05 16:00:00,0.43,0.46,0.06730000000000001,2015-05-05,16:00:00,aft
2015-02-11 16:00:00,0.34,0.44,0.3095,2015-02-11,16:00:00,aft
2014-11-13 16:00:00,0.2,0.13,-0.35000000000000003,2014-11-13,16:00:00,aft
