Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,1.08,1.14,0.0526,2022-07-27,16:00:00,aft
2022-05-04 16:00:00,1.04,1.08,0.0405,2022-05-04,16:00:00,aft
2022-02-02 16:00:00,1.04,1.1,0.0567,2022-02-02,16:00:00,aft
2021-10-27 16:00:00,1.05,1.06,0.0124,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,0.96,0.99,0.0291,2021-07-28,16:00:00,aft
2021-05-05 16:00:00,0.94,0.97,0.034100000000000005,2021-05-05,16:00:00,aft
2021-02-03 16:00:00,0.9,0.67,-0.2539,2021-02-03,16:00:00,aft
2020-10-28 16:00:00,0.91,0.97,0.0718,2020-10-28,16:00:00,aft
2020-07-29 16:00:00,0.69,0.82,0.185,2020-07-29,16:00:00,aft
2020-05-07 16:00:00,0.92,0.96,0.039,2020-05-07,16:00:00,aft
2020-02-05 16:00:00,1.04,1.07,0.0279,2020-02-05,16:00:00,aft
2019-10-30 16:00:00,1.05,1.08,0.026600000000000002,2019-10-30,16:00:00,aft
2019-07-31 16:00:00,0.92,0.94,0.024,2019-07-31,16:00:00,aft
2019-05-02 16:00:00,1.04,0.91,-0.125,2019-05-02,16:00:00,aft
2019-02-06 07:00:00,1.07,1.13,0.06,2019-02-06,07:00:00,bef
2018-10-30 06:00:00,1.13,1.19,0.050300000000000004,2018-10-30,06:00:00,bef
2018-08-02 06:00:00,1.1,1.19,0.08380000000000001,2018-08-02,06:00:00,bef
2018-05-07 06:00:00,1.06,1.06,0.0028000000000000004,2018-05-07,06:00:00,bef
2018-02-07 06:00:00,0.97,1.03,0.0663,2018-02-07,06:00:00,bef
2017-11-01 06:00:00,0.96,0.98,0.0262,2017-11-01,06:00:00,bef
2017-08-03 06:00:00,0.91,0.93,0.0276,2017-08-03,06:00:00,bef
2017-05-05 06:00:00,0.83,0.84,0.0072,2017-05-05,06:00:00,bef
2017-02-08 06:00:00,0.86,0.87,0.0116,2017-02-08,06:00:00,bef
2016-11-07 06:00:00,0.84,0.86,0.025,2016-11-07,06:00:00,bef
2016-08-05 06:00:00,0.82,0.87,0.06620000000000001,2016-08-05,06:00:00,bef
2016-05-06 06:00:00,0.79,0.8,0.0165,2016-05-06,06:00:00,bef
2016-02-08 06:00:00,0.78,0.8,0.0309,2016-02-08,06:00:00,bef
2015-11-04 06:00:00,0.76,0.76,-0.0013000000000000002,2015-11-04,06:00:00,bef
2015-08-05 06:00:00,0.73,0.79,0.08220000000000001,2015-08-05,06:00:00,bef
2015-05-04 06:00:00,0.7,0.71,0.0216,2015-05-04,06:00:00,bef
2015-02-04 06:00:00,0.65,0.67,0.037200000000000004,2015-02-04,06:00:00,bef
2014-11-05 06:00:00,0.59,0.66,0.1149,2014-11-05,06:00:00,bef
2014-08-06 04:00:00,0.58,0.61,0.0524,2014-08-06,04:00:00,bef
2014-05-07 04:00:00,0.55,0.57,0.0429,2014-05-07,04:00:00,bef
2014-02-05 05:00:00,0.53,0.53,0.0001,2014-02-05,05:00:00,bef
2013-11-05 05:00:00,0.5,0.53,0.039700000000000006,2013-11-05,05:00:00,bef
2013-08-06 04:00:00,0.49,0.5,0.0174,2013-08-06,04:00:00,bef
2013-05-08 04:00:00,0.46,0.47,0.0005,2013-05-08,04:00:00,bef
