Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-29 06:00:00,5.1,5.82,0.14070000000000002,2022-07-29,06:00:00,bef
2022-04-29 06:00:00,3.27,3.36,0.026600000000000002,2022-04-29,06:00:00,bef
2022-01-28 06:00:00,3.12,2.56,-0.1795,2022-01-28,06:00:00,bef
2021-10-29 06:00:00,2.21,2.96,0.3406,2021-10-29,06:00:00,bef
2021-07-30 06:00:00,1.59,1.71,0.0782,2021-07-30,06:00:00,bef
2021-04-30 06:00:00,0.9,0.9,-0.0011,2021-04-30,06:00:00,bef
2021-01-29 06:00:00,0.07,-0.01,-1.1389,2021-01-29,06:00:00,bef
2020-10-30 06:00:00,-0.26,0.11,1.4183000000000001,2020-10-30,06:00:00,bef
2020-07-31 06:00:00,-0.88,-1.59,-0.8007,2020-07-31,06:00:00,bef
2020-05-01 06:00:00,0.68,1.29,0.8915000000000001,2020-05-01,06:00:00,bef
2020-01-31 08:00:00,1.45,1.49,0.028999999999999998,2020-01-31,08:00:00,bef
2019-11-01 08:00:00,1.45,1.55,0.06820000000000001,2019-11-01,08:00:00,bef
2019-08-02 08:00:00,1.8,1.77,-0.0188,2019-08-02,08:00:00,bef
2019-04-26 08:00:00,1.3,1.47,0.1273,2019-04-26,08:00:00,bef
2019-02-01 08:00:00,1.87,1.95,0.041100000000000005,2019-02-01,08:00:00,bef
2018-11-02 08:00:00,2.06,2.11,0.0223,2018-11-02,08:00:00,bef
2018-07-27 08:00:00,2.09,1.78,-0.14830000000000002,2018-07-27,08:00:00,bef
2018-04-27 08:00:00,1.48,1.9,0.2821,2018-04-27,08:00:00,bef
2018-02-02 08:00:00,1.22,0.72,-0.4098,2018-02-02,08:00:00,bef
2017-10-27 08:00:00,0.98,0.85,-0.1282,2017-10-27,08:00:00,bef
2017-07-28 08:00:00,0.86,0.91,0.0581,2017-07-28,08:00:00,bef
2017-04-28 08:00:00,0.86,1.23,0.4386,2017-04-28,08:00:00,bef
2017-01-27 08:00:00,0.64,0.21,-0.6708,2017-01-27,08:00:00,bef
2016-10-28 08:00:00,0.37,0.49,0.3102,2016-10-28,08:00:00,bef
2016-07-29 08:00:00,0.32,0.35,0.087,2016-07-29,08:00:00,bef
2016-04-29 08:00:00,-0.19,-0.11,0.43590000000000007,2016-04-29,08:00:00,bef
2016-01-29 08:00:00,0.47,0.26,-0.44920000000000004,2016-01-29,08:00:00,bef
2015-10-30 08:00:00,0.76,1.22,0.6116,2015-10-30,08:00:00,bef
2015-07-31 08:00:00,1.16,0.83,-0.2826,2015-07-31,08:00:00,bef
2015-05-01 08:00:00,0.79,1.07,0.3579,2015-05-01,08:00:00,bef
2015-01-30 08:00:00,1.63,1.85,0.1322,2015-01-30,08:00:00,bef
2014-10-31 08:00:00,2.55,2.95,0.1582,2014-10-31,08:00:00,bef
2014-08-01 04:00:00,2.66,2.98,0.1222,2014-08-01,04:00:00,bef
2014-05-02 04:00:00,2.51,2.36,-0.0613,2014-05-02,04:00:00,bef
2014-01-31 05:00:00,2.57,2.57,-0.0011,2014-01-31,05:00:00,bef
2013-11-01 04:00:00,2.71,2.57,-0.0525,2013-11-01,04:00:00,bef
2013-08-02 04:00:00,2.96,2.77,-0.0631,2013-08-02,04:00:00,bef
2013-04-26 04:00:00,3.08,3.18,0.0337,2013-04-26,04:00:00,bef
2013-02-01 05:00:00,3.03,3.27,0.0775,2013-02-01,05:00:00,bef
2012-11-02 04:00:00,2.83,2.57,-0.092,2012-11-02,04:00:00,bef
2012-07-27 04:00:00,3.24,3.56,0.1003,2012-07-27,04:00:00,bef
2012-04-27 04:00:00,3.26,3.17,-0.027200000000000002,2012-04-27,04:00:00,bef
2012-01-27 05:00:00,2.84,2.58,-0.0928,2012-01-27,05:00:00,bef
2011-10-28 04:00:00,3.48,3.92,0.127,2011-10-28,04:00:00,bef
2011-07-29 04:00:00,3.56,3.85,0.08,2011-07-29,04:00:00,bef
2011-04-29 04:00:00,3.01,3.09,0.025400000000000002,2011-04-29,04:00:00,bef
2011-01-28 05:00:00,2.41,2.44,0.0123,2011-01-28,05:00:00,bef
2010-10-29 04:00:00,2.15,1.87,-0.1292,2010-10-29,04:00:00,bef
2010-07-30 04:00:00,2.44,2.7,0.1085,2010-07-30,04:00:00,bef
2010-04-30 04:00:00,1.94,2.36,0.2172,2010-04-30,04:00:00,bef
2010-01-29 05:00:00,1.7,1.53,-0.0976,2010-01-29,05:00:00,bef
2009-10-30 04:00:00,1.47,1.72,0.16949999999999998,2009-10-30,04:00:00,bef
2009-07-31 04:00:00,0.95,0.87,-0.0883,2009-07-31,04:00:00,bef
2009-05-01 04:00:00,0.81,0.72,-0.1061,2009-05-01,04:00:00,bef
2009-01-30 05:00:00,1.81,2.13,0.1797,2009-01-30,05:00:00,bef
2008-10-31 04:00:00,3.25,3.85,0.18510000000000001,2008-10-31,04:00:00,bef
2008-08-01 04:00:00,3.03,2.9,-0.0421,2008-08-01,04:00:00,bef
2008-05-02 04:00:00,2.41,2.48,0.029500000000000002,2008-05-02,04:00:00,bef
2008-02-01 05:00:00,2.26,2.25,-0.0058,2008-02-01,05:00:00,bef
2007-11-02 04:00:00,2.07,1.97,-0.0466,2007-11-02,04:00:00,bef
2007-07-27 04:00:00,2.3,2.27,-0.013500000000000002,2007-07-27,04:00:00,bef
2007-04-27 04:00:00,1.67,1.86,0.11560000000000001,2007-04-27,04:00:00,bef
2007-02-02 05:00:00,1.73,1.74,0.0053,2007-02-02,05:00:00,bef
2006-10-27 04:00:00,2.03,2.29,0.1297,2006-10-27,04:00:00,bef
2006-07-28 04:00:00,2.21,2.1,-0.0504,2006-07-28,04:00:00,bef
2006-04-28 04:00:00,1.78,1.8,0.0121,2006-04-28,04:00:00,bef
2006-01-27 05:00:00,1.89,1.86,-0.015300000000000001,2006-01-27,05:00:00,bef
2005-10-28 04:00:00,1.91,1.64,-0.1392,2005-10-28,04:00:00,bef
2005-07-29 04:00:00,1.69,1.76,0.0432,2005-07-29,04:00:00,bef
2005-04-29 04:00:00,1.38,1.28,-0.0693,2005-04-29,04:00:00,bef
2005-01-28 05:00:00,1.4,1.56,0.1176,2005-01-28,05:00:00,bef
2004-10-29 04:00:00,1.37,1.28,-0.0654,2004-10-29,04:00:00,bef
2004-07-30 04:00:00,1.36,1.53,0.12300000000000001,2004-07-30,04:00:00,bef
2004-04-30 04:00:00,1.01,1.23,0.2188,2004-04-30,04:00:00,bef
2004-01-30 05:00:00,0.8,0.78,-0.027200000000000002,2004-01-30,05:00:00,bef
2003-10-31 05:00:00,0.81,0.92,0.1391,2003-10-31,05:00:00,bef
2003-08-01 04:00:00,0.76,0.81,0.0567,2003-08-01,04:00:00,bef
2003-05-02 04:00:00,0.91,1.01,0.12060000000000001,2003-05-02,04:00:00,bef
2003-01-31 05:00:00,0.64,0.5,-0.21660000000000001,2003-01-31,05:00:00,bef
2002-10-31 05:00:00,0.65,0.59,-0.09960000000000001,2002-10-31,05:00:00,bef
2002-07-30 04:00:00,0.69,0.58,-0.1557,2002-07-30,04:00:00,bef
2002-04-25 04:00:00,0.35,0.44,0.2524,2002-04-25,04:00:00,bef
2002-01-29 05:00:00,0.45,0.24,-0.4772,2002-01-29,05:00:00,bef
2001-10-25 04:00:00,0.73,0.93,0.2733,2001-10-25,04:00:00,bef
2001-07-24 04:00:00,1.03,1.08,0.0437,2001-07-24,04:00:00,bef
2001-04-25 04:00:00,1.09,1.25,0.14529999999999998,2001-04-25,04:00:00,bef
2001-01-24 05:00:00,1.1,1.2,0.08810000000000001,2001-01-24,05:00:00,bef
2000-10-24 04:00:00,0.72,1.26,0.7532,2000-10-24,04:00:00,bef
2000-07-25 04:00:00,0.86,0.88,0.0123,2000-07-25,04:00:00,bef
2000-04-26 04:00:00,0.73,0.85,0.16510000000000002,2000-04-26,04:00:00,bef
2000-01-25 05:00:00,0.61,0.62,0.0196,2000-01-25,05:00:00,bef
1999-10-25 04:00:00,0.51,0.54,0.04650000000000001,1999-10-25,04:00:00,bef
1999-07-23 04:00:00,0.35,0.37,0.028900000000000002,1999-07-23,04:00:00,bef
1999-04-22 04:00:00,0.25,0.22,-0.1507,1999-04-22,04:00:00,bef
1999-01-25 05:00:00,0.25,0.38,0.5435,1999-01-25,05:00:00,bef
1998-10-22 04:00:00,0.34,0.35,0.0302,1998-10-22,04:00:00,bef
1998-07-23 04:00:00,0.38,0.44,0.16399999999999998,1998-07-23,04:00:00,bef
1998-04-23 04:00:00,0.35,0.34,-0.053200000000000004,1998-04-23,04:00:00,bef
1998-01-22 05:00:00,0.49,0.61,0.23629999999999998,1998-01-22,05:00:00,bef
1997-10-22 04:00:00,0.52,0.56,0.0637,1997-10-22,04:00:00,bef
1997-07-23 04:00:00,0.54,0.63,0.1721,1997-07-23,04:00:00,bef
1997-04-23 04:00:00,0.55,0.62,0.12090000000000001,1997-04-23,04:00:00,bef
1997-01-24 05:00:00,0.49,0.53,0.0892,1997-01-24,05:00:00,bef
1996-10-21 04:00:00,0.48,0.5,0.0516,1996-10-21,04:00:00,bef
1996-07-22 04:00:00,0.5,0.54,0.0721,1996-07-22,04:00:00,bef
1996-04-22 04:00:00,0.41,0.47,0.14650000000000002,1996-04-22,04:00:00,bef
1996-01-24 05:00:00,0.32,0.35,0.062400000000000004,1996-01-24,05:00:00,bef
1995-10-24 04:00:00,0.39,0.39,-0.0198,1995-10-24,04:00:00,bef
1995-07-24 04:00:00,0.42,0.47,0.0978,1995-07-24,04:00:00,bef
1995-04-25 04:00:00,0.33,0.31,-0.0665,1995-04-25,04:00:00,bef
1995-01-24 05:00:00,0.35,0.38,0.09210000000000002,1995-01-24,05:00:00,bef
1994-10-25 04:00:00,0.32,0.32,-0.013600000000000001,1994-10-25,04:00:00,bef
1994-07-26 04:00:00,0.29,0.2,-0.3049,1994-07-26,04:00:00,bef
1994-04-26 04:00:00,0.34,0.33,-0.0351,1994-04-26,04:00:00,bef
1994-01-25 05:00:00,0.36,0.4,0.09789999999999999,1994-01-25,05:00:00,bef
1993-10-26 04:00:00,0.35,0.44,0.2262,1993-10-26,04:00:00,bef
1993-07-26 04:00:00,0.34,0.43,0.2768,1993-07-26,04:00:00,bef
1993-04-27 04:00:00,0.32,0.39,0.1857,1993-04-27,04:00:00,bef
1993-01-25 05:00:00,0.31,0.41,0.33,1993-01-25,05:00:00,bef
