Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-15 08:00:00,1.68,2.19,0.302,2022-07-15,08:00:00,bef
2022-04-14 08:00:00,1.55,2.02,0.3058,2022-04-14,08:00:00,bef
2022-01-14 07:00:00,1.38,1.46,0.0587,2022-01-14,07:00:00,bef
2021-10-14 07:00:00,1.65,2.15,0.3038,2021-10-14,07:00:00,bef
2021-07-14 07:00:00,1.96,2.85,0.4511,2021-07-14,07:00:00,bef
2021-04-15 07:00:00,2.6,3.62,0.39390000000000003,2021-04-15,07:00:00,bef
2021-01-15 07:00:00,1.34,2.08,0.5546,2021-01-15,07:00:00,bef
2020-10-13 08:00:00,0.93,1.4,0.5135000000000001,2020-10-13,08:00:00,bef
2020-07-14 07:00:00,0.28,0.5,0.7986,2020-07-14,07:00:00,bef
2020-04-15 07:00:00,1.04,1.05,0.005699999999999999,2020-04-15,07:00:00,bef
2020-01-14 07:00:00,1.84,2.15,0.1697,2020-01-14,07:00:00,bef
2019-10-15 07:00:00,1.95,2.07,0.061500000000000006,2019-10-15,07:00:00,bef
2019-07-15 07:00:00,1.81,1.95,0.0803,2019-07-15,07:00:00,bef
2019-04-15 07:00:00,1.8,1.87,0.0406,2019-04-15,07:00:00,bef
2019-01-14 07:00:00,1.55,1.61,0.0421,2019-01-14,07:00:00,bef
2018-10-12 08:00:00,1.69,1.73,0.0213,2018-10-12,08:00:00,bef
2018-07-13 08:00:00,1.56,1.63,0.046200000000000005,2018-07-13,08:00:00,bef
2018-04-13 07:00:00,1.61,1.68,0.0415,2018-04-13,07:00:00,bef
2018-01-16 07:00:00,1.19,1.28,0.07740000000000001,2018-01-16,07:00:00,bef
2017-10-12 07:00:00,1.32,1.42,0.0758,2017-10-12,07:00:00,bef
2017-07-14 07:00:00,1.21,1.28,0.0596,2017-07-14,07:00:00,bef
2017-04-13 07:00:00,1.24,1.35,0.0931,2017-04-13,07:00:00,bef
2017-01-18 07:00:00,1.12,1.14,0.0179,2017-01-18,07:00:00,bef
2016-10-14 08:00:00,1.16,1.24,0.0727,2016-10-14,08:00:00,bef
2016-07-15 07:00:00,1.1,1.24,0.13140000000000002,2016-07-15,07:00:00,bef
2016-04-15 07:00:00,1.03,1.1,0.069,2016-04-15,07:00:00,bef
2016-01-15 07:00:00,1.05,1.06,0.0095,2016-01-15,07:00:00,bef
2015-10-15 07:00:00,1.28,1.35,0.0563,2015-10-15,07:00:00,bef
2015-07-16 07:00:00,1.34,1.51,0.1235,2015-07-16,07:00:00,bef
2015-04-16 07:00:00,1.39,1.51,0.0848,2015-04-16,07:00:00,bef
2015-01-15 08:00:00,0.09,0.06,-0.3617,2015-01-15,08:00:00,bef
2014-10-14 07:00:00,1.12,1.15,0.0268,2014-10-14,07:00:00,bef
2014-07-14 04:00:00,1.05,1.24,0.17620000000000002,2014-07-14,04:00:00,bef
2014-04-14 04:00:00,1.14,1.3,0.1381,2014-04-14,04:00:00,bef
2014-01-16 05:00:00,0.95,0.82,-0.1374,2014-01-16,05:00:00,bef
2013-10-15 04:00:00,1.04,1.02,-0.023100000000000002,2013-10-15,04:00:00,bef
2013-07-15 04:00:00,1.17,1.25,0.06420000000000001,2013-07-15,04:00:00,bef
2013-04-15 04:00:00,1.17,1.29,0.10310000000000001,2013-04-15,04:00:00,bef
2013-01-17 05:00:00,0.96,0.69,-0.2839,2013-01-17,05:00:00,bef
2012-10-15 04:00:00,0.96,1.06,0.10619999999999999,2012-10-15,04:00:00,bef
2012-07-16 04:00:00,0.89,1.0,0.1253,2012-07-16,04:00:00,bef
2012-04-16 04:00:00,1.0,1.11,0.1115,2012-04-16,04:00:00,bef
