Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-13 06:00:00,1.73,1.44,-0.16570000000000001,2022-07-13,06:00:00,bef
2022-04-13 06:00:00,-1.27,-1.23,0.030699999999999998,2022-04-13,06:00:00,bef
2022-01-13 06:00:00,0.14,0.22,0.5942000000000001,2022-01-13,06:00:00,bef
2021-10-13 07:00:00,0.17,0.3,0.7964,2021-10-13,07:00:00,bef
2021-07-14 07:00:00,-1.38,-1.07,0.2274,2021-07-14,07:00:00,bef
2021-04-15 08:00:00,-3.17,-3.55,-0.1185,2021-04-15,08:00:00,bef
2021-01-14 07:00:00,-2.5,-2.53,-0.012,2021-01-14,07:00:00,bef
2020-10-13 08:00:00,-3.0,-3.3,-0.1011,2020-10-13,08:00:00,bef
2020-07-14 07:00:00,-4.07,-4.43,-0.0882,2020-07-14,07:00:00,bef
2020-04-22 07:00:00,-0.7,-0.51,0.2672,2020-04-22,07:00:00,bef
2020-01-14 07:00:00,1.4,1.7,0.21170000000000003,2020-01-14,07:00:00,bef
2019-10-10 07:00:00,2.26,2.32,0.0252,2019-10-10,07:00:00,bef
2019-07-11 07:00:00,2.29,2.35,0.028399999999999998,2019-07-11,07:00:00,bef
2019-04-10 07:00:00,0.9,0.96,0.0631,2019-04-10,07:00:00,bef
2019-01-15 07:00:00,1.27,1.3,0.0244,2019-01-15,07:00:00,bef
2018-10-11 07:00:00,1.74,1.8,0.032100000000000004,2018-10-11,07:00:00,bef
2018-07-12 07:00:00,1.72,1.77,0.0273,2018-07-12,07:00:00,bef
2018-04-12 07:00:00,0.73,0.74,0.0151,2018-04-12,07:00:00,bef
2018-01-11 07:00:00,0.88,0.96,0.0971,2018-01-11,07:00:00,bef
2017-10-11 07:00:00,1.53,1.57,0.0275,2017-10-11,07:00:00,bef
2017-07-13 07:00:00,1.67,1.64,-0.016200000000000003,2017-07-13,07:00:00,bef
2017-04-12 07:00:00,0.75,0.77,0.0336,2017-04-12,07:00:00,bef
2017-01-12 07:00:00,0.82,0.82,-0.0012,2017-01-12,07:00:00,bef
2016-10-13 07:00:00,1.65,1.7,0.0316,2016-10-13,07:00:00,bef
2016-07-14 07:00:00,1.42,1.47,0.0352,2016-07-14,07:00:00,bef
2016-04-14 07:00:00,1.3,1.32,0.0169,2016-04-14,07:00:00,bef
2016-01-19 07:00:00,1.19,1.18,-0.0067,2016-01-19,07:00:00,bef
2015-10-14 07:00:00,1.71,1.74,0.0169,2015-10-14,07:00:00,bef
2015-07-15 07:00:00,1.21,1.27,0.0496,2015-07-15,07:00:00,bef
2015-04-15 07:00:00,0.44,0.45,0.0204,2015-04-15,07:00:00,bef
2015-01-20 07:00:00,0.77,0.78,0.0143,2015-01-20,07:00:00,bef
2014-10-16 07:00:00,1.18,1.2,0.0204,2014-10-16,07:00:00,bef
2014-07-23 04:00:00,1.03,1.04,0.0051,2014-07-23,04:00:00,bef
2014-04-23 04:00:00,0.29,0.33,0.15109999999999998,2014-04-23,04:00:00,bef
2014-01-21 05:00:00,0.63,0.65,0.024100000000000003,2014-01-21,05:00:00,bef
2013-10-22 04:00:00,1.36,1.41,0.0351,2013-10-22,04:00:00,bef
2013-07-24 04:00:00,0.95,0.98,0.0352,2013-07-24,04:00:00,bef
2013-04-23 04:00:00,0.06,0.1,0.8034,2013-04-23,04:00:00,bef
2013-01-22 05:00:00,0.28,0.28,0.013600000000000001,2013-01-22,05:00:00,bef
2012-10-24 04:00:00,0.91,0.9,-0.0091,2012-10-24,04:00:00,bef
2012-07-25 04:00:00,0.68,0.69,0.0147,2012-07-25,04:00:00,bef
2012-04-25 04:00:00,-0.05,-0.05,-0.0144,2012-04-25,04:00:00,bef
2012-01-25 05:00:00,0.38,0.45,0.18420000000000003,2012-01-25,05:00:00,bef
2011-10-25 04:00:00,0.93,0.91,-0.0222,2011-10-25,04:00:00,bef
2011-07-27 04:00:00,0.44,0.43,-0.0322,2011-07-27,04:00:00,bef
2011-04-26 04:00:00,-0.5,-0.38,0.2443,2011-04-26,04:00:00,bef
2011-01-18 05:00:00,0.24,0.19,-0.1954,2011-01-18,05:00:00,bef
2010-10-20 04:00:00,0.94,1.1,0.16640000000000002,2010-10-20,04:00:00,bef
2010-07-19 04:00:00,0.64,0.65,0.0083,2010-07-19,04:00:00,bef
2010-04-20 04:00:00,-0.23,-0.23,-0.0147,2010-04-20,04:00:00,bef
2010-01-26 05:00:00,-0.24,-0.27,-0.1423,2010-01-26,05:00:00,bef
2009-10-22 04:00:00,-0.05,0.06,2.2693000000000003,2009-10-22,04:00:00,bef
2009-07-22 04:00:00,-0.29,-0.24,0.1809,2009-07-22,04:00:00,bef
2009-04-21 04:00:00,-1.01,-0.84,0.1663,2009-04-21,04:00:00,bef
