Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-19 06:00:00,6.69,6.16,-0.0788,2022-08-19,06:00:00,bef
2022-05-20 06:00:00,6.71,6.81,0.0154,2022-05-20,06:00:00,bef
2022-02-18 06:00:00,2.27,2.92,0.2892,2022-02-18,06:00:00,bef
2021-11-24 06:00:00,3.9,4.12,0.0567,2021-11-24,06:00:00,bef
2021-08-20 06:00:00,4.58,5.32,0.1608,2021-08-20,06:00:00,bef
2021-05-21 06:00:00,4.52,5.68,0.2572,2021-05-21,06:00:00,bef
2021-02-19 06:00:00,2.17,3.87,0.7875,2021-02-19,06:00:00,bef
2020-11-25 06:00:00,1.49,2.39,0.603,2020-11-25,06:00:00,bef
2020-08-21 06:00:00,1.26,2.57,1.0365,2020-08-21,06:00:00,bef
2020-05-22 06:00:00,1.62,2.11,0.3025,2020-05-22,06:00:00,bef
2020-02-21 06:00:00,1.25,1.63,0.303,2020-02-21,06:00:00,bef
2019-11-27 06:00:00,2.13,2.14,0.0042,2019-11-27,06:00:00,bef
2019-08-16 06:00:00,2.85,2.71,-0.0495,2019-08-16,06:00:00,bef
2019-05-17 06:00:00,3.62,3.52,-0.0263,2019-05-17,06:00:00,bef
2019-02-15 06:00:00,1.76,1.54,-0.12300000000000001,2019-02-15,06:00:00,bef
2018-11-21 06:00:00,2.45,2.3,-0.0605,2018-11-21,06:00:00,bef
2018-08-17 06:00:00,2.75,2.59,-0.0565,2018-08-17,06:00:00,bef
2018-05-18 06:00:00,3.31,3.14,-0.0525,2018-05-18,06:00:00,bef
2018-02-16 06:00:00,1.2,1.31,0.0935,2018-02-16,06:00:00,bef
2017-11-22 06:00:00,1.47,1.57,0.0688,2017-11-22,06:00:00,bef
2017-08-18 06:00:00,1.95,1.97,0.0097,2017-08-18,06:00:00,bef
2017-05-19 06:00:00,1.68,2.49,0.4857,2017-05-19,06:00:00,bef
2017-02-17 06:00:00,0.55,0.61,0.11720000000000001,2017-02-17,06:00:00,bef
2016-11-23 06:00:00,0.4,0.9,1.2388,2016-11-23,06:00:00,bef
2016-08-19 06:00:00,0.94,1.55,0.6437,2016-08-19,06:00:00,bef
2016-05-20 06:00:00,1.48,1.56,0.0576,2016-05-20,06:00:00,bef
2016-02-19 06:00:00,0.7,0.8,0.13640000000000002,2016-02-19,06:00:00,bef
2015-11-25 06:00:00,0.75,1.08,0.44770000000000004,2015-11-25,06:00:00,bef
2015-08-21 07:00:00,1.44,1.53,0.0632,2015-08-21,07:00:00,bef
