Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-20 17:00:00,3.79,3.96,0.046200000000000005,2022-07-20,17:00:00,aft
2022-04-27 16:00:00,3.62,4.22,0.16670000000000001,2022-04-27,16:00:00,aft
2022-01-19 16:00:00,3.68,3.64,-0.011899999999999999,2022-01-19,16:00:00,aft
2021-10-20 16:00:00,3.53,3.54,0.0028000000000000004,2021-10-20,16:00:00,aft
2021-07-21 16:00:00,3.99,5.55,0.39030000000000004,2021-07-21,16:00:00,aft
2021-04-21 16:00:00,2.82,5.04,0.7872,2021-04-21,16:00:00,aft
2021-01-20 16:00:00,2.42,2.59,0.0689,2021-01-20,16:00:00,aft
2020-10-21 16:00:00,1.56,2.45,0.5665,2020-10-21,16:00:00,aft
2020-07-22 16:00:00,-0.28,-1.2,-3.2105,2020-07-22,16:00:00,aft
2020-04-22 17:00:00,0.78,-0.25,-1.3193000000000001,2020-04-22,17:00:00,aft
2020-01-23 16:00:00,2.24,2.25,0.004,2020-01-23,16:00:00,aft
2019-10-22 16:00:00,2.28,2.36,0.0342,2019-10-22,16:00:00,aft
2019-07-23 16:00:00,2.11,2.32,0.098,2019-07-23,16:00:00,aft
2019-04-25 16:00:00,2.02,2.15,0.0644,2019-04-25,16:00:00,aft
2019-01-24 16:00:00,2.06,2.03,-0.013600000000000001,2019-01-24,16:00:00,aft
2018-10-25 16:00:00,2.05,2.05,-0.0019,2018-10-25,16:00:00,aft
2018-07-26 16:00:00,1.88,1.91,0.017,2018-07-26,16:00:00,aft
2018-04-26 16:00:00,1.77,1.82,0.0271,2018-04-26,16:00:00,aft
2018-01-24 16:00:00,1.54,1.51,-0.0195,2018-01-24,16:00:00,aft
2017-10-24 16:00:00,1.54,1.59,0.0318,2017-10-24,16:00:00,aft
2017-07-26 16:00:00,1.45,1.4,-0.0311,2017-07-26,16:00:00,aft
2017-04-25 16:00:00,1.44,1.43,-0.0034999999999999996,2017-04-25,16:00:00,aft
2017-01-24 16:00:00,1.38,1.4,0.016,2017-01-24,16:00:00,aft
2016-10-25 16:00:00,1.47,1.56,0.06269999999999999,2016-10-25,16:00:00,aft
2016-07-19 16:00:00,1.42,1.47,0.038900000000000004,2016-07-19,16:00:00,aft
2016-04-19 16:00:00,1.29,1.35,0.0449,2016-04-19,16:00:00,aft
2016-01-27 16:00:00,1.3,1.14,-0.1217,2016-01-27,16:00:00,aft
2015-10-20 16:00:00,1.33,1.38,0.0415,2015-10-20,16:00:00,aft
2015-07-22 16:00:00,1.32,1.33,0.011399999999999999,2015-07-22,16:00:00,aft
2015-04-21 16:00:00,1.27,1.28,0.0070999999999999995,2015-04-21,16:00:00,aft
2015-01-21 16:00:00,1.3,1.19,-0.0825,2015-01-21,16:00:00,aft
2014-10-21 16:00:00,1.34,1.37,0.0239,2014-10-21,16:00:00,aft
2014-07-22 04:00:00,1.3,1.35,0.0415,2014-07-22,04:00:00,bef
2014-04-22 04:00:00,1.25,1.31,0.0451,2014-04-22,04:00:00,bef
2014-01-23 05:00:00,1.18,1.23,0.0404,2014-01-23,05:00:00,bef
2013-10-21 04:00:00,1.21,1.2,-0.0116,2013-10-21,04:00:00,bef
2013-07-23 04:00:00,1.15,1.2,0.0405,2013-07-23,04:00:00,bef
2013-04-23 04:00:00,1.13,1.33,0.1819,2013-04-23,04:00:00,bef
2012-12-20 05:00:00,1.13,1.07,-0.0516,2012-12-20,05:00:00,bef
2012-09-27 04:00:00,1.03,1.21,0.17260000000000003,2012-09-27,04:00:00,bef
2012-06-19 04:00:00,1.0,1.0,-0.0037,2012-06-19,04:00:00,bef
2012-03-21 04:00:00,0.94,1.18,0.2593,2012-03-21,04:00:00,bef
2011-12-15 05:00:00,0.92,0.95,0.037700000000000004,2011-12-15,05:00:00,bef
2011-09-22 04:00:00,0.96,1.18,0.2348,2011-09-22,04:00:00,bef
2011-06-23 04:00:00,0.75,1.09,0.4507,2011-06-23,04:00:00,bef
2011-03-22 04:00:00,0.6,0.84,0.3995,2011-03-22,04:00:00,bef
2010-12-16 05:00:00,0.45,0.64,0.41369999999999996,2010-12-16,05:00:00,bef
2010-09-20 04:00:00,0.38,0.47,0.2504,2010-09-20,04:00:00,bef
2010-06-24 04:00:00,0.11,0.33,2.0556,2010-06-24,04:00:00,bef
2010-03-16 04:00:00,-0.08,-0.22,-1.6666999999999998,2010-03-16,04:00:00,bef
2009-12-17 05:00:00,0.14,0.12,-0.1709,2009-12-17,05:00:00,bef
2009-09-17 04:00:00,-0.11,0.52,5.5803,2009-09-17,04:00:00,bef
2009-06-18 04:00:00,-0.3,-0.18,0.4086,2009-06-18,04:00:00,bef
2009-03-19 04:00:00,-0.16,-0.36,-1.2830000000000001,2009-03-19,04:00:00,bef
2008-12-18 05:00:00,0.13,-0.19,-2.5036,2008-12-18,05:00:00,bef
2008-09-25 04:00:00,0.35,0.37,0.0599,2008-09-25,04:00:00,bef
2008-06-26 04:00:00,0.37,0.42,0.1351,2008-06-26,04:00:00,bef
2008-03-19 04:00:00,0.4,0.5,0.2658,2008-03-19,04:00:00,bef
2007-12-20 05:00:00,0.36,0.4,0.1086,2007-12-20,05:00:00,bef
2007-09-25 04:00:00,0.39,0.42,0.08810000000000001,2007-09-25,04:00:00,bef
2007-08-10 04:00:00,0.43,0.44,0.0233,2007-08-10,04:00:00,bef
