Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 06:00:00,2.29,2.36,0.029700000000000004,2022-07-21,06:00:00,bef
2022-04-21 06:00:00,2.98,3.22,0.0824,2022-04-21,06:00:00,bef
2022-02-03 06:00:00,3.18,3.33,0.045899999999999996,2022-02-03,06:00:00,bef
2021-10-21 06:00:00,2.88,3.96,0.3774,2021-10-21,06:00:00,bef
2021-07-22 06:00:00,2.87,3.18,0.1076,2021-07-22,06:00:00,bef
2021-04-22 06:00:00,3.71,3.76,0.013200000000000002,2021-04-22,06:00:00,bef
2021-02-04 06:00:00,4.24,4.48,0.056100000000000004,2021-02-04,06:00:00,bef
2020-10-22 06:00:00,3.73,4.31,0.1558,2020-10-22,06:00:00,bef
2020-07-23 06:00:00,1.41,1.42,0.0078000000000000005,2020-07-23,06:00:00,bef
2020-04-22 06:00:00,0.89,0.94,0.0526,2020-04-22,06:00:00,bef
2020-01-30 06:00:00,1.6,1.67,0.0418,2020-01-30,06:00:00,bef
2019-10-22 06:00:00,1.71,1.76,0.0286,2019-10-22,06:00:00,bef
2019-07-23 06:00:00,1.68,1.73,0.0316,2019-07-23,06:00:00,bef
2019-04-23 06:00:00,1.36,1.4,0.0271,2019-04-23,06:00:00,bef
2019-02-14 06:00:00,1.37,1.36,-0.0051,2019-02-14,06:00:00,bef
2018-10-23 07:00:00,1.68,1.68,0.0018,2018-10-23,07:00:00,bef
2018-07-24 06:00:00,1.76,1.75,-0.0034000000000000002,2018-07-24,06:00:00,bef
2018-04-19 07:00:00,1.49,1.52,0.0195,2018-04-19,07:00:00,bef
2018-02-01 08:00:00,1.38,1.4,0.0116,2018-02-01,08:00:00,bef
2017-10-19 06:00:00,1.35,1.39,0.0273,2017-10-19,06:00:00,bef
2017-07-25 06:00:00,1.42,1.55,0.0954,2017-07-25,06:00:00,bef
2017-04-20 06:00:00,1.18,1.33,0.1243,2017-04-20,06:00:00,bef
2017-01-26 06:00:00,1.27,1.31,0.029900000000000003,2017-01-26,06:00:00,bef
2016-10-20 06:00:00,1.35,1.37,0.013300000000000001,2016-10-20,06:00:00,bef
2016-07-21 06:00:00,1.32,1.34,0.0175,2016-07-21,06:00:00,bef
2016-04-21 06:00:00,1.12,1.12,0.0009,2016-04-21,06:00:00,bef
2016-01-28 06:00:00,1.19,1.19,0.0034000000000000002,2016-01-28,06:00:00,bef
2015-10-22 06:00:00,1.26,1.28,0.0159,2015-10-22,06:00:00,bef
2015-07-23 07:00:00,1.23,1.25,0.0163,2015-07-23,07:00:00,bef
2015-04-23 07:00:00,1.04,1.05,0.0125,2015-04-23,07:00:00,bef
2015-01-29 07:00:00,1.04,1.08,0.0365,2015-01-29,07:00:00,bef
2014-10-23 07:00:00,1.08,1.1,0.0233,2014-10-23,07:00:00,bef
2014-07-24 04:00:00,1.06,1.08,0.018500000000000003,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,0.88,0.84,-0.048600000000000004,2014-04-24,04:00:00,bef
2014-01-30 05:00:00,0.93,1.03,0.1061,2014-01-30,05:00:00,bef
2013-10-17 04:00:00,1.2,1.02,-0.14980000000000002,2013-10-17,04:00:00,bef
2013-07-18 04:00:00,1.09,1.06,-0.028300000000000002,2013-07-18,04:00:00,bef
2013-04-17 04:00:00,1.03,0.89,-0.1387,2013-04-17,04:00:00,bef
2013-01-23 05:00:00,1.02,1.01,-0.009000000000000001,2013-01-23,05:00:00,bef
2012-10-17 04:00:00,1.18,1.18,0.0007000000000000001,2012-10-17,04:00:00,bef
2012-07-19 04:00:00,1.17,1.17,-0.0015,2012-07-19,04:00:00,bef
2012-04-18 04:00:00,1.01,1.07,0.061399999999999996,2012-04-18,04:00:00,bef
2012-01-24 05:00:00,1.06,1.23,0.1617,2012-01-24,05:00:00,bef
2011-10-25 04:00:00,1.11,1.13,0.022000000000000002,2011-10-25,04:00:00,bef
2011-07-20 04:00:00,1.12,1.12,0.0011,2011-07-20,04:00:00,bef
2011-04-20 04:00:00,1.0,0.93,-0.0739,2011-04-20,04:00:00,bef
2011-01-25 05:00:00,0.91,0.98,0.0763,2011-01-25,05:00:00,bef
2010-10-20 04:00:00,1.0,1.05,0.049400000000000006,2010-10-20,04:00:00,bef
2010-07-21 04:00:00,1.06,1.07,0.0074,2010-07-21,04:00:00,bef
2010-04-21 04:00:00,0.98,0.95,-0.027700000000000002,2010-04-21,04:00:00,bef
2010-01-25 05:00:00,0.96,0.97,0.0092,2010-01-25,05:00:00,bef
2009-10-20 04:00:00,0.96,1.02,0.0625,2009-10-20,04:00:00,bef
2009-07-21 04:00:00,0.95,1.0,0.0536,2009-07-21,04:00:00,bef
2009-04-21 04:00:00,0.82,0.89,0.0876,2009-04-21,04:00:00,bef
2009-01-26 05:00:00,0.8,0.87,0.08960000000000001,2009-01-26,05:00:00,bef
2008-10-21 04:00:00,0.82,0.84,0.030699999999999998,2008-10-21,04:00:00,bef
2008-07-22 04:00:00,0.78,0.83,0.0679,2008-07-22,04:00:00,bef
