Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 06:00:00,4.49,4.67,0.0406,2022-07-21,06:00:00,bef
2022-04-26 06:00:00,3.37,4.03,0.19579999999999997,2022-04-26,06:00:00,bef
2022-02-02 06:00:00,2.79,3.17,0.1362,2022-02-02,06:00:00,bef
2021-11-09 06:00:00,3.4,3.7,0.0895,2021-11-09,06:00:00,bef
2021-07-22 06:00:00,2.81,3.06,0.0874,2021-07-22,06:00:00,bef
2021-04-22 06:00:00,2.15,2.53,0.174,2021-04-22,06:00:00,bef
2021-01-26 06:00:00,1.69,2.14,0.26780000000000004,2021-01-26,06:00:00,bef
2020-11-10 06:00:00,1.76,2.24,0.2756,2020-11-10,06:00:00,bef
2020-07-28 06:00:00,1.31,1.72,0.318,2020-07-28,06:00:00,bef
2020-04-28 06:00:00,1.12,1.3,0.1597,2020-04-28,06:00:00,bef
2020-01-27 06:00:00,0.92,1.16,0.2664,2020-01-27,06:00:00,bef
2019-11-12 06:00:00,1.25,1.35,0.08,2019-11-12,06:00:00,bef
2019-07-30 06:00:00,1.07,1.26,0.1809,2019-07-30,06:00:00,bef
2019-04-25 06:00:00,0.86,0.93,0.0789,2019-04-25,06:00:00,bef
2019-01-25 06:00:00,0.78,0.76,-0.0294,2019-01-25,06:00:00,bef
2018-11-08 06:00:00,1.22,1.22,-0.0025,2018-11-08,06:00:00,bef
2018-07-26 05:00:00,1.08,1.18,0.0936,2018-07-26,05:00:00,bef
2018-04-26 06:00:00,0.85,0.91,0.06559999999999999,2018-04-26,06:00:00,bef
2018-01-31 06:00:00,0.49,0.49,-0.002,2018-01-31,06:00:00,bef
2017-11-09 06:00:00,0.81,0.82,0.0111,2017-11-09,06:00:00,bef
2017-07-26 06:00:00,0.75,0.76,0.009300000000000001,2017-07-26,06:00:00,bef
2017-04-20 06:00:00,0.59,0.6,0.0152,2017-04-20,06:00:00,bef
2017-01-24 06:00:00,0.48,0.55,0.15789999999999998,2017-01-24,06:00:00,bef
2016-11-08 06:00:00,0.77,0.76,-0.015500000000000002,2016-11-08,06:00:00,bef
2016-07-21 06:00:00,0.66,0.66,0.0061,2016-07-21,06:00:00,bef
2016-04-21 06:00:00,0.47,0.52,0.11109999999999999,2016-04-21,06:00:00,bef
2016-01-25 07:00:00,0.41,0.42,0.0244,2016-01-25,07:00:00,bef
2015-11-10 06:00:00,0.62,0.61,-0.0209,2015-11-10,06:00:00,bef
2015-07-28 07:00:00,0.5,0.6,0.2024,2015-07-28,07:00:00,bef
2015-04-22 07:00:00,0.38,0.4,0.0444,2015-04-22,07:00:00,bef
2015-01-26 07:00:00,0.34,0.39,0.1437,2015-01-26,07:00:00,bef
2014-11-11 07:00:00,0.48,0.45,-0.0683,2014-11-11,07:00:00,bef
2014-07-24 04:00:00,0.49,0.32,-0.3469,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,0.34,0.38,0.1293,2014-04-24,04:00:00,bef
2014-01-28 05:00:00,0.29,0.36,0.22260000000000002,2014-01-28,05:00:00,bef
2013-11-12 05:00:00,0.4,0.4,-0.0005,2013-11-12,05:00:00,bef
2013-07-25 04:00:00,0.34,0.42,0.24190000000000003,2013-07-25,04:00:00,bef
2013-04-26 04:00:00,0.19,0.32,0.658,2013-04-26,04:00:00,bef
2013-01-29 05:00:00,0.14,0.2,0.4286,2013-01-29,05:00:00,bef
2012-11-12 05:00:00,0.28,0.3,0.0862,2012-11-12,05:00:00,bef
2012-07-27 04:00:00,0.2,0.23,0.1583,2012-07-27,04:00:00,bef
2012-04-23 04:00:00,0.04,0.13,2.3644,2012-04-23,04:00:00,bef
2012-01-27 05:00:00,0.04,0.09,1.0623,2012-01-27,05:00:00,bef
2011-11-11 05:00:00,0.14,0.11,-0.22440000000000002,2011-11-11,05:00:00,bef
2011-07-28 04:00:00,0.05,0.09,0.6514,2011-07-28,04:00:00,bef
2011-04-29 04:00:00,-0.05,0.09,2.875,2011-04-29,04:00:00,bef
2011-01-27 05:00:00,-0.03,-0.06,-1.298,2011-01-27,05:00:00,bef
2010-11-12 05:00:00,-0.04,-0.03,0.29410000000000003,2010-11-12,05:00:00,bef
2010-08-03 04:00:00,0.16,0.16,-0.0184,2010-08-03,04:00:00,bef
2010-04-30 04:00:00,-0.01,0.04,5.2105,2010-04-30,04:00:00,bef
2010-02-02 05:00:00,-0.13,0.56,5.198200000000001,2010-02-02,05:00:00,bef
2009-11-20 05:00:00,-0.3,-0.73,-1.4343000000000001,2009-11-20,05:00:00,bef
2009-08-04 04:00:00,-0.23,-0.45,-0.9669,2009-08-04,04:00:00,bef
2009-05-04 04:00:00,-0.3,-0.34,-0.1482,2009-05-04,04:00:00,bef
2009-02-03 05:00:00,-0.52,-0.2,0.6185,2009-02-03,05:00:00,bef
2008-11-25 05:00:00,-1.88,-2.53,-0.34700000000000003,2008-11-25,05:00:00,bef
2008-08-05 04:00:00,-0.7,-1.26,-0.804,2008-08-05,04:00:00,bef
