Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 16:00:00,0.29,0.19,-0.33799999999999997,2022-07-28,16:00:00,aft
2022-04-28 16:00:00,0.28,0.22,-0.2029,2022-04-28,16:00:00,aft
2022-02-17 16:00:00,0.33,3.71,10.2085,2022-02-17,16:00:00,aft
2021-10-26 16:00:00,0.25,0.44,0.7742,2021-10-26,16:00:00,aft
2021-07-29 16:00:00,0.23,0.45,0.9912000000000001,2021-07-29,16:00:00,aft
2021-04-29 16:00:00,0.29,1.32,3.5833,2021-04-29,16:00:00,aft
2021-02-11 16:00:00,0.26,0.16,-0.3846,2021-02-11,16:00:00,aft
2020-10-29 16:00:00,0.27,-0.14,-1.5263,2020-10-29,16:00:00,aft
2020-07-30 16:00:00,0.36,0.2,-0.4366,2020-07-30,16:00:00,aft
2020-05-07 16:00:00,0.46,0.9,0.9438,2020-05-07,16:00:00,aft
2020-02-13 16:00:00,0.73,1.5,1.0464,2020-02-13,16:00:00,aft
2019-10-29 16:00:00,0.29,0.24,-0.1809,2019-10-29,16:00:00,aft
2019-07-30 16:00:00,0.27,0.15,-0.45049999999999996,2019-07-30,16:00:00,aft
2019-04-25 16:00:00,0.27,0.46,0.7037000000000001,2019-04-25,16:00:00,aft
2019-02-05 16:00:00,0.29,0.15,-0.4792,2019-02-05,16:00:00,aft
2018-10-25 16:00:00,0.27,0.33,0.2313,2018-10-25,16:00:00,aft
2018-07-26 16:00:00,0.28,0.32,0.1348,2018-07-26,16:00:00,aft
2018-04-26 16:00:00,0.35,0.42,0.20690000000000003,2018-04-26,16:00:00,aft
2018-02-15 16:00:00,0.42,0.26,-0.375,2018-02-15,16:00:00,aft
2017-10-25 16:00:00,0.38,-0.02,-1.0528,2017-10-25,16:00:00,aft
2017-07-27 16:00:00,0.39,0.36,-0.08630000000000002,2017-07-27,16:00:00,aft
2017-04-27 16:00:00,0.38,0.41,0.0761,2017-04-27,16:00:00,aft
2017-02-16 16:00:00,0.31,0.49,0.5909000000000001,2017-02-16,16:00:00,aft
2016-10-27 16:00:00,0.3,1.25,3.1527999999999996,2016-10-27,16:00:00,aft
2016-07-28 16:00:00,0.25,0.19,-0.249,2016-07-28,16:00:00,aft
2016-04-28 16:00:00,0.22,0.27,0.24420000000000003,2016-04-28,16:00:00,aft
2016-02-25 16:00:00,0.12,-0.28,-3.4138,2016-02-25,16:00:00,aft
2015-10-29 16:00:00,0.29,0.28,-0.0378,2015-10-29,16:00:00,aft
2015-07-30 16:00:00,0.29,0.86,1.9861000000000002,2015-07-30,16:00:00,aft
2015-05-05 16:00:00,0.27,0.75,1.7778,2015-05-05,16:00:00,aft
2015-02-12 16:00:00,0.27,-0.48,-2.7582,2015-02-12,16:00:00,aft
2014-10-28 16:00:00,0.28,0.8,1.807,2014-10-28,16:00:00,aft
2014-07-29 04:00:00,0.28,0.19,-0.327,2014-07-29,04:00:00,bef
2014-05-06 04:00:00,0.24,0.26,0.0637,2014-05-06,04:00:00,bef
2014-02-24 05:00:00,0.24,0.33,0.40090000000000003,2014-02-24,05:00:00,bef
2013-10-29 04:00:00,0.34,0.21,-0.38020000000000004,2013-10-29,04:00:00,bef
2013-07-26 04:00:00,0.35,0.33,-0.0506,2013-07-26,04:00:00,bef
2013-04-26 04:00:00,0.36,0.34,-0.042300000000000004,2013-04-26,04:00:00,bef
2013-02-15 05:00:00,0.39,0.36,-0.0801,2013-02-15,05:00:00,bef
2012-10-26 04:00:00,0.19,0.37,0.9904000000000001,2012-10-26,04:00:00,bef
2012-07-25 04:00:00,0.37,0.38,0.0245,2012-07-25,04:00:00,bef
2012-04-26 04:00:00,0.36,0.36,0.0096,2012-04-26,04:00:00,bef
2012-02-17 05:00:00,0.3,0.34,0.1329,2012-02-17,05:00:00,bef
2011-10-27 04:00:00,0.31,0.31,0.0158,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,0.29,0.33,0.12560000000000002,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,0.21,0.33,0.5733,2011-04-28,04:00:00,bef
2011-02-18 05:00:00,0.22,0.27,0.23850000000000002,2011-02-18,05:00:00,bef
2010-11-04 04:00:00,0.15,0.11,-0.2683,2010-11-04,04:00:00,bef
2010-07-23 04:00:00,0.25,0.11,-0.5547,2010-07-23,04:00:00,bef
2010-04-29 04:00:00,0.21,0.18,-0.1429,2010-04-29,04:00:00,bef
2010-02-25 05:00:00,0.23,0.18,-0.21739999999999998,2010-02-25,05:00:00,bef
2009-10-29 04:00:00,0.13,0.16,0.1985,2009-10-29,04:00:00,bef
2009-07-30 04:00:00,0.11,0.13,0.19820000000000002,2009-07-30,04:00:00,bef
2009-04-28 04:00:00,0.1,0.14,0.43340000000000006,2009-04-28,04:00:00,bef
2009-02-26 05:00:00,0.14,0.2,0.46340000000000003,2009-02-26,05:00:00,bef
2008-11-05 05:00:00,0.1,0.11,0.0646,2008-11-05,05:00:00,bef
2008-08-06 04:00:00,0.06,0.05,-0.16670000000000001,2008-08-06,04:00:00,bef
2007-08-07 04:00:00,0.09,0.04,-0.5556,2007-08-07,04:00:00,bef
2007-05-08 04:00:00,0.1,0.32,2.2,2007-05-08,04:00:00,bef
2007-02-27 05:00:00,-0.06,0.06,2.0,2007-02-27,05:00:00,bef
2006-11-06 05:00:00,0.07,0.3,3.2857,2006-11-06,05:00:00,bef
