Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-25 07:00:00,1.59,1.6,0.0063,2022-08-25,07:00:00,bef
2022-05-26 07:00:00,2.0,2.37,0.1832,2022-05-26,07:00:00,bef
2022-03-02 07:00:00,1.77,2.01,0.135,2022-03-02,07:00:00,bef
2021-11-23 07:00:00,0.96,0.96,0.0042,2021-11-23,07:00:00,bef
2021-08-26 07:00:00,1.0,1.23,0.2263,2021-08-26,07:00:00,bef
2021-05-27 07:00:00,1.4,1.6,0.1429,2021-05-27,07:00:00,bef
2021-03-03 07:00:00,2.11,2.13,0.010900000000000002,2021-03-03,07:00:00,bef
2020-11-24 07:00:00,1.15,1.39,0.2045,2020-11-24,07:00:00,bef
2020-08-27 07:00:00,0.92,1.1,0.197,2020-08-27,07:00:00,bef
2020-05-28 07:00:00,0.85,1.04,0.2279,2020-05-28,07:00:00,bef
2020-03-04 07:00:00,1.75,1.79,0.020499999999999997,2020-03-04,07:00:00,bef
2019-11-26 07:00:00,1.13,1.08,-0.0409,2019-11-26,07:00:00,bef
2019-08-29 07:00:00,0.81,0.76,-0.0663,2019-08-29,07:00:00,bef
2019-03-06 07:00:00,1.93,1.93,0.0026000000000000003,2019-03-06,07:00:00,bef
2018-11-29 07:00:00,1.14,1.18,0.0342,2018-11-29,07:00:00,bef
2018-08-30 07:00:00,1.16,1.15,-0.0043,2018-08-30,07:00:00,bef
2018-05-31 07:00:00,1.23,1.19,-0.034100000000000005,2018-05-31,07:00:00,bef
2018-03-07 07:00:00,1.9,1.89,-0.0032,2018-03-07,07:00:00,bef
2017-11-21 07:00:00,0.9,1.01,0.1235,2017-11-21,07:00:00,bef
2017-08-24 07:00:00,0.87,0.99,0.1366,2017-08-24,07:00:00,bef
2017-05-25 07:00:00,0.98,0.98,-0.0040999999999999995,2017-05-25,07:00:00,bef
2017-03-01 07:00:00,1.32,1.36,0.0326,2017-03-01,07:00:00,bef
2016-11-22 07:00:00,0.78,0.72,-0.0816,2016-11-22,07:00:00,bef
2016-08-25 07:00:00,0.73,0.72,-0.015,2016-08-25,07:00:00,bef
2016-05-26 07:00:00,0.81,0.98,0.20690000000000003,2016-05-26,07:00:00,bef
2016-03-01 07:00:00,1.07,1.01,-0.0534,2016-03-01,07:00:00,bef
2015-11-24 07:00:00,0.53,0.49,-0.0702,2015-11-24,07:00:00,bef
2015-09-01 07:00:00,0.65,0.25,-0.6177,2015-09-01,07:00:00,bef
2015-05-21 07:00:00,0.75,0.71,-0.047,2015-05-21,07:00:00,bef
2015-02-25 07:00:00,1.15,1.16,0.0131,2015-02-25,07:00:00,bef
2014-11-20 07:00:00,0.64,0.69,0.0731,2014-11-20,07:00:00,bef
2014-08-21 07:00:00,0.64,0.61,-0.0409,2014-08-21,07:00:00,bef
2014-05-22 04:00:00,0.66,0.67,0.0086,2014-05-22,04:00:00,bef
2014-02-26 05:00:00,1.05,1.02,-0.029700000000000004,2014-02-26,05:00:00,bef
2013-11-21 05:00:00,0.6,0.58,-0.0285,2013-11-21,05:00:00,bef
2013-08-22 04:00:00,0.57,0.56,-0.0221,2013-08-22,04:00:00,bef
2013-05-23 04:00:00,0.57,0.59,0.031200000000000002,2013-05-23,04:00:00,bef
2013-02-27 05:00:00,0.99,1.01,0.0223,2013-02-27,05:00:00,bef
2012-11-15 05:00:00,0.49,0.51,0.0417,2012-11-15,05:00:00,bef
2012-08-16 04:00:00,0.47,0.51,0.08800000000000001,2012-08-16,04:00:00,bef
2012-05-17 04:00:00,0.49,0.5,0.0248,2012-05-17,04:00:00,bef
2012-02-22 05:00:00,0.79,0.8,0.0097,2012-02-22,05:00:00,bef
2011-11-17 05:00:00,0.42,0.44,0.046900000000000004,2011-11-17,05:00:00,bef
2011-08-18 04:00:00,0.38,0.39,0.0234,2011-08-18,04:00:00,bef
2011-05-19 04:00:00,0.37,0.41,0.095,2011-05-19,04:00:00,bef
2011-02-23 05:00:00,0.63,0.65,0.0183,2011-02-23,05:00:00,bef
2010-11-18 05:00:00,0.31,0.37,0.174,2010-11-18,05:00:00,bef
2010-08-19 04:00:00,0.27,0.31,0.122,2010-08-19,04:00:00,bef
2010-05-20 04:00:00,0.28,0.31,0.0959,2010-05-20,04:00:00,bef
2010-02-24 05:00:00,0.48,0.51,0.0588,2010-02-24,05:00:00,bef
2009-11-24 05:00:00,0.22,0.25,0.1495,2009-11-24,05:00:00,bef
2009-08-26 04:00:00,0.18,0.21,0.1754,2009-08-26,04:00:00,bef
2009-05-27 04:00:00,0.2,0.22,0.0958,2009-05-27,04:00:00,bef
2009-02-25 05:00:00,0.38,0.38,0.0184,2009-02-25,05:00:00,bef
2008-11-25 05:00:00,0.15,0.16,0.06620000000000001,2008-11-25,05:00:00,bef
2008-08-27 04:00:00,0.14,0.14,0.0244,2008-08-27,04:00:00,bef
2008-05-28 04:00:00,0.14,0.16,0.1468,2008-05-28,04:00:00,bef
2008-02-27 05:00:00,0.34,0.35,0.024700000000000003,2008-02-27,05:00:00,bef
2007-11-28 05:00:00,0.12,0.13,0.0326,2007-11-28,05:00:00,bef
2007-08-29 04:00:00,0.11,0.11,0.005699999999999999,2007-08-29,04:00:00,bef
2007-05-30 04:00:00,0.12,0.13,0.0383,2007-05-30,04:00:00,bef
2007-02-28 05:00:00,0.31,0.32,0.0198,2007-02-28,05:00:00,bef
2006-11-21 05:00:00,0.11,0.11,0.0024,2006-11-21,05:00:00,bef
2006-08-23 04:00:00,0.09,0.09,0.0345,2006-08-23,04:00:00,bef
2006-05-24 04:00:00,0.1,0.1,0.0211,2006-05-24,04:00:00,bef
2006-02-22 05:00:00,0.27,0.27,0.0053,2006-02-22,05:00:00,bef
2005-11-22 05:00:00,0.09,0.1,0.09150000000000001,2005-11-22,05:00:00,bef
2005-08-24 04:00:00,0.08,0.08,0.0023,2005-08-24,04:00:00,bef
2005-05-25 04:00:00,0.09,0.09,0.0174,2005-05-25,04:00:00,bef
2005-02-23 05:00:00,0.26,0.26,0.0070999999999999995,2005-02-23,05:00:00,bef
2004-11-23 05:00:00,0.09,0.09,-0.0019,2004-11-23,05:00:00,bef
2004-08-25 04:00:00,0.09,0.09,-0.002,2004-08-25,04:00:00,bef
2004-05-26 04:00:00,0.1,0.1,0.073,2004-05-26,04:00:00,bef
2004-02-24 05:00:00,0.23,0.23,-0.0023,2004-02-24,05:00:00,bef
2003-08-26 04:00:00,0.08,0.08,0.0233,2003-08-26,04:00:00,bef
2003-05-29 04:00:00,0.09,0.1,0.0681,2003-05-29,04:00:00,bef
2001-01-23 05:00:00,0.19,0.19,-0.013000000000000001,2001-01-23,05:00:00,bef
