Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,1.07,1.14,0.0684,2022-08-04,06:00:00,bef
2022-05-09 07:00:00,1.33,1.3,-0.0196,2022-05-09,07:00:00,bef
2022-02-10 07:00:00,0.96,0.94,-0.0188,2022-02-10,07:00:00,bef
2021-11-04 07:00:00,1.8,1.88,0.047400000000000005,2021-11-04,07:00:00,bef
2021-08-05 06:00:00,1.1,1.15,0.0483,2021-08-05,06:00:00,bef
2021-05-10 07:00:00,1.2,1.26,0.047400000000000005,2021-05-10,07:00:00,bef
2021-02-11 07:00:00,1.03,1.03,-0.0029,2021-02-11,07:00:00,bef
2020-11-05 07:00:00,1.79,1.87,0.045899999999999996,2020-11-05,07:00:00,bef
2020-08-10 06:00:00,1.03,1.08,0.0455,2020-08-10,06:00:00,bef
2020-05-12 06:00:00,1.19,1.14,-0.042800000000000005,2020-05-12,06:00:00,bef
2020-02-13 06:00:00,0.87,0.91,0.0424,2020-02-13,06:00:00,bef
2019-11-08 07:00:00,1.68,1.79,0.0687,2019-11-08,07:00:00,bef
2019-08-06 07:00:00,0.98,1.12,0.1417,2019-08-06,07:00:00,bef
2019-05-09 07:00:00,1.23,1.24,0.008100000000000001,2019-05-09,07:00:00,bef
2019-02-14 07:00:00,0.89,0.84,-0.0562,2019-02-14,07:00:00,bef
2018-11-02 07:00:00,1.52,1.65,0.0827,2018-11-02,07:00:00,bef
2018-08-02 06:00:00,1.02,0.93,-0.0891,2018-08-02,06:00:00,bef
2018-05-10 07:00:00,1.14,1.28,0.1199,2018-05-10,07:00:00,bef
2018-02-20 06:00:00,0.92,0.94,0.0217,2018-02-20,06:00:00,bef
2017-11-03 06:00:00,1.55,1.59,0.0258,2017-11-03,06:00:00,bef
2017-08-03 06:00:00,1.01,1.01,-0.0039000000000000003,2017-08-03,06:00:00,bef
2017-05-09 07:00:00,1.03,1.04,0.013600000000000001,2017-05-09,07:00:00,bef
2016-11-04 07:00:00,1.58,1.68,0.061900000000000004,2016-11-04,07:00:00,bef
2016-08-04 07:00:00,1.01,1.07,0.0563,2016-08-04,07:00:00,bef
2016-05-03 07:00:00,1.14,1.13,-0.006999999999999999,2016-05-03,07:00:00,bef
2016-02-18 07:00:00,0.91,0.87,-0.0429,2016-02-18,07:00:00,bef
2015-11-05 07:00:00,1.52,1.47,-0.029700000000000004,2015-11-05,07:00:00,bef
2015-08-06 07:00:00,0.99,0.95,-0.042300000000000004,2015-08-06,07:00:00,bef
