Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 16:00:00,0.19,0.17,-0.10529999999999999,2022-07-28,16:00:00,aft
2022-04-28 16:00:00,0.13,0.08,-0.3846,2022-04-28,16:00:00,aft
2022-02-10 16:00:00,0.21,0.17,-0.1981,2022-02-10,16:00:00,aft
2021-10-28 16:00:00,0.16,0.22,0.4025,2021-10-28,16:00:00,aft
2021-07-29 16:00:00,0.11,0.19,0.7117,2021-07-29,16:00:00,aft
2021-04-29 16:00:00,0.07,0.08,0.1216,2021-04-29,16:00:00,aft
2021-02-11 16:00:00,0.23,0.23,-0.0044,2021-02-11,16:00:00,aft
2020-10-27 16:00:00,0.16,0.24,0.45060000000000006,2020-10-27,16:00:00,aft
2020-07-28 16:00:00,0.09,0.2,1.2759,2020-07-28,16:00:00,aft
2020-04-28 16:00:00,0.14,0.44,2.0769,2020-04-28,16:00:00,aft
2020-02-13 16:00:00,0.74,1.15,0.5583,2020-02-13,16:00:00,aft
2019-11-06 16:00:00,0.2,0.65,2.1863,2019-11-06,16:00:00,aft
2019-07-31 16:00:00,0.01,0.08,5.1538,2019-07-31,16:00:00,aft
2019-05-01 16:00:00,-0.16,-0.05,0.6815000000000001,2019-05-01,16:00:00,aft
2019-02-21 16:00:00,0.17,0.54,2.2143,2019-02-21,16:00:00,aft
2018-11-06 16:00:00,-0.1,0.17,2.7,2018-11-06,16:00:00,aft
2018-08-01 16:00:00,-0.18,-0.1,0.4536,2018-08-01,16:00:00,aft
2018-05-02 16:00:00,-0.33,-0.32,0.021400000000000002,2018-05-02,16:00:00,aft
2018-02-27 16:00:00,0.03,0.1,2.8462,2018-02-27,16:00:00,aft
2017-11-01 16:00:00,-0.16,-0.04,0.7468000000000001,2017-11-01,16:00:00,aft
2017-08-01 16:00:00,-0.21,-0.16,0.25579999999999997,2017-08-01,16:00:00,aft
2017-05-02 16:00:00,-0.5,-0.49,0.0239,2017-05-02,16:00:00,aft
2017-02-28 16:00:00,-0.1,-0.09,0.0722,2017-02-28,16:00:00,aft
2016-11-01 16:00:00,-0.13,-0.22,-0.6923,2016-11-01,16:00:00,aft
2016-08-02 17:00:00,-0.12,-0.24,-1.0690000000000002,2016-08-02,17:00:00,aft
2016-04-27 16:00:00,-0.2,-0.23,-0.133,2016-04-27,16:00:00,aft
2016-02-23 16:00:00,0.01,0.02,2.3333000000000004,2016-02-23,16:00:00,aft
2015-08-05 16:00:00,-0.03,-0.05,-0.7857,2015-08-05,16:00:00,aft
2015-04-29 16:00:00,-0.11,-0.17,-0.6038,2015-04-29,16:00:00,aft
2015-02-25 16:00:00,-0.03,0.02,1.6897,2015-02-25,16:00:00,aft
2014-11-06 16:00:00,-0.06,-0.07,-0.20690000000000003,2014-11-06,16:00:00,aft
2014-08-06 04:00:00,-0.1,-0.09,0.13699999999999998,2014-08-06,04:00:00,bef
2014-05-01 04:00:00,-0.08,-0.17,-1.0877,2014-05-01,04:00:00,bef
2014-02-20 05:00:00,-0.07,-0.04,0.4455,2014-02-20,05:00:00,bef
2013-11-06 05:00:00,-0.13,-0.08,0.3846,2013-11-06,05:00:00,bef
2013-08-07 04:00:00,-0.16,-0.14,0.099,2013-08-07,04:00:00,bef
2013-05-01 04:00:00,-0.17,-0.16,0.068,2013-05-01,04:00:00,bef
2013-02-21 05:00:00,-0.16,-0.12,0.2539,2013-02-21,05:00:00,bef
2012-11-01 04:00:00,-0.22,-0.25,-0.1525,2012-11-01,04:00:00,bef
2012-08-06 04:00:00,-0.2,-0.21,-0.061399999999999996,2012-08-06,04:00:00,bef
2012-05-02 04:00:00,-0.19,-0.21,-0.098,2012-05-02,04:00:00,bef
2012-02-23 05:00:00,-0.17,-0.18,-0.06269999999999999,2012-02-23,05:00:00,bef
2011-11-02 04:00:00,-0.16,-0.2,-0.2745,2011-11-02,04:00:00,bef
2011-08-03 04:00:00,-0.12,-0.11,0.0678,2011-08-03,04:00:00,bef
2011-05-03 04:00:00,-0.19,-0.19,-0.0044,2011-05-03,04:00:00,bef
2011-03-03 05:00:00,-0.19,-0.16,0.13720000000000002,2011-03-03,05:00:00,bef
2010-11-04 04:00:00,-0.18,-0.23,-0.2843,2010-11-04,04:00:00,bef
2010-08-03 04:00:00,-0.2,-0.2,-0.005,2010-08-03,04:00:00,bef
2010-05-05 04:00:00,-0.24,-0.27,-0.1077,2010-05-05,04:00:00,bef
2010-03-09 05:00:00,-0.28,-0.25,0.1162,2010-03-09,05:00:00,bef
2009-11-04 05:00:00,-0.32,-0.29,0.09380000000000001,2009-11-04,05:00:00,bef
2009-08-03 04:00:00,-0.31,-0.33,-0.0784,2009-08-03,04:00:00,bef
2009-05-06 04:00:00,-0.32,-0.33,-0.0443,2009-05-06,04:00:00,bef
2008-11-10 05:00:00,-0.46,-0.5,-0.0802,2008-11-10,05:00:00,bef
2008-08-05 04:00:00,-0.44,-0.48,-0.0971,2008-08-05,04:00:00,bef
2008-05-08 04:00:00,-0.42,-0.44,-0.055999999999999994,2008-05-08,04:00:00,bef
2008-03-11 04:00:00,-0.41,-0.43,-0.0403,2008-03-11,04:00:00,bef
2007-07-30 04:00:00,-0.41,-0.4,0.0311,2007-07-30,04:00:00,bef
2007-05-09 04:00:00,-0.42,-0.39,0.0618,2007-05-09,04:00:00,bef
2007-02-27 05:00:00,-0.48,-0.39,0.18510000000000001,2007-02-27,05:00:00,bef
2006-10-23 04:00:00,-0.4,-0.48,-0.1852,2006-10-23,04:00:00,bef
2006-07-20 04:00:00,-0.42,-0.41,0.0337,2006-07-20,04:00:00,bef
2006-05-15 04:00:00,-0.47,-0.43,0.0947,2006-05-15,04:00:00,bef
2006-02-27 05:00:00,-0.27,-0.48,-0.8,2006-02-27,05:00:00,bef
2005-11-01 05:00:00,-0.26,-0.25,0.047599999999999996,2005-11-01,05:00:00,bef
2005-08-02 04:00:00,-0.25,-0.29,-0.1373,2005-08-02,04:00:00,bef
