Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-08 07:00:00,0.76,0.77,0.013200000000000002,2022-08-08,07:00:00,bef
2022-05-05 07:00:00,1.17,1.18,0.0051,2022-05-05,07:00:00,bef
2022-02-11 07:00:00,0.91,0.9,-0.0099,2022-02-11,07:00:00,bef
2021-11-05 07:00:00,1.06,1.11,0.0452,2021-11-05,07:00:00,bef
2021-08-06 07:00:00,0.77,0.76,-0.0078000000000000005,2021-08-06,07:00:00,bef
2021-05-04 07:00:00,1.08,1.09,0.013999999999999999,2021-05-04,07:00:00,bef
2021-02-12 07:00:00,0.8,0.81,0.0163,2021-02-12,07:00:00,bef
2020-11-05 07:00:00,0.99,1.08,0.0909,2020-11-05,07:00:00,bef
2020-07-31 06:00:00,0.76,0.82,0.0775,2020-07-31,06:00:00,bef
2020-05-05 06:00:00,1.09,1.09,-0.0037,2020-05-05,06:00:00,bef
2020-02-11 07:00:00,1.16,1.18,0.0199,2020-02-11,07:00:00,bef
2019-11-01 07:00:00,1.14,1.18,0.036000000000000004,2019-11-01,07:00:00,bef
2019-07-31 07:00:00,0.76,0.77,0.0092,2019-07-31,07:00:00,bef
2019-05-03 07:00:00,1.11,1.1,-0.0117,2019-05-03,07:00:00,bef
2019-02-01 07:00:00,0.9,0.89,-0.01,2019-02-01,07:00:00,bef
2018-11-01 08:00:00,1.13,1.15,0.0177,2018-11-01,08:00:00,bef
2018-08-01 07:00:00,0.79,0.86,0.09140000000000001,2018-08-01,07:00:00,bef
2018-04-27 07:00:00,1.05,1.14,0.0909,2018-04-27,07:00:00,bef
2018-01-29 07:00:00,0.89,0.91,0.019,2018-01-29,07:00:00,bef
2017-10-30 07:00:00,1.02,1.04,0.0226,2017-10-30,07:00:00,bef
2017-08-02 07:00:00,0.67,0.67,0.003,2017-08-02,07:00:00,bef
2017-05-04 07:00:00,0.96,0.97,0.0125,2017-05-04,07:00:00,bef
2017-02-01 07:00:00,1.0,0.99,-0.0139,2017-02-01,07:00:00,bef
2016-10-31 06:00:00,1.07,1.14,0.062400000000000004,2016-10-31,06:00:00,bef
2016-08-03 07:00:00,0.71,0.71,0.0028000000000000004,2016-08-03,07:00:00,bef
2016-05-04 07:00:00,0.94,0.96,0.0191,2016-05-04,07:00:00,bef
2016-02-01 07:00:00,0.89,0.7,-0.209,2016-02-01,07:00:00,bef
2015-11-02 07:00:00,1.06,1.03,-0.023700000000000002,2015-11-02,07:00:00,bef
2015-08-05 07:00:00,0.72,0.73,0.0097,2015-08-05,07:00:00,bef
2015-05-04 07:00:00,0.96,0.99,0.027000000000000003,2015-05-04,07:00:00,bef
2015-02-06 16:00:00,0.83,0.84,0.0169,2015-02-06,16:00:00,aft
2014-10-31 07:00:00,0.95,0.93,-0.02,2014-10-31,07:00:00,bef
2014-07-30 04:00:00,0.62,0.62,0.0021,2014-07-30,04:00:00,bef
2014-04-30 04:00:00,0.97,1.04,0.07769999999999999,2014-04-30,04:00:00,bef
2014-01-31 05:00:00,0.89,0.8,-0.0999,2014-01-31,05:00:00,bef
2013-11-05 05:00:00,0.9,1.0,0.1069,2013-11-05,05:00:00,bef
2013-08-06 04:00:00,0.65,0.62,-0.043899999999999995,2013-08-06,04:00:00,bef
2013-04-25 04:00:00,0.88,0.83,-0.059699999999999996,2013-04-25,04:00:00,bef
2013-01-31 05:00:00,0.69,0.69,0.002,2013-01-31,05:00:00,bef
2012-10-25 04:00:00,0.97,0.92,-0.0509,2012-10-25,04:00:00,bef
2012-08-01 04:00:00,0.6,0.59,-0.0128,2012-08-01,04:00:00,bef
2012-04-26 04:00:00,0.87,0.85,-0.0204,2012-04-26,04:00:00,bef
2012-01-27 05:00:00,0.64,0.58,-0.08869999999999999,2012-01-27,05:00:00,bef
2011-10-28 04:00:00,0.93,0.95,0.0171,2011-10-28,04:00:00,bef
2011-07-28 04:00:00,0.6,0.59,-0.0099,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,0.91,0.93,0.0257,2011-04-28,04:00:00,bef
2011-01-28 05:00:00,0.66,0.63,-0.0401,2011-01-28,05:00:00,bef
2010-10-29 04:00:00,1.07,1.03,-0.0355,2010-10-29,04:00:00,bef
2010-07-28 04:00:00,0.67,0.72,0.0733,2010-07-28,04:00:00,bef
2010-04-29 04:00:00,0.94,0.96,0.0222,2010-04-29,04:00:00,bef
2010-01-28 05:00:00,0.6,0.63,0.0471,2010-01-28,05:00:00,bef
2009-10-30 04:00:00,0.9,0.99,0.0953,2009-10-30,04:00:00,bef
2009-07-31 04:00:00,0.64,0.68,0.0625,2009-07-31,04:00:00,bef
2009-04-30 04:00:00,0.88,0.97,0.1052,2009-04-30,04:00:00,bef
2009-01-29 05:00:00,0.68,0.72,0.0519,2009-01-29,05:00:00,bef
2008-10-30 04:00:00,0.9,0.94,0.039900000000000005,2008-10-30,04:00:00,bef
2008-07-31 04:00:00,0.51,0.5,-0.015700000000000002,2008-07-31,04:00:00,bef
2008-05-01 04:00:00,0.89,1.0,0.11939999999999999,2008-05-01,04:00:00,bef
2008-01-30 05:00:00,0.55,0.52,-0.062400000000000004,2008-01-30,05:00:00,bef
2007-11-01 04:00:00,0.85,0.86,0.0101,2007-11-01,04:00:00,bef
2007-08-01 04:00:00,0.44,0.45,0.0040999999999999995,2007-08-01,04:00:00,bef
2007-05-02 04:00:00,0.74,0.75,0.0098,2007-05-02,04:00:00,bef
2007-01-31 05:00:00,0.39,0.39,0.004,2007-01-31,05:00:00,bef
2006-11-01 05:00:00,0.78,0.94,0.1998,2006-11-01,05:00:00,bef
2006-08-03 04:00:00,0.39,0.42,0.0652,2006-08-03,04:00:00,bef
2006-05-03 04:00:00,0.74,0.82,0.095,2006-05-03,04:00:00,bef
2006-01-26 05:00:00,0.36,0.51,0.4132,2006-01-26,05:00:00,bef
2005-11-02 05:00:00,0.59,0.54,-0.0877,2005-11-02,05:00:00,bef
2005-08-03 04:00:00,0.41,0.5,0.22219999999999998,2005-08-03,04:00:00,bef
2005-05-04 04:00:00,0.7,0.72,0.029500000000000002,2005-05-04,04:00:00,bef
2005-01-27 05:00:00,0.64,0.61,-0.051,2005-01-27,05:00:00,bef
2004-10-21 04:00:00,0.66,0.61,-0.08650000000000001,2004-10-21,04:00:00,bef
2004-07-27 04:00:00,0.4,0.41,0.0174,2004-07-27,04:00:00,bef
