Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 16:00:00,0.89,0.99,0.1099,2022-08-03,16:00:00,aft
2022-05-04 16:00:00,1.03,1.05,0.0174,2022-05-04,16:00:00,aft
2022-02-23 16:00:00,0.99,1.05,0.0563,2022-02-23,16:00:00,aft
2021-10-27 16:00:00,0.89,0.9,0.0158,2021-10-27,16:00:00,aft
2021-08-11 16:00:00,0.95,0.99,0.0454,2021-08-11,16:00:00,aft
2021-04-28 16:00:00,1.07,1.09,0.0196,2021-04-28,16:00:00,aft
2021-02-03 16:00:00,0.83,0.86,0.0349,2021-02-03,16:00:00,aft
2020-10-28 16:00:00,0.77,0.85,0.09820000000000001,2020-10-28,16:00:00,aft
2020-07-28 16:00:00,1.06,1.08,0.021800000000000003,2020-07-28,16:00:00,aft
2020-04-29 16:00:00,0.72,0.77,0.0709,2020-04-29,16:00:00,aft
2020-01-28 16:00:00,0.76,0.81,0.0714,2020-01-28,16:00:00,aft
2019-10-23 16:00:00,0.64,0.67,0.042,2019-10-23,16:00:00,aft
2019-07-17 16:00:00,0.63,0.68,0.08800000000000001,2019-07-17,16:00:00,aft
2019-04-23 16:00:00,0.63,0.67,0.0703,2019-04-23,16:00:00,aft
2019-01-29 16:00:00,0.68,0.71,0.0487,2019-01-29,16:00:00,aft
2018-10-30 17:00:00,0.54,0.56,0.0313,2018-10-30,17:00:00,aft
2018-07-18 16:00:00,0.51,0.53,0.037200000000000004,2018-07-18,16:00:00,aft
2018-04-25 16:00:00,0.53,0.53,-0.005600000000000001,2018-04-25,16:00:00,aft
2018-01-31 17:00:00,0.59,0.59,0.0068000000000000005,2018-01-31,17:00:00,aft
2017-10-18 16:00:00,0.48,0.48,0.0063,2017-10-18,16:00:00,aft
2017-07-20 16:00:00,0.45,0.45,0.009000000000000001,2017-07-20,16:00:00,aft
2017-04-19 16:00:00,0.48,0.49,0.025099999999999997,2017-04-19,16:00:00,aft
2017-01-25 16:00:00,0.54,0.54,0.009300000000000001,2017-01-25,16:00:00,aft
2016-10-19 16:00:00,0.44,0.45,0.0227,2016-10-19,16:00:00,aft
2016-07-20 16:00:00,0.42,0.43,0.019,2016-07-20,16:00:00,aft
2016-04-26 16:00:00,0.45,0.47,0.0538,2016-04-26,16:00:00,aft
2016-01-27 16:00:00,0.5,0.5,0.008100000000000001,2016-01-27,16:00:00,aft
2015-10-21 16:00:00,0.4,0.43,0.075,2015-10-21,16:00:00,aft
2015-07-16 07:00:00,0.73,0.76,0.0483,2015-07-16,07:00:00,bef
2015-04-22 16:00:00,0.7,0.77,0.1,2015-04-22,16:00:00,aft
2015-01-21 16:00:00,0.89,0.9,0.0124,2015-01-21,16:00:00,aft
2014-10-15 16:00:00,0.67,0.68,0.016399999999999998,2014-10-15,16:00:00,aft
2014-07-16 04:00:00,0.68,0.69,0.0101,2014-07-16,04:00:00,bef
2014-04-29 04:00:00,0.67,0.7,0.04730000000000001,2014-04-29,04:00:00,bef
2014-01-22 05:00:00,0.8,0.81,0.0079,2014-01-22,05:00:00,bef
2013-10-16 04:00:00,0.63,0.64,0.0222,2013-10-16,04:00:00,bef
2013-07-17 04:00:00,0.63,0.63,-0.0077,2013-07-17,04:00:00,bef
2013-04-17 04:00:00,0.62,0.63,0.013500000000000002,2013-04-17,04:00:00,bef
2013-01-16 05:00:00,0.69,0.7,0.015700000000000002,2013-01-16,05:00:00,bef
2012-10-17 04:00:00,0.54,0.55,0.0106,2012-10-17,04:00:00,bef
2012-07-18 04:00:00,0.55,0.56,0.014199999999999999,2012-07-18,04:00:00,bef
2012-04-18 04:00:00,0.52,0.55,0.0638,2012-04-18,04:00:00,bef
2012-01-18 05:00:00,0.57,0.6,0.051500000000000004,2012-01-18,05:00:00,bef
2011-10-19 04:00:00,0.48,0.48,0.0054,2011-10-19,04:00:00,bef
2011-07-20 04:00:00,0.46,0.48,0.0364,2011-07-20,04:00:00,bef
2011-04-27 04:00:00,0.46,0.47,0.016399999999999998,2011-04-27,04:00:00,bef
2011-01-19 05:00:00,0.47,0.52,0.1012,2011-01-19,05:00:00,bef
2010-10-20 04:00:00,0.37,0.4,0.0789,2010-10-20,04:00:00,bef
2010-07-21 04:00:00,0.38,0.4,0.041299999999999996,2010-07-21,04:00:00,bef
2010-04-21 04:00:00,0.41,0.42,0.028900000000000002,2010-04-21,04:00:00,bef
2010-01-20 05:00:00,0.4,0.44,0.0882,2010-01-20,05:00:00,bef
2009-10-21 04:00:00,0.37,0.38,0.0391,2009-10-21,04:00:00,bef
2009-07-22 04:00:00,0.36,0.37,0.0378,2009-07-22,04:00:00,bef
2009-04-22 04:00:00,0.33,0.39,0.1655,2009-04-22,04:00:00,bef
2009-01-21 05:00:00,0.39,0.41,0.042,2009-01-21,05:00:00,bef
2008-10-15 04:00:00,0.41,0.46,0.1176,2008-10-15,04:00:00,bef
2008-07-16 04:00:00,0.41,0.43,0.0466,2008-07-16,04:00:00,bef
2008-04-16 04:00:00,0.39,0.42,0.066,2008-04-16,04:00:00,bef
2008-01-23 05:00:00,0.41,0.45,0.1008,2008-01-23,05:00:00,bef
2007-10-17 04:00:00,0.33,0.41,0.23940000000000003,2007-10-17,04:00:00,bef
