Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 08:00:00,1.09,1.1,0.008199999999999999,2022-07-26,08:00:00,bef
2022-02-15 08:00:00,1.31,1.28,-0.0229,2022-02-15,08:00:00,bef
2021-10-26 08:00:00,1.3,1.41,0.0821,2021-10-26,08:00:00,bef
2021-07-27 08:00:00,1.21,1.22,0.0116,2021-07-27,08:00:00,bef
2021-04-27 08:00:00,0.81,0.81,-0.0037,2021-04-27,08:00:00,bef
2021-02-16 08:00:00,1.25,1.23,-0.0144,2021-02-16,08:00:00,bef
2020-10-27 08:00:00,1.12,1.15,0.0268,2020-10-27,08:00:00,bef
2020-07-28 08:00:00,0.85,0.65,-0.23170000000000002,2020-07-28,08:00:00,bef
2020-04-28 08:00:00,1.06,1.13,0.062000000000000006,2020-04-28,08:00:00,bef
2020-02-18 08:00:00,1.69,1.66,-0.0195,2020-02-18,08:00:00,bef
2019-10-29 08:00:00,1.71,1.71,-0.0006,2019-10-29,08:00:00,bef
2019-07-30 08:00:00,1.41,1.42,0.005699999999999999,2019-07-30,08:00:00,bef
2019-04-30 08:00:00,1.02,1.03,0.0098,2019-04-30,08:00:00,bef
2019-02-19 08:00:00,1.54,1.54,0.0033000000000000004,2019-02-19,08:00:00,bef
2018-10-30 08:00:00,1.54,1.53,-0.0046,2018-10-30,08:00:00,bef
2018-07-31 08:00:00,1.27,1.27,0.0008,2018-07-31,08:00:00,bef
2018-05-01 08:00:00,0.89,0.91,0.0202,2018-05-01,08:00:00,bef
2018-02-20 09:00:00,1.39,1.39,-0.0022,2018-02-20,09:00:00,bef
2017-10-31 08:00:00,1.36,1.37,0.0103,2017-10-31,08:00:00,bef
2017-08-01 08:00:00,1.13,1.13,0.0044,2017-08-01,08:00:00,bef
2017-05-02 08:00:00,0.81,0.8,-0.0087,2017-05-02,08:00:00,bef
2017-02-21 08:00:00,1.27,1.25,-0.0181,2017-02-21,08:00:00,bef
2016-08-02 08:00:00,1.08,1.08,0.0019,2016-08-02,08:00:00,bef
2016-05-03 08:00:00,0.76,0.77,0.0158,2016-05-03,08:00:00,bef
2016-02-23 08:00:00,1.24,1.22,-0.0193,2016-02-23,08:00:00,bef
2015-11-02 08:00:00,1.28,1.28,-0.0031,2015-11-02,08:00:00,bef
