Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-28 16:00:00,0.92,0.94,0.0184,2022-07-28,16:00:00,aft
2022-05-03 16:00:00,0.79,1.07,0.35100000000000003,2022-05-03,16:00:00,aft
2022-02-24 16:00:00,1.04,1.16,0.1143,2022-02-24,16:00:00,aft
2021-11-02 16:00:00,1.75,1.69,-0.0365,2021-11-02,16:00:00,aft
2021-07-29 16:00:00,1.02,0.94,-0.0757,2021-07-29,16:00:00,aft
2021-04-27 16:00:00,0.72,0.79,0.1034,2021-04-27,16:00:00,aft
2021-02-25 16:00:00,1.2,1.19,-0.005,2021-02-25,16:00:00,aft
2020-10-27 16:00:00,1.47,1.67,0.1353,2020-10-27,16:00:00,aft
2020-07-28 16:00:00,1.11,1.0,-0.1023,2020-07-28,16:00:00,aft
2020-04-30 16:00:00,0.79,0.63,-0.2025,2020-04-30,16:00:00,aft
2020-02-27 16:00:00,1.0,0.99,-0.008,2020-02-27,16:00:00,aft
2019-10-29 16:00:00,1.58,1.5,-0.049400000000000006,2019-10-29,16:00:00,aft
2019-07-25 16:00:00,1.13,1.58,0.3958,2019-07-25,16:00:00,aft
2019-04-30 16:00:00,0.87,0.63,-0.2742,2019-04-30,16:00:00,aft
2019-02-28 16:00:00,0.96,0.94,-0.015700000000000002,2019-02-28,16:00:00,aft
2018-10-30 16:00:00,1.29,1.56,0.2065,2018-10-30,16:00:00,aft
2018-07-26 16:00:00,0.83,0.84,0.0096,2018-07-26,16:00:00,aft
2018-05-01 16:00:00,0.91,0.8,-0.11800000000000001,2018-05-01,16:00:00,aft
2018-02-22 16:00:00,0.92,1.1,0.2009,2018-02-22,16:00:00,aft
2017-10-30 16:00:00,1.33,1.43,0.07200000000000001,2017-10-30,16:00:00,aft
2017-07-27 16:00:00,0.92,0.85,-0.071,2017-07-27,16:00:00,aft
2017-05-01 16:00:00,0.9,1.1,0.2263,2017-05-01,16:00:00,aft
2017-02-21 16:00:00,0.95,1.02,0.0714,2017-02-21,16:00:00,aft
2016-11-01 16:00:00,1.27,1.34,0.0535,2016-11-01,16:00:00,aft
2016-07-28 16:00:00,0.97,0.85,-0.1264,2016-07-28,16:00:00,aft
2016-05-02 16:00:00,0.88,0.82,-0.0629,2016-05-02,16:00:00,aft
2016-02-23 16:00:00,0.6,0.88,0.479,2016-02-23,16:00:00,aft
2015-10-27 16:00:00,1.17,1.16,-0.0068000000000000005,2015-10-27,16:00:00,aft
2015-07-30 16:00:00,0.83,1.16,0.3926,2015-07-30,16:00:00,aft
2015-04-28 16:00:00,0.79,0.9,0.145,2015-04-28,16:00:00,aft
2015-02-24 16:00:00,0.83,1.08,0.2965,2015-02-24,16:00:00,aft
2014-10-28 16:00:00,1.34,1.52,0.1386,2014-10-28,16:00:00,aft
2014-07-31 04:00:00,0.82,1.07,0.2975,2014-07-31,04:00:00,bef
2014-04-29 04:00:00,0.81,0.9,0.11140000000000001,2014-04-29,04:00:00,bef
2014-02-25 05:00:00,0.67,0.81,0.2084,2014-02-25,05:00:00,bef
2013-10-29 04:00:00,1.23,1.41,0.1457,2013-10-29,04:00:00,bef
2013-08-01 04:00:00,0.67,0.79,0.1795,2013-08-01,04:00:00,bef
2013-04-30 04:00:00,0.66,0.77,0.16670000000000001,2013-04-30,04:00:00,bef
2013-02-26 05:00:00,1.05,1.79,0.7107,2013-02-26,05:00:00,bef
2012-11-01 04:00:00,1.0,0.72,-0.27690000000000003,2012-11-01,04:00:00,bef
2012-07-31 04:00:00,0.28,0.32,0.1442,2012-07-31,04:00:00,bef
2012-05-02 04:00:00,0.49,0.35,-0.2822,2012-05-02,04:00:00,bef
2012-02-29 05:00:00,0.46,0.75,0.6342,2012-02-29,05:00:00,bef
2011-11-02 04:00:00,1.23,1.3,0.0575,2011-11-02,04:00:00,bef
2011-08-04 04:00:00,0.5,0.54,0.0796,2011-08-04,04:00:00,bef
2011-05-02 04:00:00,0.63,0.62,-0.0091,2011-05-02,04:00:00,bef
2011-02-28 05:00:00,0.6,0.58,-0.0381,2011-02-28,05:00:00,bef
2010-10-29 04:00:00,1.18,1.46,0.2366,2010-10-29,04:00:00,bef
2010-08-05 04:00:00,0.68,0.62,-0.0913,2010-08-05,04:00:00,bef
2010-05-07 04:00:00,0.78,0.82,0.054400000000000004,2010-05-07,04:00:00,bef
2010-03-01 05:00:00,0.41,0.59,0.44229999999999997,2010-03-01,05:00:00,bef
2009-11-06 05:00:00,1.04,1.09,0.0518,2009-11-06,05:00:00,bef
2009-08-07 04:00:00,0.52,0.78,0.4918,2009-08-07,04:00:00,bef
2009-05-08 04:00:00,0.67,0.79,0.1811,2009-05-08,04:00:00,bef
2009-03-02 05:00:00,0.64,0.66,0.0329,2009-03-02,05:00:00,bef
2008-11-07 05:00:00,1.54,1.46,-0.0499,2008-11-07,05:00:00,bef
2008-08-08 04:00:00,0.75,0.79,0.0565,2008-08-08,04:00:00,bef
2008-05-08 04:00:00,0.92,0.92,-0.0048,2008-05-08,04:00:00,bef
2008-02-27 05:00:00,0.58,0.65,0.1143,2008-02-27,05:00:00,bef
2007-11-02 04:00:00,1.3,1.41,0.0855,2007-11-02,04:00:00,bef
2007-08-09 04:00:00,0.62,0.73,0.1795,2007-08-09,04:00:00,bef
2007-05-09 04:00:00,0.64,0.9,0.4161,2007-05-09,04:00:00,bef
2007-02-28 05:00:00,0.51,0.65,0.2808,2007-02-28,05:00:00,bef
2006-11-03 05:00:00,1.24,1.32,0.0688,2006-11-03,05:00:00,bef
2006-08-08 04:00:00,0.59,0.55,-0.06620000000000001,2006-08-08,04:00:00,bef
2006-05-08 04:00:00,0.63,0.56,-0.10710000000000001,2006-05-08,04:00:00,bef
2006-03-07 05:00:00,0.46,0.71,0.5292,2006-03-07,05:00:00,bef
2005-11-04 05:00:00,1.1,1.24,0.125,2005-11-04,05:00:00,bef
2005-08-09 04:00:00,0.51,0.55,0.0855,2005-08-09,04:00:00,bef
2005-05-09 04:00:00,0.34,0.64,0.8824,2005-05-09,04:00:00,bef
2005-03-11 05:00:00,0.22,0.42,0.8771,2005-03-11,05:00:00,bef
2004-11-05 05:00:00,0.95,1.01,0.0584,2004-11-05,05:00:00,bef
2004-07-30 04:00:00,0.45,0.32,-0.2889,2004-07-30,04:00:00,bef
2004-05-07 04:00:00,0.2,0.3,0.5,2004-05-07,04:00:00,bef
2004-02-26 05:00:00,0.15,0.59,2.9333,2004-02-26,05:00:00,bef
2003-11-05 05:00:00,1.09,1.53,0.40880000000000005,2003-11-05,05:00:00,bef
2003-08-05 04:00:00,0.44,0.54,0.2329,2003-08-05,04:00:00,bef
2003-05-07 04:00:00,0.26,0.2,-0.24239999999999998,2003-05-07,04:00:00,bef
2003-02-25 05:00:00,0.02,0.18,7.0,2003-02-25,05:00:00,bef
2002-11-01 05:00:00,0.82,1.08,0.31170000000000003,2002-11-01,05:00:00,bef
2002-08-06 04:00:00,0.4,0.56,0.4,2002-08-06,04:00:00,bef
2002-05-03 04:00:00,0.2,0.26,0.3,2002-05-03,04:00:00,bef
2002-02-15 05:00:00,0.23,0.24,0.051100000000000007,2002-02-15,05:00:00,bef
2001-10-19 04:00:00,0.88,0.68,-0.2229,2001-10-19,04:00:00,bef
2001-07-20 04:00:00,0.3,0.24,-0.2,2001-07-20,04:00:00,bef
2001-05-14 04:00:00,0.35,0.14,-0.6,2001-05-14,04:00:00,bef
2001-04-17 04:00:00,0.31,-0.09,-1.2941,2001-04-17,04:00:00,bef
2000-10-23 04:00:00,0.8,1.0,0.2579,2000-10-23,04:00:00,bef
2000-04-20 04:00:00,0.29,0.32,0.0909,2000-04-20,04:00:00,bef
2000-01-18 05:00:00,0.49,0.52,0.0672,2000-01-18,05:00:00,bef
1999-10-13 04:00:00,0.7,0.74,0.0571,1999-10-13,04:00:00,bef
1999-07-16 04:00:00,0.4,0.37,-0.08259999999999999,1999-07-16,04:00:00,bef
1999-04-15 04:00:00,0.41,0.41,0.0049,1999-04-15,04:00:00,bef
1999-01-22 05:00:00,0.4,0.46,0.15,1999-01-22,05:00:00,bef
1998-10-16 04:00:00,0.69,0.61,-0.1104,1998-10-16,04:00:00,bef
1998-07-17 04:00:00,0.37,0.4,0.08109999999999999,1998-07-17,04:00:00,bef
