Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-26 16:00:00,0.84,1.07,0.2768,2022-07-26,16:00:00,aft
2022-04-26 16:00:00,0.67,0.79,0.1862,2022-04-26,16:00:00,aft
2022-02-08 16:00:00,0.58,0.73,0.263,2022-02-08,16:00:00,aft
2021-10-26 16:00:00,0.48,0.6,0.2422,2021-10-26,16:00:00,aft
2021-07-27 16:00:00,0.43,0.53,0.23829999999999998,2021-07-27,16:00:00,aft
2021-04-27 16:00:00,0.45,0.56,0.2528,2021-04-27,16:00:00,aft
2021-02-09 16:00:00,0.41,0.51,0.2593,2021-02-09,16:00:00,aft
2020-10-27 16:00:00,0.24,0.3,0.24480000000000002,2020-10-27,16:00:00,aft
2020-08-04 16:00:00,0.14,0.17,0.1724,2020-08-04,16:00:00,aft
2020-05-05 16:00:00,0.32,0.38,0.2025,2020-05-05,16:00:00,aft
2020-02-18 16:00:00,0.33,0.39,0.1782,2020-02-18,16:00:00,aft
2019-10-29 16:00:00,0.25,0.3,0.1905,2019-10-29,16:00:00,aft
2019-07-30 16:00:00,0.13,0.18,0.4062,2019-07-30,16:00:00,aft
2019-04-30 16:00:00,0.05,0.08,0.5686,2019-04-30,16:00:00,aft
2019-02-26 16:00:00,0.06,0.04,-0.3103,2019-02-26,16:00:00,aft
2018-11-06 18:00:00,0.04,0.04,0.11109999999999999,2018-11-06,18:00:00,aft
2018-07-31 16:00:00,0.01,0.02,2.3333000000000004,2018-07-31,16:00:00,aft
2018-05-01 16:00:00,-0.03,-0.01,0.6970000000000001,2018-05-01,16:00:00,aft
2018-02-27 16:00:00,-0.01,0.01,2.25,2018-02-27,16:00:00,aft
2017-11-07 16:00:00,-0.05,-0.01,0.7872,2017-11-07,16:00:00,aft
2017-08-08 17:00:00,-0.07,-0.08,-0.0667,2017-08-08,17:00:00,aft
2017-05-09 17:00:00,-0.14,-0.18,-0.3235,2017-05-09,17:00:00,aft
2017-02-28 16:00:00,-0.12,-0.15,-0.2195,2017-02-28,16:00:00,aft
2016-11-01 16:00:00,-0.24,-0.28,-0.157,2016-11-01,16:00:00,aft
2016-08-02 16:00:00,-0.27,-0.3,-0.0949,2016-08-02,16:00:00,aft
2016-05-03 16:00:00,-0.31,-0.34,-0.0968,2016-05-03,16:00:00,aft
2016-02-23 16:00:00,-0.22,-0.25,-0.1261,2016-02-23,16:00:00,aft
2015-11-03 16:00:00,0.03,0.08,1.5806,2015-11-03,16:00:00,aft
2015-08-04 16:00:00,0.02,0.06,3.0,2015-08-04,16:00:00,aft
2015-05-05 16:00:00,-0.08,-0.07,0.1463,2015-05-05,16:00:00,aft
2015-02-17 16:00:00,0.03,0.07,1.5,2015-02-17,16:00:00,aft
2014-11-04 16:00:00,0.07,0.08,0.2121,2014-11-04,16:00:00,aft
2014-08-05 04:00:00,-0.02,-0.01,0.5556,2014-08-05,04:00:00,bef
2014-05-06 04:00:00,-0.13,-0.1,0.23079999999999998,2014-05-06,04:00:00,bef
2014-02-18 05:00:00,-0.03,-0.02,0.3685,2014-02-18,05:00:00,bef
2013-11-05 05:00:00,-0.09,-0.09,0.0526,2013-11-05,05:00:00,bef
2013-08-06 04:00:00,-0.13,-0.12,0.0886,2013-08-06,04:00:00,bef
2013-05-07 04:00:00,-0.23,-0.21,0.087,2013-05-07,04:00:00,bef
2013-02-26 05:00:00,-0.19,-0.12,0.3793,2013-02-26,05:00:00,bef
2012-11-07 05:00:00,-0.2,-0.18,0.1075,2012-11-07,05:00:00,bef
2012-08-07 04:00:00,-0.32,-0.19,0.40159999999999996,2012-08-07,04:00:00,bef
