Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 06:00:00,1.72,2.38,0.3829,2022-08-04,06:00:00,bef
2022-05-05 06:00:00,1.77,2.49,0.40840000000000004,2022-05-05,06:00:00,bef
2022-02-17 06:00:00,2.51,2.76,0.0987,2022-02-17,06:00:00,bef
2021-11-04 06:00:00,2.22,2.42,0.0901,2021-11-04,06:00:00,bef
2021-08-05 06:00:00,1.94,2.05,0.058300000000000005,2021-08-05,06:00:00,bef
2021-05-06 06:00:00,1.68,1.81,0.0748,2021-05-06,06:00:00,bef
2021-02-18 06:00:00,1.72,1.81,0.055400000000000005,2021-02-18,06:00:00,bef
2020-11-05 06:00:00,1.47,1.65,0.12240000000000001,2020-11-05,06:00:00,bef
2020-08-06 06:00:00,1.21,1.46,0.21059999999999998,2020-08-06,06:00:00,bef
2020-05-07 06:00:00,1.4,1.43,0.0244,2020-05-07,06:00:00,bef
2020-02-20 06:00:00,1.45,1.51,0.045,2020-02-20,06:00:00,bef
2019-11-07 06:00:00,1.33,1.39,0.0435,2019-11-07,06:00:00,bef
2019-08-08 06:00:00,1.23,1.28,0.042300000000000004,2019-08-08,06:00:00,bef
2019-05-09 06:00:00,1.17,1.25,0.0693,2019-05-09,06:00:00,bef
2019-02-14 06:00:00,1.23,1.27,0.0342,2019-02-14,06:00:00,bef
2018-11-01 06:00:00,1.05,1.17,0.11109999999999999,2018-11-01,06:00:00,bef
2018-08-02 06:00:00,0.99,1.01,0.0212,2018-08-02,06:00:00,bef
2018-05-09 06:00:00,0.91,0.93,0.022000000000000002,2018-05-09,06:00:00,bef
2018-02-16 06:00:00,0.97,1.01,0.0391,2018-02-16,06:00:00,bef
2017-11-02 06:00:00,0.85,0.92,0.0849,2017-11-02,06:00:00,bef
2017-08-03 06:00:00,0.81,0.8,-0.016,2017-08-03,06:00:00,bef
2017-05-04 06:00:00,0.74,0.72,-0.0257,2017-05-04,06:00:00,bef
2017-02-16 06:00:00,0.79,0.77,-0.0204,2017-02-16,06:00:00,bef
2016-11-07 06:00:00,0.75,0.76,0.016,2016-11-07,06:00:00,bef
2016-08-04 06:00:00,0.72,0.71,-0.0166,2016-08-04,06:00:00,bef
2016-05-05 06:00:00,0.72,0.66,-0.0808,2016-05-05,06:00:00,bef
2016-02-17 18:00:00,0.73,0.78,0.067,2016-02-17,18:00:00,aft
2015-11-04 17:00:00,0.68,0.7,0.0294,2015-11-04,17:00:00,aft
2015-08-04 17:00:00,0.64,0.64,-0.0016,2015-08-04,17:00:00,aft
2015-05-06 17:00:00,0.54,0.61,0.1317,2015-05-06,17:00:00,aft
2015-02-25 17:00:00,0.61,0.62,0.023100000000000002,2015-02-25,17:00:00,aft
2014-11-04 07:00:00,0.54,0.6,0.105,2014-11-04,07:00:00,bef
2014-08-04 04:00:00,0.48,0.53,0.1003,2014-08-04,04:00:00,bef
2014-04-30 04:00:00,0.41,0.47,0.1463,2014-04-30,04:00:00,bef
2014-02-19 05:00:00,0.46,0.48,0.039700000000000006,2014-02-19,05:00:00,bef
2013-11-08 05:00:00,0.42,0.43,0.0158,2013-11-08,05:00:00,bef
2013-08-08 04:00:00,0.4,0.4,0.0084,2013-08-08,04:00:00,bef
2013-05-08 04:00:00,0.34,0.35,0.0417,2013-05-08,04:00:00,bef
2013-02-28 05:00:00,0.37,0.37,0.010900000000000002,2013-02-28,05:00:00,bef
2012-11-08 05:00:00,0.35,0.37,0.0571,2012-11-08,05:00:00,bef
2012-08-03 04:00:00,0.31,0.37,0.184,2012-08-03,04:00:00,bef
2012-05-08 04:00:00,0.29,0.31,0.069,2012-05-08,04:00:00,bef
