Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,0.83,0.83,-0.0024,2022-07-27,16:00:00,aft
2022-04-27 16:00:00,0.95,0.81,-0.14830000000000002,2022-04-27,16:00:00,aft
2022-02-09 16:00:00,0.51,0.41,-0.19920000000000002,2022-02-09,16:00:00,aft
2021-10-27 16:00:00,-0.05,0.12,3.5532,2021-10-27,16:00:00,aft
2021-07-28 16:00:00,0.06,0.07,0.2281,2021-07-28,16:00:00,aft
2021-05-05 17:00:00,0.26,0.3,0.16280000000000003,2021-05-05,17:00:00,aft
2021-02-17 06:00:00,-0.25,-0.02,0.9209,2021-02-17,06:00:00,bef
2020-10-22 06:00:00,-0.26,-0.15,0.4253,2020-10-22,06:00:00,bef
2020-07-27 06:00:00,-0.13,-0.18,-0.3333,2020-07-27,06:00:00,bef
2020-02-27 06:00:00,-0.21,-0.03,0.8544,2020-02-27,06:00:00,bef
2019-10-31 06:00:00,-0.19,-0.06,0.6790999999999999,2019-10-31,06:00:00,bef
2019-07-25 06:00:00,0.02,0.09,3.7368,2019-07-25,06:00:00,bef
2019-04-25 06:00:00,0.79,0.83,0.0533,2019-04-25,06:00:00,bef
2019-02-14 06:00:00,0.78,0.79,0.0167,2019-02-14,06:00:00,bef
2018-10-25 06:00:00,0.42,0.35,-0.17260000000000003,2018-10-25,06:00:00,bef
2018-07-26 06:00:00,0.47,0.44,-0.0558,2018-07-26,06:00:00,bef
2018-04-26 07:00:00,0.99,1.01,0.0202,2018-04-26,07:00:00,bef
2018-02-15 06:00:00,0.24,0.76,2.1148,2018-02-15,06:00:00,bef
2017-10-26 06:00:00,-0.04,0.12,4.3333,2017-10-26,06:00:00,bef
2017-07-27 06:00:00,0.08,0.06,-0.23079999999999998,2017-07-27,06:00:00,bef
2017-04-27 06:00:00,0.48,0.43,-0.1023,2017-04-27,06:00:00,bef
2017-02-02 06:00:00,-0.08,0.25,4.2895,2017-02-02,06:00:00,bef
2016-10-27 06:00:00,-0.41,-0.26,0.3735,2016-10-27,06:00:00,bef
2016-07-28 06:00:00,-0.39,-0.35,0.1094,2016-07-28,06:00:00,bef
2016-04-28 06:00:00,-0.02,0.07,4.3333,2016-04-28,06:00:00,bef
2016-02-04 06:00:00,-0.15,-0.06,0.6078,2016-02-04,06:00:00,bef
2015-10-22 06:00:00,-0.18,-0.33,-0.7935,2015-10-22,06:00:00,bef
2015-07-23 08:00:00,0.05,0.01,-0.8077,2015-07-23,08:00:00,bef
2015-04-23 07:00:00,0.62,1.08,0.7419,2015-04-23,07:00:00,bef
2015-02-05 07:00:00,0.63,0.96,0.5311,2015-02-05,07:00:00,bef
2014-10-23 07:00:00,0.51,0.51,0.0079,2014-10-23,07:00:00,bef
2014-07-24 04:00:00,0.83,0.58,-0.2982,2014-07-24,04:00:00,bef
2014-04-24 04:00:00,0.86,1.35,0.5650000000000001,2014-04-24,04:00:00,bef
2014-02-13 05:00:00,0.69,0.47,-0.3161,2014-02-13,05:00:00,bef
2013-10-24 04:00:00,0.49,0.58,0.1766,2013-10-24,04:00:00,bef
2013-07-25 04:00:00,0.56,0.57,0.0265,2013-07-25,04:00:00,bef
2013-04-25 04:00:00,0.52,0.66,0.2595,2013-04-25,04:00:00,bef
2013-01-24 05:00:00,0.41,0.48,0.16670000000000001,2013-01-24,05:00:00,bef
2012-10-25 04:00:00,0.3,0.21,-0.3054,2012-10-25,04:00:00,bef
2012-07-26 04:00:00,0.3,0.28,-0.0529,2012-07-26,04:00:00,bef
2012-04-26 04:00:00,0.58,0.5,-0.1423,2012-04-26,04:00:00,bef
2012-01-26 05:00:00,0.51,0.6,0.1663,2012-01-26,05:00:00,bef
2011-10-27 04:00:00,0.43,0.45,0.0535,2011-10-27,04:00:00,bef
2011-07-28 04:00:00,0.43,0.51,0.196,2011-07-28,04:00:00,bef
2011-04-28 04:00:00,0.56,0.65,0.16460000000000002,2011-04-28,04:00:00,bef
2011-01-27 05:00:00,0.39,0.48,0.2229,2011-01-27,05:00:00,bef
2010-10-28 04:00:00,0.24,0.24,0.0105,2010-10-28,04:00:00,bef
2010-07-29 04:00:00,0.25,0.2,-0.1973,2010-07-29,04:00:00,bef
2010-04-28 04:00:00,0.58,0.65,0.1252,2010-04-28,04:00:00,bef
2010-01-28 05:00:00,0.39,0.52,0.3506,2010-01-28,05:00:00,bef
2009-10-29 04:00:00,0.17,0.22,0.3005,2009-10-29,04:00:00,bef
2009-07-29 04:00:00,0.23,0.2,-0.1216,2009-07-29,04:00:00,bef
2009-04-30 04:00:00,0.55,0.55,-0.0049,2009-04-30,04:00:00,bef
2009-01-29 05:00:00,0.49,0.26,-0.4715,2009-01-29,05:00:00,bef
2008-10-23 04:00:00,0.4,0.73,0.8351999999999999,2008-10-23,04:00:00,bef
2008-08-01 04:00:00,0.44,0.44,-0.005600000000000001,2008-08-01,04:00:00,bef
2008-05-01 04:00:00,0.67,0.57,-0.153,2008-05-01,04:00:00,bef
