Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-02 06:00:00,1.82,1.87,0.027999999999999997,2022-08-02,06:00:00,bef
2022-05-03 07:00:00,1.6,1.62,0.0144,2022-05-03,07:00:00,bef
2022-02-04 06:00:00,1.71,1.72,0.0040999999999999995,2022-02-04,06:00:00,bef
2021-11-02 07:00:00,1.73,1.75,0.010400000000000001,2021-11-02,07:00:00,bef
2021-08-03 06:00:00,1.57,1.72,0.0935,2021-08-03,06:00:00,bef
2021-05-04 06:00:00,1.23,1.44,0.16690000000000002,2021-05-04,06:00:00,bef
2021-02-02 07:00:00,1.21,1.28,0.0622,2021-02-02,07:00:00,bef
2020-11-03 06:00:00,1.05,1.18,0.1292,2020-11-03,06:00:00,bef
2020-07-29 06:00:00,0.53,0.7,0.3208,2020-07-29,06:00:00,bef
2020-04-30 06:00:00,1.07,1.09,0.0196,2020-04-30,06:00:00,bef
2020-02-04 06:00:00,1.41,1.37,-0.024900000000000002,2020-02-04,06:00:00,bef
2019-10-29 06:00:00,1.51,1.52,0.006,2019-10-29,06:00:00,bef
2019-07-30 07:00:00,1.51,1.53,0.013200000000000002,2019-07-30,07:00:00,bef
2019-04-30 07:00:00,1.24,1.26,0.014499999999999999,2019-04-30,07:00:00,bef
2019-01-31 06:00:00,1.43,1.46,0.021,2019-01-31,06:00:00,bef
2018-10-30 06:00:00,1.43,1.43,-0.0014000000000000002,2018-10-30,06:00:00,bef
2018-07-31 06:00:00,1.33,1.39,0.0475,2018-07-31,06:00:00,bef
2018-05-01 06:00:00,1.07,1.1,0.0271,2018-05-01,06:00:00,bef
2018-02-01 08:00:00,1.21,1.29,0.0661,2018-02-01,08:00:00,bef
2017-10-31 06:00:00,1.25,1.25,0.0008,2017-10-31,06:00:00,bef
2017-08-01 06:00:00,1.16,1.15,-0.0061,2017-08-01,06:00:00,bef
2017-05-02 06:00:00,0.88,0.96,0.0959,2017-05-02,06:00:00,bef
2017-02-02 06:00:00,1.1,1.12,0.0182,2017-02-02,06:00:00,bef
2016-11-01 06:00:00,1.15,1.15,0.0034999999999999996,2016-11-01,06:00:00,bef
2016-08-02 06:00:00,1.07,1.07,0.0009,2016-08-02,06:00:00,bef
2016-04-29 06:00:00,0.85,0.88,0.0353,2016-04-29,06:00:00,bef
2016-02-03 06:00:00,1.1,1.17,0.06559999999999999,2016-02-03,06:00:00,bef
2015-10-30 06:00:00,1.0,0.97,-0.028999999999999998,2015-10-30,06:00:00,bef
2015-07-29 06:00:00,1.13,1.16,0.0229,2015-07-29,06:00:00,bef
2015-04-29 06:00:00,0.98,1.01,0.026400000000000003,2015-04-29,06:00:00,bef
2015-02-03 06:00:00,1.2,1.27,0.058300000000000005,2015-02-03,06:00:00,bef
2014-10-29 06:00:00,1.23,1.29,0.046200000000000005,2014-10-29,06:00:00,bef
2014-07-29 04:00:00,1.13,1.11,-0.0139,2014-07-29,04:00:00,bef
2014-04-29 04:00:00,1.0,1.01,0.0083,2014-04-29,04:00:00,bef
2014-02-04 05:00:00,1.06,1.08,0.018600000000000002,2014-02-04,05:00:00,bef
2013-10-25 04:00:00,1.12,1.12,-0.0031,2013-10-25,04:00:00,bef
2013-08-02 04:00:00,1.11,1.09,-0.0165,2013-08-02,04:00:00,bef
2013-04-29 04:00:00,0.79,0.84,0.0697,2013-04-29,04:00:00,bef
2013-02-05 05:00:00,0.93,0.82,-0.11380000000000001,2013-02-05,05:00:00,bef
2012-10-31 04:00:00,1.09,1.07,-0.0194,2012-10-31,04:00:00,bef
2012-07-23 04:00:00,1.09,1.15,0.0587,2012-07-23,04:00:00,bef
2012-04-23 04:00:00,0.9,0.92,0.0246,2012-04-23,04:00:00,bef
