Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-27 16:00:00,0.31,0.51,0.6399,2022-07-27,16:00:00,aft
2022-05-04 16:00:00,0.6,0.6,0.0067,2022-05-04,16:00:00,aft
2022-02-24 16:00:00,0.79,1.11,0.39799999999999996,2022-02-24,16:00:00,aft
2021-11-03 16:00:00,0.54,0.62,0.1481,2021-11-03,16:00:00,aft
2021-08-04 16:00:00,0.63,0.68,0.08109999999999999,2021-08-04,16:00:00,aft
2021-05-05 16:00:00,0.88,1.0,0.13119999999999998,2021-05-05,16:00:00,aft
2021-02-25 16:00:00,0.59,1.08,0.8273999999999999,2021-02-25,16:00:00,aft
2020-10-28 16:00:00,0.6,0.7,0.16670000000000001,2020-10-28,16:00:00,aft
2020-08-05 16:00:00,0.39,0.75,0.9231,2020-08-05,16:00:00,aft
2020-05-06 16:00:00,0.19,0.1,-0.4764,2020-05-06,16:00:00,aft
2020-02-26 16:00:00,0.16,0.25,0.5244,2020-02-26,16:00:00,aft
2019-10-30 16:00:00,0.12,0.12,0.0169,2019-10-30,16:00:00,aft
2019-08-01 16:00:00,0.13,0.14,0.09380000000000001,2019-08-01,16:00:00,aft
2019-05-08 16:00:00,0.14,0.24,0.7021,2019-05-08,16:00:00,aft
2019-02-25 16:00:00,0.21,0.32,0.561,2019-02-25,16:00:00,aft
2018-11-06 16:00:00,0.07,0.15,1.1127,2018-11-06,16:00:00,aft
2018-08-06 17:00:00,0.04,0.03,-0.25,2018-08-06,17:00:00,aft
2018-05-08 16:00:00,0.06,0.1,0.6667000000000001,2018-05-08,16:00:00,aft
2018-02-27 17:00:00,0.09,0.36,3.2352999999999996,2018-02-27,17:00:00,aft
2017-11-06 16:00:00,0.06,0.21,2.3333000000000004,2017-11-06,16:00:00,aft
2017-08-03 16:00:00,-0.03,0.1,4.5714,2017-08-03,16:00:00,aft
2017-02-28 16:00:00,0.02,-0.19,-12.1765,2017-02-28,16:00:00,aft
2016-11-01 16:00:00,-0.02,-0.02,-0.1765,2016-11-01,16:00:00,aft
2016-08-02 16:00:00,-0.01,-0.06,-6.5,2016-08-02,16:00:00,aft
2016-05-03 16:00:00,-0.02,0.01,1.4347999999999999,2016-05-03,16:00:00,aft
2016-02-23 16:00:00,-0.01,-0.04,-5.6667,2016-02-23,16:00:00,aft
2015-08-04 16:00:00,-0.08,-0.07,0.0909,2015-08-04,16:00:00,aft
2015-05-19 16:00:00,0.03,-0.84,-26.4545,2015-05-19,16:00:00,aft
