Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-04 07:00:00,0.83,0.86,0.031200000000000002,2022-08-04,07:00:00,bef
2022-05-05 07:00:00,0.55,0.58,0.0488,2022-05-05,07:00:00,bef
2022-02-25 07:00:00,0.17,0.16,-0.030299999999999997,2022-02-25,07:00:00,bef
2021-11-03 07:00:00,1.76,1.98,0.125,2021-11-03,07:00:00,bef
2021-08-05 07:00:00,0.73,0.85,0.16440000000000002,2021-08-05,07:00:00,bef
2021-05-06 07:00:00,0.48,0.55,0.1435,2021-05-06,07:00:00,bef
2021-02-26 09:00:00,0.22,0.28,0.2727,2021-02-26,09:00:00,bef
2020-11-05 07:00:00,1.57,1.73,0.10189999999999999,2020-11-05,07:00:00,bef
2020-08-05 07:00:00,0.68,0.68,-0.0029,2020-08-05,07:00:00,bef
2020-05-06 17:00:00,0.42,0.41,-0.033,2020-05-06,17:00:00,aft
2020-03-02 07:00:00,0.31,0.32,0.0323,2020-03-02,07:00:00,bef
2019-11-06 16:00:00,1.57,1.57,0.0026000000000000003,2019-11-06,16:00:00,aft
2019-08-07 16:00:00,0.56,0.58,0.041299999999999996,2019-08-07,16:00:00,aft
2019-05-08 16:00:00,0.4,0.39,-0.0347,2019-05-08,16:00:00,aft
2019-02-21 17:00:00,0.26,0.07,-0.7297,2019-02-21,17:00:00,aft
2018-11-07 17:00:00,1.25,1.32,0.0535,2018-11-07,17:00:00,aft
2018-08-08 17:00:00,0.56,0.56,-0.0053,2018-08-08,17:00:00,aft
2018-05-08 17:00:00,0.48,0.42,-0.1195,2018-05-08,17:00:00,aft
2018-02-21 17:00:00,0.4,0.32,-0.2,2018-02-21,17:00:00,aft
2017-10-31 17:00:00,1.1,1.11,0.0073,2017-10-31,17:00:00,aft
2017-08-08 16:00:00,0.56,0.5,-0.1135,2017-08-08,16:00:00,aft
2017-05-09 17:00:00,0.45,0.42,-0.0625,2017-05-09,17:00:00,aft
2017-02-22 17:00:00,0.42,0.38,-0.0931,2017-02-22,17:00:00,aft
2016-11-01 17:00:00,1.05,1.08,0.0325,2016-11-01,17:00:00,aft
2016-08-02 16:00:00,0.53,0.51,-0.0359,2016-08-02,16:00:00,aft
2016-05-03 17:00:00,0.46,0.46,0.0088,2016-05-03,17:00:00,aft
2016-02-24 17:00:00,0.36,0.28,-0.22010000000000002,2016-02-24,17:00:00,aft
2015-11-03 17:00:00,1.03,0.97,-0.0592,2015-11-03,17:00:00,aft
2015-08-04 17:00:00,0.42,0.46,0.0849,2015-08-04,17:00:00,aft
2015-05-05 17:00:00,0.43,0.38,-0.12240000000000001,2015-05-05,17:00:00,aft
2015-02-25 17:00:00,0.35,0.32,-0.0935,2015-02-25,17:00:00,aft
2014-11-05 17:00:00,1.07,1.1,0.027999999999999997,2014-11-05,17:00:00,aft
2014-08-06 04:00:00,0.51,0.4,-0.2208,2014-08-06,04:00:00,bef
2014-05-07 04:00:00,0.45,0.52,0.15560000000000002,2014-05-07,04:00:00,bef
2014-02-26 05:00:00,0.29,0.32,0.0909,2014-02-26,05:00:00,bef
2013-11-07 05:00:00,1.0,1.04,0.0412,2013-11-07,05:00:00,bef
2013-08-07 04:00:00,0.45,0.52,0.1613,2013-08-07,04:00:00,bef
2013-05-08 04:00:00,0.31,0.4,0.3008,2013-05-08,04:00:00,bef
2013-02-28 05:00:00,0.2,0.36,0.7888,2013-02-28,05:00:00,bef
2012-11-08 05:00:00,1.05,1.1,0.04650000000000001,2012-11-08,05:00:00,bef
2012-08-07 04:00:00,0.44,0.48,0.0804,2012-08-07,04:00:00,bef
2012-05-09 04:00:00,0.26,0.21,-0.18780000000000002,2012-05-09,04:00:00,bef
2012-02-23 05:00:00,0.15,0.16,0.04070000000000001,2012-02-23,05:00:00,bef
2011-11-03 04:00:00,1.02,0.98,-0.041299999999999996,2011-11-03,04:00:00,bef
2011-08-04 04:00:00,0.44,0.38,-0.145,2011-08-04,04:00:00,bef
2011-05-05 04:00:00,0.28,0.27,-0.0182,2011-05-05,04:00:00,bef
2011-02-24 05:00:00,0.11,0.04,-0.6322,2011-02-24,05:00:00,bef
2010-10-28 04:00:00,0.95,1.02,0.0721,2010-10-28,04:00:00,bef
2010-08-04 04:00:00,0.41,0.47,0.1544,2010-08-04,04:00:00,bef
2010-05-06 04:00:00,0.18,0.27,0.5242,2010-05-06,04:00:00,bef
2010-02-25 05:00:00,0.21,0.1,-0.5238,2010-02-25,05:00:00,bef
2009-10-29 04:00:00,0.76,0.73,-0.0374,2009-10-29,04:00:00,bef
2009-08-06 04:00:00,0.35,0.35,-0.005699999999999999,2009-08-06,04:00:00,bef
2009-05-08 04:00:00,0.21,0.1,-0.5238,2009-05-08,04:00:00,bef
2009-02-27 05:00:00,0.23,0.21,-0.0968,2009-02-27,05:00:00,bef
2008-11-07 05:00:00,0.78,0.81,0.0362,2008-11-07,05:00:00,bef
2008-08-08 04:00:00,0.33,0.06,-0.8204000000000001,2008-08-08,04:00:00,bef
2008-05-09 04:00:00,0.31,0.63,1.0323,2008-05-09,04:00:00,bef
2008-02-29 05:00:00,0.15,0.15,-0.016399999999999998,2008-02-29,05:00:00,bef
2007-11-02 04:00:00,0.79,0.99,0.2611,2007-11-02,04:00:00,bef
2007-08-08 04:00:00,0.32,0.36,0.125,2007-08-08,04:00:00,bef
2007-05-09 04:00:00,0.27,0.34,0.2439,2007-05-09,04:00:00,bef
2007-03-01 05:00:00,0.11,0.15,0.4062,2007-03-01,05:00:00,bef
2006-11-03 05:00:00,0.77,0.99,0.2913,2006-11-03,05:00:00,bef
2006-08-09 04:00:00,0.28,0.43,0.5221,2006-08-09,04:00:00,bef
2006-05-09 04:00:00,0.24,0.24,-0.013700000000000002,2006-05-09,04:00:00,bef
2005-11-04 05:00:00,0.82,0.7,-0.1463,2005-11-04,05:00:00,bef
2005-08-09 04:00:00,0.33,0.36,0.1077,2005-08-09,04:00:00,bef
2005-05-10 04:00:00,0.27,0.2,-0.2683,2005-05-10,04:00:00,bef
2005-03-16 05:00:00,0.23,0.24,0.0435,2005-03-16,05:00:00,bef
2004-11-08 05:00:00,0.63,0.73,0.1587,2004-11-08,05:00:00,bef
2004-08-04 04:00:00,0.33,0.33,0.0102,2004-08-04,04:00:00,bef
2004-05-10 04:00:00,0.39,0.17,-0.5640999999999999,2004-05-10,04:00:00,bef
2002-02-18 05:00:00,1.26,-0.46,-1.3651,2002-02-18,05:00:00,bef
2001-09-05 04:00:00,0.42,-0.51,-2.2143,2001-09-05,04:00:00,bef
2001-05-15 04:00:00,0.25,-0.28,-2.12,2001-05-15,04:00:00,bef
