Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-08-03 06:00:00,0.46,0.44,-0.037200000000000004,2022-08-03,06:00:00,bef
2022-05-09 08:00:00,0.66,0.64,-0.0244,2022-05-09,08:00:00,bef
2022-02-25 15:00:00,0.87,0.9,0.0345,2022-02-25,15:00:00,bef
2021-11-03 06:00:00,1.09,1.09,0.0037,2021-11-03,06:00:00,bef
2021-08-04 06:00:00,0.68,0.89,0.3185,2021-08-04,06:00:00,bef
2021-05-05 06:00:00,0.36,-0.06,-1.1667,2021-05-05,06:00:00,bef
2021-02-24 06:00:00,0.69,0.76,0.0983,2021-02-24,06:00:00,bef
2020-11-03 06:00:00,0.87,1.04,0.1913,2020-11-03,06:00:00,bef
2020-08-04 06:00:00,0.43,0.55,0.2821,2020-08-04,06:00:00,bef
2020-05-08 07:00:00,0.85,0.87,0.028399999999999998,2020-05-08,07:00:00,bef
2020-02-11 06:00:00,0.73,0.83,0.1385,2020-02-11,06:00:00,bef
2019-10-31 06:00:00,0.89,0.92,0.0325,2019-10-31,06:00:00,bef
2019-08-01 06:00:00,0.61,0.6,-0.016399999999999998,2019-08-01,06:00:00,bef
2019-05-02 06:00:00,0.87,0.87,-0.0023,2019-05-02,06:00:00,bef
2019-02-08 06:00:00,0.57,0.58,0.0175,2019-02-08,06:00:00,bef
2018-11-01 06:00:00,0.88,0.88,-0.0034000000000000002,2018-11-01,06:00:00,bef
2018-08-02 06:00:00,0.61,0.71,0.1582,2018-08-02,06:00:00,bef
2018-05-02 07:00:00,0.91,0.96,0.0538,2018-05-02,07:00:00,bef
2018-02-07 07:00:00,0.6,0.55,-0.0864,2018-02-07,07:00:00,bef
2017-11-02 07:00:00,0.86,0.85,-0.008199999999999999,2017-11-02,07:00:00,bef
2017-08-02 08:00:00,0.53,0.54,0.0286,2017-08-02,08:00:00,bef
2017-05-03 08:00:00,0.62,0.65,0.056900000000000006,2017-05-03,08:00:00,bef
2017-02-08 08:00:00,0.45,0.44,-0.0308,2017-02-08,08:00:00,bef
2016-10-26 08:00:00,0.78,0.91,0.1637,2016-10-26,08:00:00,bef
2016-08-09 08:00:00,0.56,0.65,0.16280000000000003,2016-08-09,08:00:00,bef
2016-02-03 08:00:00,0.41,0.38,-0.0617,2016-02-03,08:00:00,bef
2015-10-30 08:00:00,0.72,0.83,0.1576,2015-10-30,08:00:00,bef
2015-07-29 08:00:00,0.54,0.59,0.1028,2015-07-29,08:00:00,bef
2015-04-29 08:00:00,0.69,0.71,0.0305,2015-04-29,08:00:00,bef
2015-02-13 08:00:00,0.5,0.48,-0.047599999999999996,2015-02-13,08:00:00,bef
2014-10-29 08:00:00,0.72,0.78,0.0909,2014-10-29,08:00:00,bef
2014-07-31 04:00:00,0.5,0.51,0.0182,2014-07-31,04:00:00,bef
2014-04-30 04:00:00,0.69,0.62,-0.0987,2014-04-30,04:00:00,bef
2014-02-06 05:00:00,0.54,0.5,-0.0719,2014-02-06,05:00:00,bef
2013-10-30 04:00:00,0.66,0.78,0.1813,2013-10-30,04:00:00,bef
2013-07-31 04:00:00,0.54,0.53,-0.0245,2013-07-31,04:00:00,bef
2013-05-01 04:00:00,0.68,0.7,0.029900000000000003,2013-05-01,04:00:00,bef
2013-02-07 05:00:00,0.64,0.64,-0.0059,2013-02-07,05:00:00,bef
2012-11-01 04:00:00,0.72,0.77,0.0723,2012-11-01,04:00:00,bef
2012-08-01 04:00:00,0.63,0.61,-0.0369,2012-08-01,04:00:00,bef
2012-05-04 04:00:00,0.81,0.85,0.0518,2012-05-04,04:00:00,bef
2012-01-25 05:00:00,0.88,0.82,-0.0727,2012-01-25,05:00:00,bef
2011-10-26 04:00:00,1.09,1.12,0.0282,2011-10-26,04:00:00,bef
2011-07-27 04:00:00,0.96,1.05,0.09730000000000001,2011-07-27,04:00:00,bef
2011-04-27 04:00:00,1.05,1.17,0.11230000000000001,2011-04-27,04:00:00,bef
2011-01-26 05:00:00,0.92,0.96,0.0487,2011-01-26,05:00:00,bef
2010-10-22 04:00:00,1.12,1.11,-0.0062,2010-10-22,04:00:00,bef
2010-07-22 04:00:00,0.91,0.99,0.08900000000000001,2010-07-22,04:00:00,bef
2010-04-23 04:00:00,0.9,1.0,0.1173,2010-04-23,04:00:00,bef
2010-01-22 05:00:00,0.86,0.92,0.0723,2010-01-22,05:00:00,bef
2009-10-23 04:00:00,0.96,0.96,0.0021,2009-10-23,04:00:00,bef
2009-07-24 04:00:00,0.97,1.03,0.063,2009-07-24,04:00:00,bef
