Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Date,Time,BefAft
2022-07-21 08:00:00,0.61,0.58,-0.055400000000000005,2022-07-21,08:00:00,bef
2022-04-21 08:00:00,0.94,1.07,0.14070000000000002,2022-04-21,08:00:00,bef
2022-01-26 08:00:00,0.96,0.96,0.0042,2022-01-26,08:00:00,bef
2021-10-21 07:00:00,0.81,0.89,0.0974,2021-10-21,07:00:00,bef
2021-07-22 08:00:00,0.76,0.77,0.018500000000000003,2021-07-22,08:00:00,bef
2021-04-22 08:00:00,0.51,0.51,0.0079,2021-04-22,08:00:00,bef
2021-01-26 08:00:00,0.38,0.39,0.015600000000000001,2021-01-26,08:00:00,bef
2020-10-22 08:00:00,0.21,0.29,0.3615,2020-10-22,08:00:00,bef
2020-07-23 07:00:00,-0.02,0.03,2.4286000000000003,2020-07-23,07:00:00,bef
2020-04-24 07:00:00,-0.18,-0.16,0.12090000000000001,2020-04-24,07:00:00,bef
2019-10-23 08:00:00,-0.01,-0.01,0.0909,2019-10-23,08:00:00,bef
2019-07-24 08:00:00,-0.05,-0.04,0.2727,2019-07-24,08:00:00,bef
2019-04-25 08:00:00,0.07,0.05,-0.31510000000000005,2019-04-25,08:00:00,bef
2019-01-24 08:00:00,0.18,0.11,-0.3785,2019-01-24,08:00:00,bef
2018-10-24 08:00:00,0.33,0.35,0.07690000000000001,2018-10-24,08:00:00,bef
2018-07-25 08:00:00,0.52,0.58,0.11970000000000001,2018-07-25,08:00:00,bef
2018-04-24 08:00:00,0.56,0.46,-0.1771,2018-04-24,08:00:00,bef
2018-01-25 08:00:00,0.49,0.51,0.051500000000000004,2018-01-25,08:00:00,bef
2017-10-25 08:00:00,0.31,0.34,0.11109999999999999,2017-10-25,08:00:00,bef
2017-07-25 08:00:00,0.21,0.17,-0.17070000000000002,2017-07-25,08:00:00,bef
2017-04-25 08:00:00,0.16,0.15,-0.0323,2017-04-25,08:00:00,bef
2017-01-25 08:00:00,0.34,0.25,-0.2711,2017-01-25,08:00:00,bef
2016-10-25 08:00:00,0.18,0.13,-0.2655,2016-10-25,08:00:00,bef
2016-07-26 08:00:00,-0.01,-0.02,-0.4286,2016-07-26,08:00:00,bef
2016-04-26 08:00:00,-0.18,-0.16,0.1304,2016-04-26,08:00:00,bef
2016-01-26 08:00:00,-0.17,-0.02,0.8851000000000001,2016-01-26,08:00:00,bef
2015-10-22 08:00:00,-0.08,-0.15,-0.7857,2015-10-22,08:00:00,bef
2015-07-23 08:00:00,0.06,0.14,1.1875,2015-07-23,08:00:00,bef
2015-04-23 08:00:00,-0.06,-0.06,0.07690000000000001,2015-04-23,08:00:00,bef
2015-01-27 08:00:00,0.35,0.25,-0.2938,2015-01-27,08:00:00,bef
2014-10-28 08:00:00,0.61,0.64,0.044000000000000004,2014-10-28,08:00:00,bef
